Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3466"""
"=""4d9.5s""","=""3D""","=""3""","=""""","=""9.97506""","=""""","=""""","=""9.97506""","="""""
"=""4d9.5s""","=""3D""","=""2""","=""""","=""10.21067""","=""""","=""""","=""0.2356""","="""""
"=""4d9.5s""","=""3D""","=""1""","=""""","=""10.68986""","=""""","=""""","=""0.4792""","="""""
"=""4d9.5s""","=""1D""","=""2""","=""""","=""11.01870""","=""""","=""""","=""0.3288""","="""""
"=""4d9.5p""","=""3P*""","=""2""","=""""","=""16.59073""","=""""","=""""","=""5.5720""","="""""
"=""4d9.5p""","=""3P*""","=""1""","=""""","=""17.20335""","=""""","=""""","=""0.6126""","="""""
"=""4d9.5p""","=""3P*""","=""0""","=""""","=""17.61949""","=""""","=""""","=""0.4161""","="""""
"=""4d9.5p""","=""3F*""","=""3""","=""""","=""16.88842""","=""""","=""""","=""-0.7311""","="""""
"=""4d9.5p""","=""3F*""","=""4""","=""""","=""17.23767""","=""""","=""""","=""0.3493""","="""""
"=""4d9.5p""","=""3F*""","=""2""","=""""","=""17.69934""","=""""","=""""","=""0.4617""","="""""
"=""4d9.5p""","=""3D*""","=""2""","=""""","=""17.41103""","=""""","=""""","=""-0.2883""","="""""
"=""4d9.5p""","=""3D*""","=""3""","=""""","=""17.71645""","=""""","=""""","=""0.3054""","="""""
"=""4d9.5p""","=""3D*""","=""1""","=""""","=""18.30314""","=""""","=""""","=""0.5867""","="""""
"=""4d9.5p""","=""1P*""","=""1""","=""""","=""18.11100""","=""""","=""""","=""-0.1921""","="""""
"=""4d9.5p""","=""1F*""","=""3""","=""""","=""18.11293""","=""""","=""""","=""0.0019""","="""""
"=""4d9.5p""","=""1D*""","=""2""","=""""","=""18.40686""","=""""","=""""","=""0.2939""","="""""
"=""4d8.5s2""","=""3F""","=""4""","=""""","=""22.19595""","=""""","=""""","=""3.7891""","="""""
"=""4d8.5s2""","=""3F""","=""3""","=""""","=""22.82478""","=""""","=""""","=""0.6288""","="""""
"=""4d8.5s2""","=""3F""","=""2""","=""""","=""23.03608""","=""""","=""""","=""0.2113""","="""""
"=""4d8.5s2""","=""3P""","=""2""","=""""","=""23.77550""","=""""","=""""","=""0.7394""","="""""
"=""4d8.5s2""","=""3P""","=""1""","=""""","=""24.31624""","=""""","=""""","=""0.5407""","="""""
"=""4d8.5s2""","=""3P""","=""0""","=""""","=""24.33292""","=""""","=""""","=""0.0167""","="""""
"=""4d8.5s2""","=""1D""","=""2""","=""""","=""24.60231""","=""""","=""""","=""0.2694""","="""""
"=""4d8.5s2""","=""1G""","=""4""","=""""","=""24.91249""","=""""","=""""","=""0.3102""","="""""
"=""4d9.5d""","=""3S""","=""1""","=""""","=""25.16459""","=""""","=""""","=""0.2521""","="""""
"=""4d9.6s""","=""3D""","=""3""","=""""","=""25.34499""","=""""","=""""","=""0.1804""","="""""
"=""4d9.6s""","=""3D""","=""2""","=""""","=""25.40537""","=""""","=""""","=""0.0604""","="""""
"=""4d9.6s""","=""3D""","=""1""","=""""","=""26.06402""","=""""","=""""","=""0.6586""","="""""
"=""4d9.5d""","=""3G""","=""5""","=""""","=""25.43156""","=""?""","=""""","=""-0.6325""","="""""
"=""4d9.5d""","=""3G""","=""4""","=""""","=""25.45355""","=""""","=""""","=""0.0220""","="""""
"=""4d9.5d""","=""3G""","=""3""","=""""","=""26.14052""","=""""","=""""","=""0.6870""","="""""
"=""4d9.5d""","=""3P""","=""1""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d9.5d""","=""3P""","=""0""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d9.5d""","=""3P""","=""2""","=""""","=""25.46722""","=""""","=""""","=""""","="""""
"=""4d9.5d""","=""3D""","=""3""","=""""","=""25.55162""","=""""","=""""","=""0.0844""","="""""
"=""4d9.5d""","=""3D""","=""2""","=""""","=""25.64047""","=""""","=""""","=""0.0889""","="""""
"=""4d9.5d""","=""3D""","=""1""","=""""","=""26.29082""","=""""","=""""","=""0.6503""","="""""
"=""4d9.5d""","=""3F""","=""3""","=""""","=""25.61641""","=""""","=""""","=""-0.6744""","="""""
"=""4d9.5d""","=""3F""","=""4""","=""""","=""25.66074""","=""""","=""""","=""0.0443""","="""""
"=""4d9.5d""","=""3F""","=""2""","=""""","=""26.27533""","=""""","=""""","=""0.6146""","="""""
"=""4d9.5d""","=""1P""","=""1""","=""""","=""26.05492""","=""""","=""""","=""-0.2204""","="""""
"=""4d9.6s""","=""1D""","=""2""","=""""","=""26.10958""","=""""","=""""","=""0.0547""","="""""
"=""4d9.5d""","=""1G""","=""4""","=""""","=""26.22495""","=""""","=""""","=""0.1154""","="""""
"=""4d9.5d""","=""1D""","=""2""","=""""","=""26.36214""","=""""","=""""","=""0.1372""","="""""
"=""4d9.5d""","=""1F""","=""3""","=""""","=""26.37246""","=""""","=""""","=""0.0103""","="""""
"=""4d8.5s2""","=""1S""","=""0""","=""""","=""26.42199""","=""""","=""""","=""0.0495""","="""""
"=""Cd IV (4d9 2D<5/2>)""","=""Limit""","=""---""","=""""","=""37.468""","=""""","=""0.006""","=""""","=""L11384"""
