Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d9""","=""2D""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3466"""
"=""4d9""","=""2D""","=""3/2""","=""""","=""0.7206""","=""""","=""""","=""0.7206""","="""""
"=""4d8.(3F).5s""","=""4F""","=""9/2""","=""""","=""13.4776""","=""""","=""""","=""12.757""","="""""
"=""4d8.(3F).5s""","=""4F""","=""7/2""","=""""","=""13.8533""","=""""","=""""","=""0.376""","="""""
"=""4d8.(3F).5s""","=""4F""","=""5/2""","=""""","=""14.2282""","=""""","=""""","=""0.375""","="""""
"=""4d8.(3F).5s""","=""4F""","=""3/2""","=""""","=""14.3977""","=""""","=""""","=""0.170""","="""""
"=""4d8.(3F).5s""","=""2F""","=""7/2""","=""""","=""14.6714""","=""""","=""""","=""0.274""","="""""
"=""4d8.(3F).5s""","=""2F""","=""5/2""","=""""","=""14.9472""","=""""","=""""","=""0.276""","="""""
"=""4d8.(3F).5s""","=""2G""","=""9/2""","=""""","=""16.5965""","=""""","=""""","=""1.649""","="""""
"=""4d8.(1G).5s""","=""2G""","=""7/2""","=""""","=""16.6151""","=""""","=""""","=""0.019""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""7/2""","=""""","=""21.3733""","=""""","=""""","=""4.758""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""5/2""","=""""","=""21.9764""","=""""","=""""","=""0.603""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""3/2""","=""""","=""22.4248""","=""""","=""""","=""0.448""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""1/2""","=""""","=""22.6722""","=""""","=""""","=""0.247""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""9/2""","=""""","=""21.7368""","=""""","=""""","=""-0.935""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""11/2""","=""""","=""22.2146""","=""""","=""""","=""0.478""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""7/2""","=""""","=""22.2397""","=""""","=""""","=""0.025""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""5/2""","=""""","=""22.4178""","=""""","=""""","=""0.178""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""9/2""","=""""","=""22.5245""","=""""","=""""","=""0.107""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""3/2""","=""""","=""22.5869""","=""""","=""""","=""0.062""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""7/2""","=""""","=""22.6858""","=""""","=""""","=""0.099""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""5/2""","=""""","=""23.0991""","=""""","=""""","=""0.413""","="""""
"=""4d8.(3F).5p""","=""2D*""","=""5/2""","=""""","=""22.8504""","=""""","=""""","=""-0.249""","="""""
"=""4d8.(3F).5p""","=""2D*""","=""3/2""","=""""","=""23.2115""","=""""","=""""","=""0.361""","="""""
"=""4d8.(3F).5p""","=""2G*""","=""9/2""","=""""","=""22.9825""","=""""","=""""","=""-0.229""","="""""
"=""4d8.(3F).5p""","=""2G*""","=""7/2""","=""""","=""23.3273""","=""""","=""""","=""0.345""","="""""
"=""4d8.(3F).5p""","=""2F*""","=""7/2""","=""""","=""23.2059""","=""""","=""""","=""-0.121""","="""""
"=""4d8.(3F).5p""","=""2F*""","=""5/2""","=""""","=""23.3457""","=""""","=""""","=""0.140""","="""""
"=""4d8.(3P).5p""","=""4P*""","=""1/2""","=""""","=""23.4831""","=""""","=""""","=""0.137""","="""""
"=""4d8.(3P).5p""","=""4P*""","=""3/2""","=""""","=""23.6080""","=""""","=""""","=""0.125""","="""""
"=""4d8.(3P).5p""","=""4P*""","=""5/2""","=""""","=""23.6430""","=""""","=""""","=""0.035""","="""""
"=""4d8.(1D).5p""","=""2F*""","=""5/2""","=""""","=""23.7991""","=""""","=""""","=""0.156""","="""""
"=""4d8.(1D).5p""","=""2F*""","=""7/2""","=""""","=""24.0984""","=""""","=""""","=""0.299""","="""""
"=""4d8.(1D).5p""","=""2P*""","=""1/2""","=""""","=""24.0792""","=""""","=""""","=""-0.019""","="""""
"=""4d8.(1D).5p""","=""2P*""","=""3/2""","=""""","=""24.2441""","=""""","=""""","=""0.165""","="""""
"=""4d8.(1D).5p""","=""2D*""","=""5/2""","=""""","=""24.3325""","=""""","=""""","=""0.088""","="""""
"=""4d8.(1D).5p""","=""2D*""","=""3/2""","=""""","=""24.3610""","=""?""","=""""","=""0.029""","="""""
"=""4d8.(3P).5p""","=""4D*""","=""1/2""","=""""","=""24.3468""","=""""","=""""","=""-0.014""","="""""
"=""4d8.(3P).5p""","=""4D*""","=""7/2""","=""""","=""24.4879""","=""""","=""""","=""0.141""","="""""
"=""4d8.(3P).5p""","=""4D*""","=""3/2""","=""""","=""24.5761""","=""""","=""""","=""0.088""","="""""
"=""4d8.(3P).5p""","=""4D*""","=""5/2""","=""""","=""24.5908""","=""""","=""""","=""0.015""","="""""
"=""4d8.(1G).5p""","=""2H*""","=""9/2""","=""""","=""24.3703""","=""""","=""""","=""-0.221""","="""""
"=""4d8.(1G).5p""","=""2H*""","=""11/2""","=""""","=""24.9572""","=""""","=""""","=""0.587""","="""""
"=""4d8.(3P).5p""","=""2D*""","=""5/2""","=""""","=""24.7379""","=""""","=""""","=""-0.219""","="""""
"=""4d8.(3P).5p""","=""2D*""","=""3/2""","=""""","=""24.8890""","=""""","=""""","=""0.151""","="""""
"=""4d8.(3P).5p""","=""2P*""","=""3/2""","=""""","=""25.0407""","=""""","=""""","=""0.152""","="""""
"=""4d8.(3P).5p""","=""2P*""","=""1/2""","=""""","=""25.5906""","=""""","=""""","=""0.550""","="""""
