Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f.5d.6s2""","=""1G*""","=""4""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0.94543""","=""  55                  :    29                             3H*                ""","=""L3974"""
"=""4f.5d.6s2""","=""3F*""","=""2""","=""""","=""0.0283737""","=""""","=""""","=""0.0283737""","=""0.76515""","=""  66                  :    24                             1D*                ""","="""""
"=""4f.5d.6s2""","=""3F*""","=""3""","=""""","=""0.2062006""","=""""","=""""","=""0.177827""","=""1.07736""","=""  85                  :     7  4f.(2F*) 5d2.(1D).6s (2D)  3F*                ""","="""""
"=""4f.5d.6s2""","=""3F*""","=""4""","=""""","=""0.3843697""","=""o""","=""""","=""0.178169""","=""1.07703""","=""  34                  :    27  4f.(2F*) 5d2.(3F).6s (4F)  5I*                ""","="""""
"=""4f.5d.6s2""","=""3H*""","=""4""","=""""","=""0.1586284""","=""""","=""""","=""-0.225741""","=""0.88979""","=""  54                  :    20                             1G*                ""","="""""
"=""4f.5d.6s2""","=""3H*""","=""5""","=""""","=""0.2738386""","=""""","=""""","=""0.115210""","=""1.03212""","=""  80                  :    12  4f.(2F*) 5d2.(1D).6s (2D)  3H*                ""","="""""
"=""4f.5d.6s2""","=""3H*""","=""6""","=""""","=""0.4929741""","=""""","=""""","=""0.219136""","=""1.16032""","=""  78                  :    13  4f.(2F*) 5d2.(1D).6s (2D)  3H*                ""","="""""
"=""4f.5d.6s2""","=""3G*""","=""3""","=""""","=""0.1722067""","=""""","=""""","=""-0.320767""","=""0.73494""","=""  66                  :    11  4f.(2F*) 5d2.(1D).6s (2D)  3G*                ""","="""""
"=""4f.5d.6s2""","=""3G*""","=""5""","=""""","=""0.5206552""","=""""","=""""","=""0.348448""","=""1.15021""","=""  48                  :    34  4f.(2F*) 5d2.(3F).6s (4F)  5H*                ""","="""""
"=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""3""","=""""","=""0.2937270""","=""""","=""""","=""-0.226928""","=""0.59978""","=""  66                  :    16  4f.5d.6s2                  3G*                ""","="""""
"=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""4""","=""""","=""0.3022275""","=""""","=""""","=""0.008500""","=""0.98592""","=""  38                  :    25                             (2F*) (3F)(4F) 3G* ""","="""""
