Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f.(2F*).5d2.(3F)""","=""4H*""","=""7/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0.794""","=""  48                 :    35                      (2F*)(3F) 2G*            ""","=""L3974"""
"=""4f.(2F*).5d2.(3F)""","=""4H*""","=""9/2""","=""""","=""0.3200351""","=""""","=""""","=""0.3200351""","=""1.023""","=""  35                 :    21                      (2F*)(3F) 2G*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4H*""","=""11/2""","=""""","=""0.3570367""","=""""","=""""","=""0.037002""","=""1.123""","=""  92                 :     2                      (2F*)(1D) 2H*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4H*""","=""13/2""","=""""","=""0.5212214""","=""""","=""""","=""0.164185""","=""1.189""","=""  69                 :    29                      (2F*)(3F) 4I*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""*""","=""9/2""","=""""","=""0.1224482""","=""""","=""""","=""-0.398773""","=""0.948""","=""  30  4I*            :    24                      (2F*)(3F) 2G*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4I*""","=""9/2""","=""""","=""0.1748554""","=""""","=""""","=""0.052407""","=""0.856""","=""  49                 :    22                      (2F*)(3F) 4H*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4I*""","=""11/2""","=""""","=""0.3178004""","=""""","=""""","=""0.142945""","=""0.968""","=""  94                 :     2                      (2F*)(1D) 2H*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4I*""","=""13/2""","=""""","=""0.4703507""","=""""","=""""","=""0.152550""","=""1.128""","=""  68                 :    24                      (2F*)(3F) 4H*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""4I*""","=""15/2""","=""""","=""0.6764386""","=""""","=""""","=""0.206088""","=""1.196""","=""  99                                                                       ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""*""","=""7/2""","=""""","=""0.2323382""","=""""","=""""","=""-0.444100""","=""0.806""","=""  43  4H*            :    18                      (2F*)(3F) 2G*            ""","="""""
"=""4f.(2F*).5d2.(3F)""","=""*""","=""1/2""","=""""","=""0.2653872""","=""""","=""""","=""0.033049""","=""0.985""","=""  26  2S*            :    23                      (2F*)(1D) 2P*            ""","="""""
