Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5p6.4f""","=""2F*""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""""","=""L3974"""
"=""5p6.4f""","=""2F*""","=""7/2""","=""""","=""0.2793""","=""""","=""""","=""0.2793""","=""""","="""""
"=""5p6.5d""","=""2D""","=""3/2""","=""""","=""6.1666""","=""""","=""""","=""5.887""","=""""","="""""
"=""5p6.5d""","=""2D""","=""5/2""","=""""","=""6.4752""","=""""","=""""","=""0.309""","=""""","="""""
"=""5p6.6s""","=""2S""","=""1/2""","=""""","=""10.7373""","=""""","=""""","=""4.262""","=""1.95""","="""""
"=""5p6.6p""","=""2P*""","=""1/2""","=""""","=""15.1986""","=""""","=""""","=""4.461""","=""0.65""","="""""
"=""5p6.6p""","=""2P*""","=""3/2""","=""""","=""15.7822""","=""""","=""""","=""0.584""","=""1.36""","="""""
"=""5p6.6d""","=""2D""","=""5/2""","=""""","=""21.9698""","=""""","=""""","=""6.188""","=""""","="""""
"=""5p6.6d""","=""2D""","=""3/2""","=""""","=""22.1824""","=""""","=""""","=""0.213""","=""""","="""""
"=""5p6.7s""","=""2S""","=""1/2""","=""""","=""22.7513""","=""""","=""""","=""0.569""","=""""","="""""
"=""5p6.5f""","=""2F*""","=""5/2""","=""""","=""22.8807""","=""""","=""""","=""0.129""","=""""","="""""
"=""5p6.5f""","=""2F*""","=""7/2""","=""""","=""22.9056""","=""""","=""""","=""0.025""","=""""","="""""
"=""5p6.7d""","=""2D""","=""3/2""","=""""","=""27.4825""","=""""","=""""","=""4.577""","=""""","="""""
"=""5p6.7d""","=""2D""","=""5/2""","=""""","=""27.5044""","=""""","=""""","=""0.022""","=""""","="""""
"=""5p6.8s""","=""2S""","=""1/2""","=""""","=""27.9123""","=""""","=""""","=""0.408""","=""""","="""""
"=""5p6.5g""","=""2G""","=""7/2,9/2""","=""""","=""27.9739""","=""""","=""""","=""0.062""","=""""","="""""
"=""Ce V (5s2.5p6 1S<0>)""","=""Limit""","=""---""","=""[""","=""36.906""","=""]""","=""0.009""","=""""","=""""","=""L14976"""
