Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                            ""","=""L3974"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""""","=""""","=""""","=""""","=""         or  :   100   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""22.4555""","=""""","=""""","=""""","=""         or  :    93   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""""","=""""","=""""","=""""","=""         or  :    75   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""25.6718""","=""""","=""""","=""""","=""         or  :    87   3D*  ""","="""""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""""","=""""","=""""","=""""","=""         or  :         3P*  ""","="""""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""30.6732""","=""""","=""""","=""""","=""         or  :         1P*  ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""""","=""""","=""""","=""""","=""         or  :    51   3D*  ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""31.0455""","=""""","=""""","=""""","=""         or  :    93   1P*  ""","="""""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""""","=""""","=""""","=""""","=""         or  :         3P*  ""","="""""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""33.9068""","=""""","=""""","=""""","=""         or  :         3P*  ""","="""""
"=""Ce VI (5s2.5p5 2P*<3/2>)""","=""Limit""","=""---""","=""[""","=""65.55""","=""]""","=""0.25""","=""""","=""                            ""","=""L3974"""
