Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p4""","=""3P""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  99                                        ""","=""L1617"""
"=""3s2.3p4""","=""3P""","=""1""","=""""","=""0.086293""","=""""","=""""","=""0.086293""","="" 100                                        ""","="""""
"=""3s2.3p4""","=""3P""","=""0""","=""""","=""0.123547""","=""""","=""""","=""0.03725""","=""  99                                        ""","="""""
"=""3s2.3p4""","=""1D""","=""2""","=""""","=""1.444860""","=""""","=""""","=""1.32131""","=""  99                                        ""","="""""
"=""3s2.3p4""","=""1S""","=""0""","=""""","=""3.456434""","=""""","=""""","=""2.01157""","=""  99                                        ""","="""""
"=""3s.3p5""","=""3P*""","=""2""","=""""","=""11.576102""","=""""","=""""","=""8.11967""","=""  72         :    19  3s2.3p3.(2D).3d  3P*  ""","="""""
"=""3s.3p5""","=""3P*""","=""1""","=""""","=""11.654500""","=""""","=""""","=""0.07840""","=""  71         :    19  3s2.3p3.(2D).3d  3P*  ""","="""""
"=""3s.3p5""","=""3P*""","=""0""","=""""","=""11.695906""","=""""","=""""","=""0.04141""","=""  71         :    19  3s2.3p3.(2D).3d  3P*  ""","="""""
"=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""","=""""","=""13.375373""","=""""","=""""","=""1.67947""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""4""","=""""","=""13.675065""","=""""","=""""","=""0.29969""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""3""","=""""","=""13.675174""","=""""","=""""","=""0.00011""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""2""","=""""","=""13.675527""","=""""","=""""","=""0.00035""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""1""","=""""","=""13.675844""","=""""","=""""","=""0.00032""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""0""","=""""","=""13.676017""","=""""","=""""","=""0.00017""","=""  99                                        ""","="""""
"=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""""","=""13.961781""","=""""","=""""","=""0.28576""","=""  99                                        ""","="""""
"=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","=""""","=""14.339736""","=""""","=""""","=""0.37796""","=""  57         :    33  3s.3p5           1P*  ""","="""""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","=""""","=""14.853347""","=""""","=""""","=""0.51361""","=""  59         :    36  3s2.3p3.(2D*).3d 3D*  ""","="""""
