Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","="" 100                                       ""","=""L495"""
"=""3s2.3p3""","=""2D*""","=""3/2""","=""""","=""2.238220""","=""""","=""""","=""2.238220""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""","=""""","=""2.246399""","=""""","=""""","=""0.00818""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""","=""""","=""3.696455""","=""""","=""""","=""1.45006""","=""  99                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""","=""""","=""3.707927""","=""""","=""""","=""0.01147""","=""  99                                       ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""5/2""","=""""","=""12.214965""","=""""","=""""","=""8.50704""","=""  87         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""3/2""","=""""","=""12.290727""","=""""","=""""","=""0.07576""","=""  87         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(3P)""","=""4P""","=""1/2""","=""""","=""12.333355""","=""""","=""""","=""0.04263""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4.(1D)""","=""2D""","=""3/2""","=""""","=""15.142396""","=""""","=""""","=""2.80904""","=""  71         :    25  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s.3p4.(1D)""","=""2D""","=""5/2""","=""""","=""15.148365""","=""""","=""""","=""0.00597""","=""  71         :    25  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""""","=""18.166378""","=""""","=""""","=""3.01801""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""""","=""18.194308""","=""""","=""""","=""0.02793""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""""","=""18.234303""","=""""","=""""","=""0.04000""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","=""""","=""18.286992""","=""""","=""""","=""0.05269""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""""","=""18.826554""","=""""","=""""","=""0.53956""","=""  98                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""""","=""18.830480""","=""""","=""""","=""0.00393""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""""","=""18.838723""","=""""","=""""","=""0.00824""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""""","=""18.839602""","=""""","=""""","=""0.00088""","=""  95         :     3  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""""","=""21.540429""","=""""","=""""","=""2.70083""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""""","=""21.584784""","=""""","=""""","=""0.04435""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""""","=""21.649099""","=""""","=""""","=""0.06432""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""""","=""22.114955""","=""""","=""""","=""0.46586""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""""","=""22.202495""","=""""","=""""","=""0.08754""","=""                                           ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""""","=""22.254415""","=""""","=""""","=""0.05192""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""""","=""22.275268""","=""""","=""""","=""0.02085""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""""","=""22.289983""","=""""","=""""","=""0.01471""","=""  86         :    13  3s.3p4.(3P)     4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""""","=""22.574515""","=""""","=""""","=""0.28453""","=""  53         :    44  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""""","=""22.694304""","=""""","=""""","=""0.11979""","=""  53         :    44  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""3/2""","=""""","=""23.040936""","=""""","=""""","=""0.34663""","=""  73         :    26  3s.3p4.(3P)     2P   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""1/2""","=""""","=""23.088297""","=""""","=""""","=""0.04736""","=""  76         :    24  3s.3p4.(3P)     2P   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""""","=""23.357325""","=""""","=""""","=""0.26903""","=""                                           ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""""","=""23.364515""","=""""","=""""","=""0.00719""","=""                                           ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""","=""""","=""24.171809""","=""""","=""""","=""0.80729""","=""  60         :    17  3s.3p4.(1D)     2D   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""","=""""","=""24.210117""","=""""","=""""","=""0.03831""","=""  62         :    18  3s.3p4.(1D)     2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""""","=""24.317916""","=""""","=""""","=""0.10780""","=""  57         :    42  3s2.3p2.(1D)    2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""""","=""24.319917""","=""""","=""""","=""0.00200""","=""  58         :    42  3s2.3p2.(1D)    2F   ""","="""""
"=""3s.3p4.(3P)""","=""2P""","=""1/2""","=""""","=""24.652429""","=""""","=""""","=""0.33251""","=""  47         :    33  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s.3p4.(3P)""","=""2P""","=""3/2""","=""""","=""24.670846""","=""""","=""""","=""0.01842""","=""  46         :    33  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""""","=""24.929802""","=""""","=""""","=""0.25896""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""""","=""24.961853""","=""""","=""""","=""0.03205""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""""","=""25.015530""","=""""","=""""","=""0.05368""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""""","=""25.090263""","=""""","=""""","=""0.07473""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""""","=""25.295412""","=""""","=""""","=""0.20515""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""""","=""25.308155""","=""""","=""""","=""0.01274""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""""","=""25.359846""","=""""","=""""","=""0.05169""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""""","=""25.421347""","=""""","=""""","=""0.06150""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","=""""","=""25.53416""","=""?""","=""""","=""0.11281""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""","=""""","=""25.533065""","=""""","=""""","=""-0.00109""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""","=""""","=""25.91800""","=""?""","=""""","=""0.38493""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""","=""""","=""25.93536""","=""?""","=""""","=""0.0174""","=""                                           ""","="""""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""""","=""26.84563""","=""?""","=""""","=""0.9103""","=""                                           ""","="""""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""""","=""26.86867""","=""?""","=""""","=""0.0230""","=""                                           ""","="""""
