Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p""","=""2P*""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L495"""
"=""3s2.3p""","=""2P*""","=""3/2""","=""""","=""0.18480""","=""""","=""""","=""0.18480""","="""""
"=""3s.3p2""","=""4P""","=""1/2""","=""""","=""10.61217""","=""""","=""""","=""10.4274""","="""""
"=""3s.3p2""","=""4P""","=""3/2""","=""""","=""10.67861""","=""""","=""""","=""0.0664""","="""""
"=""3s.3p2""","=""4P""","=""5/2""","=""""","=""10.78334""","=""""","=""""","=""0.1047""","="""""
"=""3s.3p2""","=""2D""","=""3/2""","=""""","=""14.03916""","=""""","=""""","=""3.2558""","="""""
"=""3s.3p2""","=""2D""","=""5/2""","=""""","=""14.04803""","=""""","=""""","=""0.0089""","="""""
"=""3s.3p2""","=""2S""","=""1/2""","=""""","=""18.18168""","=""""","=""""","=""4.1336""","="""""
"=""3s.3p2""","=""2P""","=""1/2""","=""""","=""19.58102""","=""""","=""""","=""1.3993""","="""""
"=""3s.3p2""","=""2P""","=""3/2""","=""""","=""19.70025""","=""""","=""""","=""0.1192""","="""""
"=""3s2.3d""","=""2D""","=""3/2""","=""""","=""23.04411""","=""""","=""""","=""3.3439""","="""""
"=""3s2.3d""","=""2D""","=""5/2""","=""""","=""23.04756""","=""""","=""""","=""0.0035""","="""""
"=""3p3""","=""4S*""","=""3/2""","=""""","=""28.9316""","=""""","=""""","=""5.8840""","="""""
"=""3s2.4s""","=""2S""","=""1/2""","=""""","=""31.7785""","=""""","=""""","=""2.847""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""5/2""","=""""","=""33.4233""","=""""","=""""","=""1.645""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""33.4775""","=""""","=""""","=""0.054""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""33.5175""","=""""","=""""","=""0.040""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""33.7471""","=""""","=""""","=""0.230""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""33.7670""","=""""","=""""","=""0.020""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""33.7871""","=""""","=""""","=""0.020""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""7/2""","=""""","=""33.7996""","=""""","=""""","=""0.012""","="""""
"=""3s2.4d""","=""2D""","=""3/2""","=""""","=""43.3319""","=""""","=""""","=""9.532""","="""""
"=""3s2.4d""","=""2D""","=""5/2""","=""""","=""43.3357""","=""""","=""""","=""0.004""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""43.7709""","=""""","=""""","=""0.435""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""43.8370""","=""""","=""""","=""0.066""","="""""
"=""3s.3p.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""43.9545""","=""""","=""""","=""0.117""","="""""
"=""3s2.5d""","=""2D""","=""3/2""","=""""","=""52.448""","=""""","=""""","=""8.493""","="""""
"=""3s2.5d""","=""2D""","=""5/2""","=""""","=""52.4479""","=""""","=""""","=""-0.000""","="""""
"=""Cl VI (3s2 1S<0>)""","=""Limit""","=""---""","=""[""","=""67.68""","=""]""","=""0.10""","=""""","=""L11770"""
