Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d8""","=""a 3F""","=""4""","=""""","=""0.00000000""","=""""","=""0.00000012""","=""""","=""""","="" 100                                                              ""","=""L9429"""
"=""3d8""","=""a 3F""","=""3""","=""""","=""0.11782516""","=""""","=""0.00000025""","=""0.1178252""","=""""","="" 100                                                              ""","=""L9429"""
"=""3d8""","=""a 3F""","=""2""","=""""","=""0.19802719""","=""""","=""0.00000025""","=""0.0802020""","=""""","=""  99                                                              ""","=""L9429"""
"=""3d7.(4F).4s""","=""a 5F""","=""5""","=""""","=""0.41540831""","=""""","=""0.00000012""","=""0.2173811""","=""1.413""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""4""","=""""","=""0.49953085""","=""""","=""0.00000012""","=""0.0841225""","=""1.354""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""3""","=""""","=""0.56546577""","=""""","=""0.00000012""","=""0.0659349""","=""1.258""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""2""","=""""","=""0.61372947""","=""""","=""0.00000012""","=""0.0482637""","=""0.997""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""a 5F""","=""1""","=""""","=""0.64530031""","=""""","=""0.00000012""","=""0.0315708""","=""0.00""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""4""","=""""","=""1.21663958""","=""""","=""0.00000012""","=""0.5713393""","=""1.243""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""3""","=""""","=""1.32766384""","=""""","=""0.00000012""","=""0.1110243""","=""1.082""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4F).4s""","=""b 3F""","=""2""","=""""","=""1.40373174""","=""""","=""0.00000012""","=""0.0760679""","=""0.68""","=""  98                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 1D""","=""2""","=""""","=""1.44457424""","=""""","=""0.00000012""","=""0.0408425""","=""1.111""","=""  74                        :    23  3d8                 3P       ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""2""","=""""","=""1.64411577""","=""""","=""0.00000025""","=""0.1995415""","=""1.415""","=""  75                        :    24  3d8                 1D2      ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""1""","=""""","=""1.66192399""","=""""","=""0.00000012""","=""0.0178082""","=""1.484""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 3P""","=""0""","=""""","=""1.6853529""","=""""","=""0.0000004""","=""0.0234289""","=""""","=""  99                                                              ""","=""L9429"""
"=""3d7.(4P).4s""","=""a 5P""","=""3""","=""""","=""2.20338605""","=""""","=""0.00000012""","=""0.5180332""","=""1.68""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""a 5P""","=""2""","=""""","=""2.23561202""","=""""","=""0.00000012""","=""0.0322260""","=""1.839""","=""  98                        :     2  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""a 5P""","=""1""","=""""","=""2.27370158""","=""""","=""0.00000025""","=""0.0380896""","=""2.510""","=""  99                                                              ""","=""L9429,L7185"""
"=""3d8""","=""a 1G""","=""4""","=""""","=""2.35244233""","=""""","=""0.00000012""","=""0.0787408""","=""""","=""  98                        :     2  3d7.(2G).4s         1G       ""","=""L9429"""
"=""3d7.(2G).4s""","=""a 3G""","=""5""","=""""","=""2.68109977""","=""""","=""0.00000012""","=""0.3286574""","=""1.186""","=""  98                                                              ""","=""L9429,L7185"""
"=""3d7.(2G).4s""","=""a 3G""","=""4""","=""""","=""2.72881087""","=""""","=""0.00000012""","=""0.0477111""","=""1.066""","=""  97                                                              ""","=""L9429,L7185"""
"=""3d7.(2G).4s""","=""a 3G""","=""3""","=""""","=""2.77903526""","=""""","=""0.00000012""","=""0.0502244""","=""0.75""","="" 100                                                              ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""2""","=""""","=""2.98484767""","=""""","=""0.00000012""","=""0.2058124""","=""1.500""","=""  81                        :    16  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""1""","=""""","=""3.00877191""","=""""","=""0.00000012""","=""0.0239242""","=""1.498""","=""  77                        :    16  3d7.(2P).4s         3P       ""","=""L9429,L7185"""
"=""3d7.(4P).4s""","=""b 3P""","=""0""","=""""","=""3.02663766""","=""""","=""0.00000012""","=""0.0178657""","=""""","=""  69                        :    31  3d7.(2P).4s         3P       ""","=""L9429"""
"=""3d7.(2P).4s""","=""c 3P""","=""2""","=""""","=""3.08552036""","=""""","=""0.00000012""","=""0.0588827""","=""1.49""","=""  75                        :    18  3d7.(4P).4s         3P       ""","=""L9429,L7185"""
