Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d7""","=""a 4F""","=""9/2""","=""""","=""0.000000""","=""""","=""0.000021""","=""""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 4F""","=""7/2""","=""""","=""0.104315""","=""""","=""0.000020""","=""0.10432""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 4F""","=""5/2""","=""""","=""0.179942""","=""""","=""0.000020""","=""0.07563""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 4F""","=""3/2""","=""""","=""0.231540""","=""""","=""0.000024""","=""0.05160""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 4P""","=""5/2""","=""""","=""1.884877""","=""""","=""0.000020""","=""1.65334""","=""  98                                                ""","=""L19543"""
"=""3d7""","=""a 4P""","=""3/2""","=""""","=""1.912899""","=""""","=""0.000019""","=""0.02802""","=""  95                                                ""","=""L19543"""
"=""3d7""","=""a 4P""","=""1/2""","=""""","=""1.96048""","=""""","=""0.00003""","=""0.04758""","=""  97                                                ""","=""L19543"""
"=""3d7""","=""a 2G""","=""9/2""","=""""","=""2.105197""","=""""","=""0.000015""","=""0.14472""","=""  97                                                ""","=""L19543"""
"=""3d7""","=""a 2G""","=""7/2""","=""""","=""2.203059""","=""""","=""0.000016""","=""0.09786""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 2P""","=""3/2""","=""""","=""2.504152""","=""""","=""0.000019""","=""0.30109""","=""  83                         :    10  3d7           ""","=""L19543"""
"=""3d7""","=""a 2P""","=""1/2""","=""""","=""2.59391""","=""""","=""0.00003""","=""0.08976""","=""  97                                                ""","=""L19543"""
"=""3d7""","=""a 2H""","=""11/2""","=""""","=""2.81710""","=""""","=""0.00003""","=""0.22319""","=""  99                                                ""","=""L19543"""
"=""3d7""","=""a 2H""","=""9/2""","=""""","=""2.905685""","=""""","=""0.000019""","=""0.08859""","=""  97                                                ""","=""L19543"""
"=""3d7""","=""a 2D2""","=""5/2""","=""""","=""2.859193""","=""""","=""0.000016""","=""-0.04649""","=""  76                         :    23  3d7           ""","=""L19543"""
"=""3d7""","=""a 2D2""","=""3/2""","=""""","=""3.005229""","=""""","=""0.000021""","=""0.14604""","=""  68                         :    18  3d7           ""","=""L19543"""
"=""3d7""","=""a 2F""","=""5/2""","=""""","=""4.590195""","=""""","=""0.000025""","=""1.58497""","=""  98                                                ""","=""L19543"""
"=""3d7""","=""a 2F""","=""7/2""","=""""","=""4.626824""","=""""","=""0.000019""","=""0.03663""","=""  98                                                ""","=""L19543"""
"=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""5.7576877""","=""""","=""0.0000007""","=""1.13086""","=""  99                                                ""","=""L19543"""
"=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""5.8277190""","=""""","=""0.0000005""","=""0.0700313""","=""  99                                                ""","=""L19543"""
