Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d6""","=""5D""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                        ""","=""L7185"""
"=""3d6""","=""5D""","=""3""","=""""","=""0.07924""","=""""","=""""","=""0.07924""","="" 100                                        ""","="""""
"=""3d6""","=""5D""","=""2""","=""""","=""0.13362""","=""""","=""""","=""0.0544""","="" 100                                        ""","="""""
"=""3d6""","=""5D""","=""1""","=""""","=""0.16828""","=""""","=""""","=""0.0347""","="" 100                                        ""","="""""
"=""3d6""","=""5D""","=""0""","=""""","=""0.18518""","=""""","=""""","=""0.0169""","="" 100                                        ""","="""""
"=""3d6""","=""3P2""","=""2""","=""""","=""2.83717""","=""""","=""""","=""2.6520""","=""  62             :    38  3d6          3P1  ""","="""""
"=""3d6""","=""3P2""","=""1""","=""""","=""3.06603""","=""""","=""""","=""0.2289""","=""  62             :    37  3d6          3P1  ""","="""""
"=""3d6""","=""3P2""","=""0""","=""""","=""3.15524""","=""""","=""""","=""0.0892""","=""  62             :    37  3d6          3P1  ""","="""""
"=""3d6""","=""3H""","=""6""","=""""","=""2.93588""","=""""","=""""","=""-0.2194""","="" 100                                        ""","="""""
"=""3d6""","=""3H""","=""5""","=""""","=""2.97956""","=""""","=""""","=""0.0437""","=""  98             :     2  3d6          3G   ""","="""""
"=""3d6""","=""3H""","=""4""","=""""","=""3.00934""","=""""","=""""","=""0.0298""","=""  93             :     3  3d6          3G   ""","="""""
"=""3d6""","=""3F2""","=""4""","=""""","=""3.14870""","=""""","=""""","=""0.1394""","=""  71             :    21  3d6          3F1  ""","="""""
"=""3d6""","=""3F2""","=""3""","=""""","=""3.19084""","=""""","=""""","=""0.0421""","=""  76             :    21  3d6          3F1  ""","="""""
"=""3d6""","=""3F2""","=""2""","=""""","=""3.21975""","=""""","=""""","=""0.0289""","=""  79             :    20  3d6          3F1  ""","="""""
"=""3d6""","=""3G""","=""5""","=""""","=""3.59824""","=""""","=""""","=""0.3785""","=""  98             :     2  3d6          3H   ""","="""""
"=""3d6""","=""3G""","=""4""","=""""","=""3.66897""","=""""","=""""","=""0.0707""","=""  95             :     3  3d6          3F2  ""","="""""
"=""3d6""","=""3G""","=""3""","=""""","=""3.70310""","=""""","=""""","=""0.0341""","=""  97             :     3  3d6          3F2  ""","="""""
"=""3d6""","=""1I""","=""6""","=""""","=""4.45633""","=""""","=""""","=""0.7532""","="" 100                                        ""","="""""
"=""3d6""","=""3D""","=""2""","=""""","=""4.50658""","=""""","=""""","=""0.0502""","=""  98             :     1  3d6          1D2  ""","="""""
"=""3d6""","=""3D""","=""1""","=""""","=""4.51079""","=""""","=""""","=""0.0042""","="" 100                                        ""","="""""
"=""3d6""","=""3D""","=""3""","=""""","=""4.53218""","=""""","=""""","=""0.0214""","="" 100                                        ""","="""""
"=""3d6""","=""1G2""","=""4""","=""""","=""4.54815""","=""""","=""""","=""0.0160""","=""  65             :    33  3d6          1G1  ""","="""""
"=""3d6""","=""1S2""","=""0""","=""""","=""5.13814""","=""""","=""""","=""0.5900""","=""  76             :    23  3d6          1S1  ""","="""""
"=""3d6""","=""1D2""","=""2""","=""""","=""5.24971""","=""""","=""""","=""0.1116""","=""  76             :    22  3d6          1D1  ""","="""""
"=""3d6""","=""1F""","=""3""","=""""","=""6.27733""","=""""","=""""","=""1.0276""","=""  99             :     1  3d6          3F1  ""","="""""
"=""3d6""","=""3P1""","=""0""","=""""","=""7.23083""","=""""","=""""","=""0.9535""","=""  63             :    37  3d6          3P2  ""","="""""
"=""3d6""","=""3P1""","=""1""","=""""","=""7.30512""","=""""","=""""","=""0.0743""","=""  63             :    37  3d6          3P2  ""","="""""
"=""3d6""","=""3P1""","=""2""","=""""","=""7.45125""","=""""","=""""","=""0.1461""","=""  62             :    38  3d6          3P2  ""","="""""
"=""3d6""","=""3F1""","=""2""","=""""","=""7.40791""","=""""","=""""","=""-0.0433""","=""  80             :    20  3d6          3F2  ""","="""""
"=""3d6""","=""3F1""","=""4""","=""""","=""7.41899""","=""""","=""""","=""0.0111""","=""  77             :    22  3d6          3F2  ""","="""""
"=""3d6""","=""3F1""","=""3""","=""""","=""7.42700""","=""""","=""""","=""0.0080""","=""  78             :    21  3d6          3F2  ""","="""""
"=""3d6""","=""1G1""","=""4""","=""""","=""8.41939""","=""""","=""""","=""0.9924""","=""  66             :    34  3d6          1G2  ""","="""""
"=""3d5.(6S).4s""","=""7S""","=""3""","=""""","=""11.22731""","=""""","=""""","=""2.8079""","="" 100                                        ""","="""""
"=""3d6""","=""1D1""","=""2""","=""""","=""11.30964""","=""""","=""""","=""0.0823""","=""  78             :    22  3d6          1D2  ""","="""""
"=""3d5.(6S).4s""","=""5S""","=""2""","=""""","=""12.74234""","=""""","=""""","=""1.4327""","="" 100                                        ""","="""""
