Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d5""","=""6S""","=""5/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                        ""","=""L7185"""
"=""3d5""","=""4G""","=""11/2""","=""""","=""4.61438""","=""""","=""""","=""4.61438""","="" 100                                        ""","="""""
"=""3d5""","=""4G""","=""9/2""","=""""","=""4.62322""","=""""","=""""","=""0.0088""","="" 100                                        ""","="""""
"=""3d5""","=""4G""","=""5/2""","=""""","=""4.62331""","=""""","=""""","=""0.0001""","=""  99                                        ""","="""""
"=""3d5""","=""4G""","=""7/2""","=""""","=""4.62511""","=""""","=""""","=""0.0018""","="" 100                                        ""","="""""
"=""3d5""","=""4P""","=""5/2""","=""""","=""5.05275""","=""""","=""""","=""0.4276""","=""  93             :     6  3d5          4D   ""","="""""
"=""3d5""","=""4P""","=""3/2""","=""""","=""5.06983""","=""""","=""""","=""0.0171""","=""  95             :     5  3d5          4D   ""","="""""
"=""3d5""","=""4P""","=""1/2""","=""""","=""5.08630""","=""""","=""""","=""0.0165""","=""  98             :     2  3d5          4D   ""","="""""
"=""3d5""","=""4D""","=""7/2""","=""""","=""5.54322""","=""""","=""""","=""0.4569""","="" 100                                        ""","="""""
"=""3d5""","=""4D""","=""1/2""","=""""","=""5.56782""","=""""","=""""","=""0.0246""","=""  98             :     2  3d5          4P   ""","="""""
"=""3d5""","=""4D""","=""5/2""","=""""","=""5.57732""","=""""","=""""","=""0.0095""","=""  93             :     6  3d5          4P   ""","="""""
"=""3d5""","=""4D""","=""3/2""","=""""","=""5.57764""","=""""","=""""","=""0.0003""","=""  95             :     5  3d5          4P   ""","="""""
"=""3d5""","=""2I""","=""11/2""","=""""","=""6.73720""","=""""","=""""","=""1.1596""","=""  99             :     1  3d5          2H   ""","="""""
"=""3d5""","=""2I""","=""13/2""","=""""","=""6.74184""","=""""","=""""","=""0.0046""","="" 100                                        ""","="""""
"=""3d5""","=""2D3""","=""5/2""","=""""","=""7.07734""","=""""","=""""","=""0.3355""","=""  54             :    27  3d5          2F1  ""","="""""
"=""3d5""","=""2D3""","=""3/2""","=""""","=""7.16916""","=""""","=""""","=""0.0918""","=""  72             :    22  3d5          2D2  ""","="""""
"=""3d5""","=""2F1""","=""7/2""","=""""","=""7.37147""","=""""","=""""","=""0.2023""","=""  96             :     2  3d5          4F   ""","="""""
"=""3d5""","=""2F1""","=""5/2""","=""""","=""7.50504""","=""""","=""""","=""0.1336""","=""  58             :    25  3d5          4F   ""","="""""
"=""3d5""","=""4F""","=""9/2""","=""""","=""7.54200""","=""""","=""""","=""0.0370""","=""  97             :     3  3d5          2G2  ""","="""""
"=""3d5""","=""4F""","=""7/2""","=""""","=""7.55976""","=""""","=""""","=""0.0178""","=""  96             :     2  3d5          2F1  ""","="""""
"=""3d5""","=""4F""","=""3/2""","=""""","=""7.58947""","=""""","=""""","=""0.0297""","=""  94             :     4  3d5          2D3  ""","="""""
"=""3d5""","=""4F""","=""5/2""","=""""","=""7.59831""","=""""","=""""","=""0.0088""","=""  73             :    15  3d5          2F1  ""","="""""
