Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d5""","=""a 6S""","=""5/2""","=""""","=""0.00000000""","=""""","=""0.00000009""","=""""","=""""","=""                                         ""","=""L18847"""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""","=""""","=""1.48306754""","=""""","=""0.00000006""","=""1.4830675""","=""3.323""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""","=""""","=""1.49184541""","=""""","=""0.00000006""","=""0.00877787""","=""1.867""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""","=""""","=""1.50613169""","=""""","=""0.00000006""","=""0.01428628""","=""1.669""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""1.52547926""","=""""","=""0.00000006""","=""0.01934757""","=""1.578""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""1.54936314""","=""""","=""0.00000006""","=""0.02388388""","=""1.554""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""1/2""","=""""","=""2.42119186""","=""""","=""0.00000006""","=""0.87182872""","=""0.000""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""3/2""","=""""","=""2.43395932""","=""""","=""0.00000006""","=""0.01276746""","=""1.192""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""5/2""","=""""","=""2.45462173""","=""""","=""0.00000006""","=""0.02066241""","=""1.370""","=""                                         ""","=""L18847,L7185"""
"=""3d4.(5D).4s""","=""a 4D""","=""7/2""","=""""","=""2.48266104""","=""""","=""0.00000006""","=""0.02803931""","=""1.427""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""5/2""","=""""","=""2.54317169""","=""""","=""0.00000006""","=""0.06051065""","=""0.599""","=""                                         ""","=""L18847,L7185"""
"=""3d5""","=""a 4G""","=""11/2""","=""""","=""2.54317577""","=""""","=""0.00000009""","=""0.0000041""","=""1.278""","=""                                         ""","=""L18847,L7185"""
