Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d4""","=""5D""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","="" 100                                        ""","=""L7185"""
"=""3d4""","=""5D""","=""1""","=""""","=""0.007714""","=""""","=""""","=""0.007714""","="" 100                                        ""","="""""
"=""3d4""","=""5D""","=""2""","=""""","=""0.022709""","=""""","=""""","=""0.01499""","="" 100                                        ""","="""""
"=""3d4""","=""5D""","=""3""","=""""","=""0.044207""","=""""","=""""","=""0.02150""","="" 100                                        ""","="""""
"=""3d4""","=""5D""","=""4""","=""""","=""0.071425""","=""""","=""""","=""0.02722""","="" 100                                        ""","="""""
"=""3d4""","=""3P2""","=""0""","=""""","=""2.079384""","=""""","=""""","=""2.00796""","=""  58             :    41  3d4          3P1  ""","="""""
"=""3d4""","=""3P2""","=""1""","=""""","=""2.128630""","=""""","=""""","=""0.04925""","=""  59             :    41  3d4          3P1  ""","="""""
"=""3d4""","=""3P2""","=""2""","=""""","=""2.213264""","=""""","=""""","=""0.08463""","=""  59             :    41  3d4          3P1  ""","="""""
"=""3d4""","=""3H""","=""4""","=""""","=""2.141666""","=""""","=""""","=""-0.07160""","=""  99                                        ""","="""""
"=""3d4""","=""3H""","=""5""","=""""","=""2.156943""","=""""","=""""","=""0.01528""","=""  99                                        ""","="""""
"=""3d4""","=""3H""","=""6""","=""""","=""2.173524""","=""""","=""""","=""0.01658""","="" 100                                        ""","="""""
"=""3d4""","=""3F2""","=""2""","=""""","=""2.287737""","=""""","=""""","=""0.11421""","=""  77             :    22  3d4          3F1  ""","="""""
"=""3d4""","=""3F2""","=""3""","=""""","=""2.295094""","=""""","=""""","=""0.00736""","=""  77             :    22  3d4          3F1  ""","="""""
"=""3d4""","=""3F2""","=""4""","=""""","=""2.304047""","=""""","=""""","=""0.00895""","=""  77             :    21  3d4          3F1  ""","="""""
"=""3d4""","=""3G""","=""3""","=""""","=""2.566924""","=""""","=""""","=""0.26288""","=""  98                                        ""","="""""
"=""3d4""","=""3G""","=""4""","=""""","=""2.585436""","=""""","=""""","=""0.01851""","=""  98                                        ""","="""""
"=""3d4""","=""3G""","=""5""","=""""","=""2.603177""","=""""","=""""","=""0.01774""","=""  99                                        ""","="""""
"=""3d4""","=""1G2""","=""4""","=""""","=""3.116823""","=""""","=""""","=""0.51365""","=""  64             :    35  3d4          1G1  ""","="""""
"=""3d4""","=""3D""","=""3""","=""""","=""3.189672""","=""""","=""""","=""0.07285""","="" 100                                        ""","="""""
"=""3d4""","=""3D""","=""2""","=""""","=""3.196429""","=""""","=""""","=""0.00676""","="" 100                                        ""","="""""
"=""3d4""","=""3D""","=""1""","=""""","=""3.204782""","=""""","=""""","=""0.00835""","="" 100                                        ""","="""""
"=""3d4""","=""1I""","=""6""","=""""","=""3.225435""","=""""","=""""","=""0.02065""","="" 100                                        ""","="""""
"=""3d4""","=""1S2""","=""0""","=""""","=""3.393735""","=""""","=""""","=""0.16830""","=""  77             :    22  3d4          1S1  ""","="""""
"=""3d4""","=""1D2""","=""2""","=""""","=""3.986339""","=""""","=""""","=""0.59260""","=""  77             :    22  3d4          1D1  ""","="""""
"=""3d4""","=""1F""","=""3""","=""""","=""4.588055""","=""""","=""""","=""0.60172""","="" 100                                        ""","="""""
"=""3d4""","=""3F1""","=""4""","=""""","=""5.366868""","=""""","=""""","=""0.77881""","=""  79             :    21  3d4          3F2  ""","="""""
"=""3d4""","=""3F1""","=""2""","=""""","=""5.369077""","=""""","=""""","=""0.00221""","=""  77             :    22  3d4          3F2  ""","="""""
"=""3d4""","=""3F1""","=""3""","=""""","=""5.371265""","=""""","=""""","=""0.00219""","=""  78             :    22  3d4          3F2  ""","="""""
"=""3d4""","=""3P1""","=""2""","=""""","=""5.386120""","=""""","=""""","=""0.01485""","=""  59             :    41  3d4          3P2  ""","="""""
"=""3d4""","=""3P1""","=""1""","=""""","=""5.444963""","=""""","=""""","=""0.05884""","=""  59             :    41  3d4          3P2  ""","="""""
"=""3d4""","=""3P1""","=""0""","=""""","=""5.472831""","=""""","=""""","=""0.02787""","=""  59             :    41  3d4          3P2  ""","="""""
"=""3d3.(4F).4s""","=""5F""","=""1""","=""""","=""6.136283""","=""""","=""""","=""0.66345""","="" 100                                        ""","="""""
"=""3d3.(4F).4s""","=""5F""","=""2""","=""""","=""6.153119""","=""""","=""""","=""0.01684""","="" 100                                        ""","="""""
"=""3d3.(4F).4s""","=""5F""","=""3""","=""""","=""6.177997""","=""""","=""""","=""0.02488""","="" 100                                        ""","="""""
"=""3d3.(4F).4s""","=""5F""","=""4""","=""""","=""6.210514""","=""""","=""""","=""0.03252""","="" 100                                        ""","="""""
"=""3d3.(4F).4s""","=""5F""","=""5""","=""""","=""6.250051""","=""""","=""""","=""0.03954""","="" 100                                        ""","="""""
