Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d3""","=""4F""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                   ""","=""L7185"""
"=""3d3""","=""4F""","=""5/2""","=""""","=""0.02943""","=""""","=""""","=""0.02943""","="" 100                                   ""","="""""
"=""3d3""","=""4F""","=""7/2""","=""""","=""0.06898""","=""""","=""""","=""0.0396""","="" 100                                   ""","="""""
"=""3d3""","=""4F""","=""9/2""","=""""","=""0.11723""","=""""","=""""","=""0.0483""","="" 100                                   ""","="""""
"=""3d3""","=""4P""","=""1/2""","=""""","=""1.74321""","=""""","=""""","=""1.6260""","="" 100                                   ""","="""""
"=""3d3""","=""4P""","=""3/2""","=""""","=""1.75779""","=""""","=""""","=""0.0146""","=""  99                                   ""","="""""
"=""3d3""","=""4P""","=""5/2""","=""""","=""1.79432""","=""""","=""""","=""0.0365""","="" 100                                   ""","="""""
"=""3d3""","=""2G""","=""7/2""","=""""","=""1.86641""","=""""","=""""","=""0.0721""","="" 100                                   ""","="""""
"=""3d3""","=""2G""","=""9/2""","=""""","=""1.90965""","=""""","=""""","=""0.0432""","="" 100                                   ""","="""""
"=""3d3""","=""2P""","=""3/2""","=""""","=""2.41018""","=""""","=""""","=""0.5005""","=""  93                                   ""","="""""
"=""3d3""","=""2P""","=""1/2""","=""""","=""2.42027""","=""""","=""""","=""0.0101""","="" 100                                   ""","="""""
"=""3d3""","=""2D2""","=""3/2""","=""""","=""2.56040""","=""""","=""""","=""0.1401""","=""  72         :    22  3d3         2D1  ""","="""""
"=""3d3""","=""2D2""","=""5/2""","=""""","=""2.56220""","=""""","=""""","=""0.0018""","=""  78         :    22  3d3         2D1  ""","="""""
"=""3d3""","=""2H""","=""9/2""","=""""","=""2.61196""","=""""","=""""","=""0.0498""","="" 100                                   ""","="""""
"=""3d3""","=""2H""","=""11/2""","=""""","=""2.64348""","=""""","=""""","=""0.0315""","="" 100                                   ""","="""""
"=""3d3""","=""2F""","=""7/2""","=""""","=""4.26063""","=""""","=""""","=""1.6172""","="" 100                                   ""","="""""
"=""3d3""","=""2F""","=""5/2""","=""""","=""4.28451""","=""""","=""""","=""0.0239""","="" 100                                   ""","="""""
"=""3d3""","=""2D1""","=""5/2""","=""""","=""6.56824""","=""""","=""""","=""2.2837""","=""  78         :    22  3d3         2D2  ""","="""""
