Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3p6.3d2""","=""3F""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7185"""
"=""3p6.3d2""","=""3F""","=""3""","=""""","=""0.06301""","=""""","=""""","=""0.06301""","="""""
"=""3p6.3d2""","=""3F""","=""4""","=""""","=""0.14155""","=""""","=""""","=""0.0785""","="""""
"=""3p6.3d2""","=""1D""","=""2""","=""""","=""1.63510""","=""""","=""""","=""1.4935""","="""""
"=""3p6.3d2""","=""3P""","=""0""","=""""","=""1.92074""","=""""","=""""","=""0.2856""","="""""
"=""3p6.3d2""","=""3P""","=""1""","=""""","=""1.94365""","=""""","=""""","=""0.0229""","="""""
"=""3p6.3d2""","=""3P""","=""2""","=""""","=""1.98883""","=""""","=""""","=""0.0452""","="""""
"=""3p6.3d2""","=""1G""","=""4""","=""""","=""2.73003""","=""""","=""""","=""0.7412""","="""""
"=""3p6.3d2""","=""1S""","=""0""","=""""","=""6.34135""","=""""","=""""","=""3.6113""","="""""
"=""3p6.3d.4s""","=""3D""","=""1""","=""""","=""20.72723""","=""""","=""""","=""14.3859""","="""""
"=""3p6.3d.4s""","=""3D""","=""2""","=""""","=""20.76624""","=""""","=""""","=""0.0390""","="""""
"=""3p6.3d.4s""","=""3D""","=""3""","=""""","=""20.84044""","=""""","=""""","=""0.0742""","="""""
"=""3p6.3d.4s""","=""1D""","=""2""","=""""","=""21.28785""","=""""","=""""","=""0.4474""","="""""
"=""3p6.3d.4p""","=""1D*""","=""2""","=""""","=""28.03528""","=""""","=""""","=""6.7474""","="""""
"=""3p6.3d.4p""","=""3D*""","=""1""","=""""","=""28.26862""","=""""","=""""","=""0.2333""","="""""
"=""3p6.3d.4p""","=""3D*""","=""2""","=""""","=""28.32904""","=""""","=""""","=""0.0604""","="""""
"=""3p6.3d.4p""","=""3D*""","=""3""","=""""","=""28.40736""","=""""","=""""","=""0.0783""","="""""
"=""3p6.3d.4p""","=""3F*""","=""2""","=""""","=""28.46078""","=""""","=""""","=""0.0534""","="""""
"=""3p6.3d.4p""","=""3F*""","=""3""","=""""","=""28.55558""","=""""","=""""","=""0.0948""","="""""
"=""3p6.3d.4p""","=""3F*""","=""4""","=""""","=""28.68906""","=""""","=""""","=""0.1335""","="""""
"=""3p6.3d.4p""","=""3P*""","=""1""","=""""","=""29.08897""","=""""","=""""","=""0.3999""","="""""
"=""3p6.3d.4p""","=""3P*""","=""0""","=""""","=""29.09519""","=""""","=""""","=""0.0062""","="""""
"=""3p6.3d.4p""","=""3P*""","=""2""","=""""","=""29.11724""","=""""","=""""","=""0.0221""","="""""
"=""3p6.3d.4p""","=""1F*""","=""3""","=""""","=""29.44990""","=""""","=""""","=""0.3327""","="""""
"=""3p6.3d.4p""","=""1P*""","=""1""","=""""","=""29.74598""","=""""","=""""","=""0.2961""","="""""
"=""3p6.3d.4d""","=""1F""","=""3""","=""""","=""39.26268""","=""""","=""""","=""9.5167""","="""""
"=""3p6.3d.4d""","=""3D""","=""1""","=""""","=""39.41381""","=""""","=""""","=""0.1511""","="""""
"=""3p6.3d.4d""","=""3D""","=""2""","=""""","=""39.45519""","=""""","=""""","=""0.0414""","="""""
"=""3p6.3d.4d""","=""3D""","=""3""","=""""","=""39.50158""","=""""","=""""","=""0.0464""","="""""
"=""3p6.3d.4d""","=""3G""","=""3""","=""""","=""39.56573""","=""""","=""""","=""0.0642""","="""""
"=""3p6.3d.4d""","=""3G""","=""4""","=""""","=""39.61503""","=""""","=""""","=""0.0493""","="""""
"=""3p6.3d.4d""","=""3G""","=""5""","=""""","=""39.68417""","=""""","=""""","=""0.0691""","="""""
"=""3p6.3d.4d""","=""1P""","=""1""","=""""","=""39.58617""","=""""","=""""","=""-0.0980""","="""""
"=""3p6.3d.4d""","=""3S""","=""1""","=""""","=""39.98839""","=""""","=""""","=""0.4022""","="""""
"=""3p6.3d.4d""","=""3F""","=""2""","=""""","=""40.30777""","=""""","=""""","=""0.3194""","="""""
"=""3p6.3d.4d""","=""3F""","=""3""","=""""","=""40.35345""","=""""","=""""","=""0.0457""","="""""
"=""3p6.3d.4d""","=""3F""","=""4""","=""""","=""40.40449""","=""""","=""""","=""0.0510""","="""""
"=""3p6.3d.4d""","=""1D""","=""2""","=""""","=""40.83423""","=""""","=""""","=""0.4297""","="""""
"=""3p6.3d.4d""","=""3P""","=""0""","=""""","=""40.92530""","=""""","=""""","=""0.0911""","="""""
"=""3p6.3d.4d""","=""3P""","=""1""","=""""","=""40.94517""","=""""","=""""","=""0.0199""","="""""
"=""3p6.3d.4d""","=""3P""","=""2""","=""""","=""40.98134""","=""""","=""""","=""0.0362""","="""""
"=""3p6.3d.4d""","=""1G""","=""4""","=""""","=""41.13935""","=""""","=""""","=""0.1580""","="""""
"=""3p6.3d.5s""","=""3D""","=""1""","=""""","=""44.23072""","=""""","=""""","=""3.0914""","="""""
"=""3p6.3d.5s""","=""3D""","=""2""","=""""","=""44.26004""","=""""","=""""","=""0.0293""","="""""
"=""3p6.3d.5s""","=""3D""","=""3""","=""""","=""44.34616""","=""""","=""""","=""0.0861""","="""""
"=""3p6.3d.5s""","=""1D""","=""2""","=""""","=""44.46740""","=""""","=""""","=""0.1212""","="""""
"=""Cr VI (3d 2D<3/2>)""","=""Limit""","=""---""","=""[""","=""69.46""","=""]""","=""0.04""","=""""","=""L1933,L7185"""
