Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00005""","=""""","=""""","=""                        ""","=""L6838"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""13.31609635""","=""""","=""0.00000020""","=""13.31610""","=""1.49""","=""  81                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""13.75658747""","=""""","=""0.00000016""","=""0.4404911""","=""1.24""","=""  63                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""13.33723576""","=""""","=""0.00000021""","=""-0.4193517""","=""""","=""  97                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""13.37965047""","=""""","=""0.00000017""","=""0.0424147""","=""1.37""","=""  42                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""13.9166736""","=""""","=""0.0000003""","=""0.5370231""","=""""","="" 100                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""14.10019770""","=""""","=""0.00000017""","=""0.1835241""","=""""","=""  79                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""13.98595084""","=""""","=""0.00000015""","=""-0.1142469""","=""""","=""  75                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""15.33009829""","=""""","=""0.00000011""","=""1.3441475""","=""0.70""","=""  47                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""14.34193821""","=""""","=""0.00000014""","=""-0.9881601""","=""""","=""  95                    ""","=""L6838"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""14.66417895""","=""""","=""0.00000014""","=""0.3222407""","=""""","=""  81                    ""","=""L6838"""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""15.17254342""","=""""","=""0.00000014""","=""0.5083645""","=""""","=""  97                    ""","=""L6838"""
