Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""                                               ""","=""L14869"""
"=""5s2.5p5""","=""2P*""","=""1/2""","=""""","=""1.71685394""","=""""","=""0.00000012""","=""1.71685394""","=""  98                                           ""","=""L14869"""
"=""5s.5p6""","=""2S""","=""1/2""","=""""","=""13.471251""","=""""","=""0.000004""","=""11.754397""","=""  62         :    35  5s2.5p4.(1D<2>).5d 2[0]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""5/2""","=""""","=""14.9308096""","=""""","=""0.0000006""","=""1.459559""","=""  53         :    30  5s2.5p4.(3P<2>).5d 2[3]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""","=""""","=""15.0102288""","=""""","=""0.0000007""","=""0.0794192""","=""  55         :    18  5s2.5p4.(3P<2>).5d 2[1]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""7/2""","=""""","=""14.9751383""","=""""","=""0.0000007""","=""-0.0350905""","=""  88         :     6  5s2.5p4.(3P<1>).5d 2[3]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""""","=""17.1673886""","=""""","=""0.0000005""","=""2.1922503""","=""  12         :    26  5s2.5p4.(3P<2>).5d 2[2]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""1/2""","=""""","=""15.1690043""","=""""","=""0.0000010""","=""-1.998384""","=""  65         :    18  5s2.5p4.(3P<1>).5d 2[1]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""""","=""16.3389449""","=""""","=""0.0000005""","=""1.169941""","=""  33         :    21  5s2.5p4.(3P<0>).5d 2[2]  ""","=""L14869"""
"=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""""","=""15.6129393""","=""""","=""0.0000010""","=""-0.726006""","=""  85         :    15  5s2.5p4.(1D<2>).5d 2[4]  ""","=""L14869"""
