Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                            ""","=""L15024"""
"=""5s2.5p4""","=""3P""","=""0""","=""""","=""1.20877""","=""""","=""0.00012""","=""1.20877""","=""  76         :    24  5s2.5p4          1S   ""","=""L12055"""
"=""5s2.5p4""","=""3P""","=""1""","=""""","=""1.59964""","=""""","=""0.00012""","=""0.3909""","="" 100                                        ""","=""L12055"""
"=""5s2.5p4""","=""1D""","=""2""","=""""","=""2.57317""","=""""","=""0.00012""","=""0.9735""","=""  86         :    14  5s2.5p4          3P   ""","=""L12055"""
"=""5s2.5p4""","=""1S""","=""0""","=""""","=""5.36596""","=""""","=""0.00012""","=""2.7928""","=""  76         :    24  5s2.5p4          3P   ""","=""L12055"""
"=""5s.5p5""","=""3P*""","=""2""","=""""","=""14.17235""","=""""","=""0.00012""","=""8.8064""","=""  78         :    14  5s2.5p3.(2D*).5d 3P*  ""","=""L12055"""
"=""5s.5p5""","=""3P*""","=""1""","=""""","=""15.03215""","=""""","=""0.00012""","=""0.8598""","=""  67         :    14  5s2.5p3.(2D*).5d 3P*  ""","=""L12055"""
"=""5s.5p5""","=""3P*""","=""0""","=""""","=""15.88068""","=""""","=""0.00012""","=""0.8485""","=""  71         :    16  5s2.5p3.(2D*).5d 3P*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""3""","=""""","=""16.85936""","=""""","=""0.00012""","=""0.9787""","=""  77         :     7  5s2.5p3.(2P*).5d 3F*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""2""","=""""","=""16.87959""","=""""","=""0.00012""","=""0.0202""","=""  75         :     7  5s2.5p3.(2P*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""0""","=""""","=""16.93943""","=""""","=""0.00012""","=""0.0598""","=""  82         :     6  5s.5p5           3P*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""4""","=""(""","=""16.96823""","="")""","=""0.00012""","=""0.0288""","=""  85         :    12  5s2.5p3.(2P*).5d 3F*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""1""","=""""","=""16.96954""","=""""","=""0.00012""","=""0.0013""","=""  87                                        ""","=""L12055"""
"=""5s2.5p3.(2D*).5d""","=""1P*""","=""1""","=""""","=""17.53173""","=""""","=""0.00012""","=""0.5622""","=""  42         :    38  5s.5p5           1P*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""2""","=""""","=""17.62646""","=""""","=""0.00012""","=""0.0947""","=""  23         :    19  5s2.5p3.(2D*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""3""","=""""","=""18.31191""","=""""","=""0.00012""","=""0.6854""","=""  31         :    26  5s2.5p3.(2D*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""1""","=""""","=""18.42901""","=""""","=""0.00012""","=""0.1171""","=""  51         :    38  5s2.5p3.(2D*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""2""","=""""","=""18.71947""","=""""","=""0.00012""","=""0.2905""","=""  49         :    23  5s2.5p3.(2D*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""3""","=""""","=""18.94190""","=""""","=""0.00012""","=""0.2224""","=""  61         :    13  5s2.5p3.(2D*).5d 3D*  ""","=""L12055"""
"=""5s2.5p3.(2D*).5d""","=""3F*""","=""4""","=""(""","=""19.55962""","="")""","=""0.00012""","=""0.6177""","=""  74         :    18  5s2.5p3.(2D*).5d 3G*  ""","=""L12055"""
"=""5s2.5p3.(2D*).5d""","=""1S*""","=""0""","=""""","=""18.94877""","=""""","=""0.00012""","=""-0.6108""","=""  84         :     8  5s2.5p3.(2P*).5d 3P*  ""","=""L12055"""
