Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                            ""","=""L15024"""
"=""5s2.5p3""","=""2D*""","=""3/2""","=""""","=""1.86936""","=""""","=""0.00012""","=""1.86936""","=""  71         :    16  5s2.5p3          4S*  ""","=""L11170"""
"=""5s2.5p3""","=""2D*""","=""5/2""","=""""","=""2.52599""","=""""","=""0.00012""","=""0.6566""","="" 100                                        ""","=""L11170"""
"=""5s2.5p3""","=""2P*""","=""1/2""","=""""","=""3.96143""","=""""","=""0.00012""","=""1.4354""","="" 100                                        ""","=""L11170"""
"=""5s2.5p3""","=""2P*""","=""3/2""","=""""","=""5.24127""","=""""","=""0.00012""","=""1.2798""","=""  71         :    23  5s2.5p3          2D*  ""","=""L11170"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""5/2""","=""""","=""14.12201""","=""""","=""0.00012""","=""8.8807""","=""  86         :     8  5s2.5p2.(3P).5d  4P   ""","=""L11170"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""3/2""","=""""","=""15.27391""","=""""","=""0.00012""","=""1.1519""","=""  84         :     9  5s2.5p2.(3P).5d  4P   ""","=""L11170"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""1/2""","=""""","=""15.60444""","=""""","=""0.00012""","=""0.3305""","=""  83         :     9  5s2.5p2.(3P).5d  4P   ""","=""L11170"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""3/2""","=""""","=""17.35273""","=""""","=""0.00012""","=""1.7483""","=""  60         :    14  5s2.5p2.(1D).5d  2D   ""","=""L11170"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""5/2""","=""""","=""17.89501""","=""""","=""0.00012""","=""0.5423""","=""  73         :    17  5s2.5p2.(1D).5d  2D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""3/2""","=""""","=""19.21398""","=""""","=""0.00012""","=""1.3190""","=""  31         :    17  5s2.5p2.(3P).5d  4F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""1/2""","=""""","=""24.93838""","=""""","=""0.00012""","=""5.7244""","=""  30         :    25  5s2.5p2.(1D).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""3/2""","=""""","=""19.57748""","=""""","=""0.00012""","=""-5.3609""","=""  63         :    16  5s.(2S).5p4.(3P) 2P   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""5/2""","=""""","=""19.87813""","=""""","=""0.00012""","=""0.3006""","=""  65         :    22  5s2.5p2.(3P).5d  4D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""7/2""","=""""","=""20.73401""","=""""","=""0.00012""","=""0.8559""","=""  83         :    13  5s2.5p2.(3P).5d  4D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""9/2""","=""(""","=""21.41419""","="")""","=""0.00012""","=""0.6802""","=""  81         :    19  5s2.5p2.(1D).5d  2G   ""","=""L11170"""
"=""5s.(2S).5p4.(3P)""","=""2P""","=""1/2""","=""""","=""19.62035""","=""""","=""0.00012""","=""-1.7938""","=""  31         :    32  5s.(2S).5p4.(3P) 2P   ""","=""L11170"""
"=""5s.(2S).5p4.(3P)""","=""2P""","=""3/2""","=""""","=""23.33950""","=""""","=""0.00012""","=""3.7192""","=""  41         :    21  5s2.5p2.(3P).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""5/2""","=""""","=""20.68059""","=""""","=""0.00012""","=""-2.6589""","=""  40         :    30  5s2.5p2.(3P).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""7/2""","=""""","=""21.16865""","=""""","=""0.00012""","=""0.4881""","=""  35         :    38  5s2.5p2.(3P).5d  4D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""1/2""","=""""","=""21.02250""","=""""","=""0.00012""","=""-0.1461""","=""  70         :    18  5s.(2S).5p4.(1S) 2S   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""3/2""","=""""","=""21.31743""","=""""","=""0.00012""","=""0.2949""","=""  79         :    10  5s2.5p2.(3P).5d  4F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""5/2""","=""""","=""21.74745""","=""""","=""0.00012""","=""0.4300""","=""  52         :    14  5s2.5p2.(3P).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""7/2""","=""""","=""22.84341""","=""""","=""0.00012""","=""1.0960""","=""  35         :    35  5s2.5p2.(1D).5d  2G   ""","=""L11170"""
"=""5s.(2S).5p4.(1S)""","=""2S""","=""1/2""","=""""","=""21.76875""","=""""","=""0.00012""","=""-1.0747""","=""  32         :    22  5s2.5p2.(3P).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""5/2""","=""""","=""23.26189""","=""""","=""0.00012""","=""1.4931""","=""  71         :    10  5s2.5p2.(3P).5d  4D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""3/2""","=""""","=""23.55602""","=""""","=""0.00012""","=""0.2941""","=""  60         :    24  5s2.5p2.(1D).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""1/2""","=""""","=""23.71033""","=""""","=""0.00012""","=""0.1543""","=""  65         :    16  5s2.5p2.(1D).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2G""","=""7/2""","=""""","=""23.48458""","=""""","=""0.00012""","=""-0.2257""","=""  51         :    31  5s2.5p2.(1D).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2G""","=""9/2""","=""(""","=""23.91361""","="")""","=""0.00012""","=""0.4290""","=""  81         :    19  5s2.5p2.(3P).5d  4F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2D""","=""3/2""","=""""","=""24.21764""","=""""","=""0.00012""","=""0.3040""","=""  43         :    18  5s2.5p2.(1S).5d  2D   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2D""","=""5/2""","=""""","=""24.72288""","=""""","=""0.00012""","=""0.5052""","=""  54         :    16  5s2.5p2.(3P).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""1/2""","=""""","=""24.81216""","=""""","=""0.00012""","=""0.0893""","=""  54         :    19  5s2.5p2.(1D).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""3/2""","=""""","=""26.21969""","=""""","=""0.00012""","=""1.4075""","=""  76         :     9  5s2.5p2.(3P).6s  2P   ""","=""L11170"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""5/2""","=""""","=""26.99813""","=""""","=""0.00012""","=""0.7784""","=""  67         :    25  5s2.5p2.(1D).6s  2D   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2P""","=""1/2""","=""""","=""25.44195""","=""""","=""0.00012""","=""-1.5562""","=""  33         :    20  5s2.5p2.(3P).6s  4P   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2P""","=""3/2""","=""""","=""26.55284""","=""""","=""0.00012""","=""1.1109""","=""  32         :    18  5s2.5p2.(3P).5d  2P   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2D""","=""3/2""","=""""","=""25.58735""","=""""","=""0.00012""","=""-0.9655""","=""  59         :    13  5s.(2S).5p4.(1D) 2D   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2D""","=""5/2""","=""""","=""25.62902""","=""""","=""0.00012""","=""0.0417""","=""  24         :    25  5s2.5p2.(1D).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""7/2""","=""""","=""26.09561""","=""""","=""0.00012""","=""0.4666""","=""  61         :    31  5s2.5p2.(1D).5d  2F   ""","=""L11170"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""5/2""","=""""","=""27.77253""","=""""","=""0.00012""","=""1.6769""","=""  16         :    34  5s2.5p2.(1S).5d  2D   ""","=""L11170"""
"=""5s2.5p2.(1S).5d""","=""2D""","=""5/2""","=""""","=""26.17113""","=""""","=""0.00012""","=""-1.6014""","=""  39         :    30  5s2.5p2.(1D).5d  2D   ""","=""L11170"""
"=""5s2.5p2.(1S).5d""","=""2D""","=""3/2""","=""""","=""27.75255""","=""""","=""0.00012""","=""1.5814""","=""  53         :    38  5s2.5p2.(3P).5d  2D   ""","=""L11170"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""1/2""","=""""","=""26.85938""","=""""","=""0.00012""","=""-0.8932""","=""  74         :    14  5s2.5p2.(3P).6s  4P   ""","=""L11170"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""3/2""","=""""","=""27.51628""","=""""","=""0.00012""","=""0.6569""","=""  44         :    42  5s2.5p2.(1D).6s  2D   ""","=""L11170"""
"=""5s2.5p2.(1D).5d""","=""2S""","=""1/2""","=""""","=""27.27816""","=""""","=""0.00012""","=""-0.2381""","=""  51         :    17  5s.5p4.(1S)      2S   ""","=""L11170"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""5/2""","=""""","=""29.16019""","=""""","=""0.00012""","=""1.8820""","=""  69         :    29  5s2.5p2.(3P).6s  4P   ""","=""L11170"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""3/2""","=""""","=""29.42641""","=""""","=""0.00012""","=""0.2662""","=""  52         :    41  5s2.5p2.(3P).6s  2P   ""","=""L11170"""
"=""5s2.5p2.(1S).6s""","=""2S""","=""1/2""","=""""","=""31.31882""","=""""","=""0.00012""","=""1.8924""","=""  87         :     7  5s2.5p2.(3P).6s  4P   ""","=""L11170"""
"=""Cs VI (5s2.5p2 3P<0>)""","=""Limit""","=""---""","=""(""","=""56.0""","="")""","=""1.9""","=""""","=""                                            ""","=""L8672c99"""
