Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d10""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000021""","=""""","=""""","=""  97                                    :     2  3d9.4d               1S       ""","=""L19804"""
"=""3d9.4s""","=""3D""","=""3""","=""""","=""2.71881633""","=""""","=""0.00000017""","=""2.718816""","=""1.32""","=""  98                                                                           ""","=""L19804,L10559"""
"=""3d9.4s""","=""3D""","=""2""","=""""","=""2.83268156""","=""""","=""0.00000006""","=""0.1138652""","=""1.16""","=""  89                                    :     9  3d9.4s               1D       ""","=""L19804,L10559"""
"=""3d9.4s""","=""3D""","=""1""","=""""","=""2.97541889""","=""""","=""0.00000011""","=""0.1427373""","=""0.48""","=""  98                                                                           ""","=""L19804,L10559"""
"=""3d9.4s""","=""1D""","=""2""","=""""","=""3.25638920""","=""""","=""0.00000015""","=""0.2809703""","=""1.00""","=""  89                                    :     9  3d9.4s               3D       ""","=""L19804,L10559"""
"=""3d9.4p""","=""3P*""","=""2""","=""""","=""8.23486741""","=""""","=""0.00000017""","=""4.9784782""","=""1.49""","=""  96                                    :     2  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3P*""","=""1""","=""""","=""8.42057990""","=""""","=""0.00000014""","=""0.1857125""","=""1.49""","=""  95                                    :     2  3d9.4p               1P*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3P*""","=""0""","=""""","=""8.53634465""","=""""","=""0.00000017""","=""0.1157648""","=""""","=""  98                                                                           ""","=""L19804"""
"=""3d9.4p""","=""3F*""","=""3""","=""""","=""8.48643755""","=""""","=""0.00000016""","=""-0.0499071""","=""1.06""","=""  62                                    :    34  3d9.4p               1F*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3F*""","=""4""","=""""","=""8.52154401""","=""""","=""0.00000021""","=""0.0351065""","=""1.23""","=""  98                                                                           ""","=""L19804,L10559"""
"=""3d9.4p""","=""3F*""","=""2""","=""""","=""8.66252610""","=""""","=""0.00000014""","=""0.1409821""","=""0.67""","=""  88                                    :     6  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d8.4s2""","=""3F""","=""4""","=""""","=""8.64228154""","=""""","=""0.00000024""","=""-0.0202446""","=""""","=""  95                                    :     4  3d8.(3F).4p2.(1S)    3F       ""","=""L19804"""
"=""3d8.4s2""","=""3F""","=""3""","=""""","=""8.8687809""","=""""","=""0.0000004""","=""0.2264994""","=""""","=""  95                                    :     4  3d8.(3F).4p2.(1S)    3F       ""","=""L19804"""
"=""3d8.4s2""","=""3F""","=""2""","=""""","=""9.0166042""","=""""","=""0.0000005""","=""0.1478233""","=""""","=""  94                                    :     4  3d8.(3F).4p2.(1S)    3F       ""","=""L19804"""
"=""3d9.4p""","=""1F*""","=""3""","=""""","=""8.78322249""","=""""","=""0.00000017""","=""-0.2333817""","=""""","=""  49                                    :    31  3d9.4p               3D*      ""","=""L19804"""
"=""3d9.4p""","=""1D*""","=""2""","=""""","=""8.86410828""","=""""","=""0.00000009""","=""0.0808858""","=""1.08""","=""  54                                    :    35  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3D*""","=""3""","=""""","=""8.91695547""","=""""","=""0.00000010""","=""0.0528472""","=""""","=""  64                                    :    19  3d9.4p               3F*      ""","=""L19804"""
"=""3d9.4p""","=""3D*""","=""1""","=""""","=""9.06349793""","=""""","=""0.00000009""","=""0.1465425""","=""0.47""","=""  92                                    :     3  3d9.4p               1P*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""3D*""","=""2""","=""""","=""9.09464957""","=""""","=""0.00000010""","=""0.0311516""","=""0.99""","=""  54                                    :    41  3d9.4p               1D*      ""","=""L19804,L10559"""
"=""3d9.4p""","=""1P*""","=""1""","=""""","=""9.12471804""","=""""","=""0.00000022""","=""0.0300685""","=""1.04""","=""  93                                    :     4  3d9.4p               3D*      ""","=""L19804,L10559"""
"=""3d8.4s2""","=""1D""","=""2""","=""""","=""10.5868585""","=""""","=""0.0000004""","=""1.4621405""","=""""","=""  73                                    :    21  3d8.4s2              3P       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""2""","=""""","=""10.9554919""","=""""","=""0.0000004""","=""0.3686334""","=""""","=""  74                                    :    21  3d8.4s2              1D       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""1""","=""""","=""10.9856318""","=""""","=""0.0000005""","=""0.0301399""","=""""","=""  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ""","=""L19804"""
"=""3d8.4s2""","=""3P""","=""0""","=""""","=""11.0254191""","=""""","=""0.0000004""","=""0.0397873""","=""""","=""  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ""","=""L19804"""
"=""3d8.4s2""","=""1G""","=""4""","=""""","=""11.8486267""","=""""","=""0.0000004""","=""0.8232076""","=""0.98""","=""  95                                    :     4  3d8.(1G).4p2.(1S)    1G       ""","=""L19804,L10559"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""4""","=""""","=""13.3832009""","=""""","=""0.0000012""","=""1.534574""","=""""","=""  93                                    :     4  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""","=""""","=""13.5484991""","=""""","=""0.0000007""","=""0.165298""","=""""","=""  91                                    :     4  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""2""","=""""","=""13.6833580""","=""""","=""0.0000010""","=""0.134859""","=""""","=""  91                                    :     5  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""1""","=""""","=""13.777668""","=""""","=""0.000017""","=""0.09431""","=""""","=""  93                                    :     5  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""""","=""13.39213301""","=""""","=""0.00000015""","=""-0.38553""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""""","=""13.43190349""","=""""","=""0.00000015""","=""0.0397705""","=""""","=""  98                                    :     2  3d9.(2D<3/2>).5s     2[3/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""""","=""13.64873568""","=""""","=""0.00000014""","=""0.2168322""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""""","=""13.68365916""","=""""","=""0.00000014""","=""0.0349235""","=""""","=""  98                                    :     2  3d9.(2D<5/2>).5s     2[5/2]   ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""5""","=""""","=""13.7165202""","=""""","=""0.0000011""","=""0.0328610""","=""""","=""  82                                    :    13  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""4""","=""""","=""13.7893620""","=""""","=""0.0000010""","=""0.072842""","=""""","=""  83                                    :    10  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""3""","=""""","=""13.8709073""","=""""","=""0.0000010""","=""0.081545""","=""""","=""  89                                    :     7  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
