Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d9""","=""2D""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                               ""","=""L10559"""
"=""3p6.3d9""","=""2D""","=""3/2""","=""""","=""0.256857""","=""""","=""""","=""0.256857""","=""                                               ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""""","=""7.538886""","=""""","=""""","=""7.28203""","="" 100                                           ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""""","=""7.695090""","=""""","=""""","=""0.15620""","=""  97             :     3  3d8.(3F).4s    2F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""""","=""7.828830""","=""""","=""""","=""0.13374""","=""  99             :     1  3d8.(3F).4s    2F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""""","=""7.920918""","=""""","=""""","=""0.09209""","=""  99             :     1  3d8.(1D).4s    2D    ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""","=""""","=""8.309013""","=""""","=""""","=""0.38809""","=""  97             :     3  3d8.(3F).4s    4F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""5/2""","=""""","=""8.550419""","=""""","=""""","=""0.24141""","=""  98             :     1  3d8.(1D).4s    2D    ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""","=""""","=""9.666831""","=""""","=""""","=""1.11641""","=""  51             :    48  3d8.(3P).4s    4P    ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""3/2""","=""""","=""9.767475""","=""""","=""""","=""0.10064""","=""  80             :    16  3d8.(3P).4s    4P    ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""","=""""","=""9.956643""","=""""","=""""","=""0.18917""","=""  84             :    16  3d8.(1D).4s    2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""1/2""","=""""","=""9.971248""","=""""","=""""","=""0.01460""","="" 100                                           ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""5/2""","=""""","=""9.987193""","=""""","=""""","=""0.01595""","=""  52             :    47  3d8.(1D).4s    2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""3/2""","=""""","=""10.594114""","=""""","=""""","=""0.60692""","=""  96             :     3  3d8.(1D).4s    2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""1/2""","=""""","=""10.679213""","=""""","=""""","=""0.08510""","="" 100                                           ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""9/2""","=""""","=""11.036863""","=""""","=""""","=""0.35765""","="" 100                                           ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""","=""""","=""11.040385""","=""""","=""""","=""0.00352""","="" 100                                           ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""7/2""","=""""","=""14.737363""","=""""","=""""","=""3.69698""","=""  93             :     4  3d8.(3P).4p    4D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""5/2""","=""""","=""14.949748""","=""""","=""""","=""0.21238""","=""  92             :     4  3d8.(3P).4p    4D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""3/2""","=""""","=""15.109270""","=""""","=""""","=""0.15952""","=""  93             :     5  3d8.(3P).4p    4D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""1/2""","=""""","=""15.205082""","=""""","=""""","=""0.09581""","=""  94             :     5  3d8.(3P).4p    4D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""9/2""","=""""","=""15.043960""","=""""","=""""","=""-0.16112""","=""  62             :    24  3d8.(3F).4p    2G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""11/2""","=""""","=""15.088763""","=""""","=""""","=""0.04480""","="" 100                                           ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""7/2""","=""""","=""15.188571""","=""""","=""""","=""0.09981""","=""  78             :    12  3d8.(3F).4p    4F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""5/2""","=""""","=""15.304695""","=""""","=""""","=""0.11612""","=""  92             :     7  3d8.(3F).4p    4F*   ""","="""""
"=""3p6.3d8.(1S).4s""","=""2S""","=""1/2""","=""""","=""15.232800""","=""""","=""""","=""-0.07190""","="" 100                                           ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""9/2""","=""""","=""15.318295""","=""""","=""""","=""0.08550""","=""  80             :    16  3d8.(3F).4p    2G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""","=""""","=""15.443205""","=""""","=""""","=""0.12491""","=""  70             :    15  3d8.(3F).4p    2F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""","=""""","=""15.545398""","=""""","=""""","=""0.10219""","=""  82             :     7  3d8.(3F).4p    4G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""","=""""","=""15.590369""","=""""","=""""","=""0.04497""","=""  89             :     6  3d8.(3F).4p    2D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""9/2""","=""""","=""15.428937""","=""""","=""""","=""-0.16143""","=""  59             :    35  3d8.(3F).4p    4G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""","=""""","=""15.633681""","=""""","=""""","=""0.20474""","=""  77             :    13  3d8.(3F).4p    2F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""","=""""","=""15.724886""","=""""","=""""","=""0.09121""","=""  70             :    13  3d8.(3F).4p    4F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""","=""""","=""15.954268""","=""""","=""""","=""0.22938""","=""  70             :    15  3d8.(3F).4p    2D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""5/2""","=""""","=""15.732633""","=""""","=""""","=""-0.22164""","=""  75             :    16  3d8.(3F).4p    2F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""3/2""","=""""","=""15.923986""","=""""","=""""","=""0.19135""","=""  81             :     8  3d8.(1D).4p    2D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""3/2""","=""""","=""16.921813""","=""""","=""""","=""0.99783""","=""  75             :    11  3d8.(1D).4p    2P*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""5/2""","=""""","=""16.937215""","=""""","=""""","=""0.01540""","=""  76             :    15  3d8.(1D).4p    2D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""1/2""","=""""","=""16.990993""","=""""","=""""","=""0.05378""","=""  89             :     7  3d8.(1D).4p    2P*   ""","="""""
