Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d8""","=""3F""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                        ""","=""L10559"""
"=""3p6.3d8""","=""3F""","=""3""","=""""","=""0.23078""","=""""","=""""","=""0.23078""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""3F""","=""2""","=""""","=""0.38157""","=""""","=""""","=""0.1508""","=""  99             :     1  3d8          1D   ""","="""""
"=""3p6.3d8""","=""1D""","=""2""","=""""","=""2.01450""","=""""","=""""","=""1.6329""","=""  84             :    15  3d8          3P   ""","="""""
"=""3p6.3d8""","=""3P""","=""2""","=""""","=""2.44207""","=""""","=""""","=""0.4276""","=""  85             :    15  3d8          1D   ""","="""""
"=""3p6.3d8""","=""3P""","=""1""","=""""","=""2.49166""","=""""","=""""","=""0.0496""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""3P""","=""0""","=""""","=""2.53208""","=""""","=""""","=""0.0404""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""1G""","=""4""","=""""","=""3.33679""","=""""","=""""","=""0.8047""","="" 100                                        ""","="""""
"=""3p6.3d8""","=""1S""","=""0""","=""""","=""7.61962""","=""""","=""""","=""4.2828""","="" 100                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""5""","=""""","=""14.83253""","=""""","=""""","=""7.2129""","="" 100                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""4""","=""""","=""14.99201""","=""""","=""""","=""0.1595""","=""  99             :     1  3d7.(4F).4s  3F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""3""","=""""","=""15.11737""","=""""","=""""","=""0.1254""","=""  99                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""2""","=""""","=""15.20837""","=""""","=""""","=""0.0910""","="" 100                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""1""","=""""","=""15.26739""","=""""","=""""","=""0.0590""","="" 100                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""4""","=""""","=""15.91254""","=""""","=""""","=""0.6451""","=""  99             :     1  3d7.(4F).4s  5F   ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""3""","=""""","=""16.12542""","=""""","=""""","=""0.2129""","=""  99                                        ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""2""","=""""","=""16.26903""","=""""","=""""","=""0.1436""","=""  99                                        ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""3""","=""""","=""17.32001""","=""""","=""""","=""1.0510""","="" 100                                        ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""2""","=""""","=""17.36593""","=""""","=""""","=""0.0459""","=""  95             :     5  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""1""","=""""","=""17.44644""","=""""","=""""","=""0.0805""","=""  97             :     3  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""5""","=""""","=""17.86190""","=""""","=""""","=""0.4155""","=""  97             :     2  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""4""","=""""","=""17.94659""","=""""","=""""","=""0.0847""","=""  94             :     3  3d7.(2G).4s  1G   ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""3""","=""""","=""18.04961""","=""""","=""""","=""0.1030""","="" 100                                        ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""2""","=""""","=""18.31700""","=""""","=""""","=""0.2674""","=""  47             :    45  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""0""","=""""","=""18.37865""","=""""","=""""","=""0.0617""","=""  55             :    45  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""1""","=""""","=""18.55637""","=""""","=""""","=""0.1777""","=""  55             :    38  3d7.(4P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""1""","=""""","=""18.34096""","=""""","=""""","=""-0.2154""","=""  49             :    32  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""2""","=""""","=""18.46169""","=""""","=""""","=""0.1207""","=""  54             :    39  3d7.(2P).4s  3P   ""","="""""
"=""3p6.3d7.(2G).4s""","=""1G""","=""4""","=""""","=""18.45637""","=""""","=""""","=""-0.0053""","=""  89             :     6  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""6""","=""""","=""18.79882""","=""""","=""""","=""0.3424""","="" 100                                        ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""5""","=""""","=""18.88300""","=""""","=""""","=""0.0842""","=""  96             :     3  3d7.(2H).4s  1H   ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""4""","=""""","=""18.99416""","=""""","=""""","=""0.1112""","=""  92             :     7  3d7.(2G).4s  1G   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""3""","=""""","=""18.87433""","=""""","=""""","=""-0.1198""","=""  77             :    23  3d7.(2D1).4s 3D   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""2""","=""""","=""19.01616""","=""""","=""""","=""0.1418""","=""  68             :    18  3d7.(2D1).4s 3D   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""3D""","=""1""","=""""","=""19.27665""","=""""","=""""","=""0.2605""","=""  44             :    40  3d7.(2P).4s  1P   ""","="""""
"=""3p6.3d7.(2P).4s""","=""1P""","=""1""","=""""","=""18.89522""","=""""","=""""","=""-0.3814""","=""  46             :    30  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2H).4s""","=""1H""","=""5""","=""""","=""19.39841""","=""""","=""""","=""0.5032""","=""  97             :     2  3d7.(2H).4s  3H   ""","="""""
"=""3p6.3d7.(2D2).4s""","=""1D""","=""2""","=""""","=""19.53199""","=""""","=""""","=""0.1336""","=""  71             :    19  3d7.(2D1).4s 1D   ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""2""","=""""","=""21.08556""","=""""","=""""","=""1.5536""","="" 100                                        ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""3""","=""""","=""21.11174""","=""""","=""""","=""0.0262""","=""  99             :     1  3d7.(2F).4s  1F   ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""4""","=""""","=""21.15406""","=""""","=""""","=""0.0423""","="" 100                                        ""","="""""
"=""3p6.3d7.(2F).4s""","=""1F""","=""3""","=""""","=""21.67632""","=""""","=""""","=""0.5223""","=""  99             :     1  3d7.(2F).4s  3F   ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""5""","=""""","=""23.62242""","=""""","=""""","=""1.9461""","=""  91             :     7  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""4""","=""""","=""23.62564""","=""""","=""""","=""0.0032""","=""  54             :    38  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""3""","=""""","=""23.77543""","=""""","=""""","=""0.1498""","=""  71             :    22  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""2""","=""""","=""23.89684""","=""""","=""""","=""0.1214""","=""  83             :    12  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""1""","=""""","=""23.98281""","=""""","=""""","=""0.0860""","=""  94             :     5  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""4""","=""""","=""23.89830""","=""""","=""""","=""-0.0845""","=""  52             :    34  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""3""","=""""","=""24.06935""","=""""","=""""","=""0.1711""","=""  64             :    18  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""2""","=""""","=""24.18757""","=""""","=""""","=""0.1182""","=""  72             :    10  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""1""","=""""","=""24.26176""","=""""","=""""","=""0.0742""","=""  85             :    10  3d7.(4P).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""0""","=""""","=""24.29247""","=""""","=""""","=""0.0307""","=""  89             :    11  3d7.(4P).4p  5D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""6""","=""""","=""24.04646""","=""""","=""""","=""-0.2460""","=""  99             :     1  3d7.(2G).4p  3H*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""5""","=""""","=""24.09498""","=""""","=""""","=""0.0485""","=""  76             :    16  3d7.(4F).4p  3G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""4""","=""""","=""24.18373""","=""""","=""""","=""0.0888""","=""  79             :    10  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""3""","=""""","=""24.24438""","=""""","=""""","=""0.0606""","=""  81             :     9  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""2""","=""""","=""24.27945""","=""""","=""""","=""0.0351""","=""  85             :     6  3d7.(4F).4p  5F*  ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""1""","=""""","=""24.40672""","=""""","=""""","=""0.1273""","=""  81             :    19  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""2""","=""""","=""24.44206""","=""""","=""""","=""0.0353""","=""  79             :    20  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(2D1).4s""","=""3D""","=""3""","=""""","=""24.50665""","=""""","=""""","=""0.0646""","=""  77             :    23  3d7.(2D2).4s 3D   ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""5""","=""""","=""24.46518""","=""""","=""""","=""-0.0415""","=""  82             :    18  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""4""","=""""","=""24.69794""","=""""","=""""","=""0.2328""","=""  87             :    10  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""3""","=""""","=""24.85667""","=""""","=""""","=""0.1587""","=""  93             :     4  3d7.(4F).4p  5G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""4""","=""""","=""24.57109""","=""""","=""""","=""-0.2856""","=""  89             :     4  3d7.(4F).4p  3G*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""3""","=""""","=""24.74710""","=""""","=""""","=""0.1760""","=""  84             :     5  3d7.(4F).4p  3D*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""2""","=""""","=""24.88611""","=""""","=""""","=""0.1390""","=""  89             :     5  3d7.(2G).4p  3F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""3""","=""""","=""24.94697""","=""""","=""""","=""0.0609""","=""  87             :     6  3d7.(4F).4p  3F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""2""","=""""","=""25.08952""","=""""","=""""","=""0.1425""","=""  89             :     3  3d7.(4F).4p  3F*  ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""1""","=""""","=""25.18609""","=""""","=""""","=""0.0966""","=""  91             :     3  3d7.(4P).4p  3D*  ""","="""""
"=""3p6.3d7.(2D1).4s""","=""1D""","=""2""","=""""","=""25.01642""","=""""","=""""","=""-0.1697""","=""  78             :    21  3d7.(2D2).4s 1D   ""","="""""
"=""3p6.3d7.(4P).4p""","=""5S*""","=""2""","=""""","=""25.27652""","=""""","=""""","=""0.2601""","=""  98             :     1  3d7.(2P).4p  3P*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""1""","=""""","=""26.45332""","=""""","=""""","=""1.1768""","=""  44             :    18  3d7.(2P).4p  3P*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""2""","=""""","=""26.47490""","=""""","=""""","=""0.0216""","=""  74             :     9  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""3""","=""""","=""26.49107""","=""""","=""""","=""0.0162""","=""  78             :     8  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""0""","=""""","=""26.52420""","=""""","=""""","=""0.0331""","=""  78             :    11  3d7.(2P).4p  3P*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""4""","=""""","=""26.57213""","=""""","=""""","=""0.0479""","=""  88             :     6  3d7.(4F).4p  5D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""*""","=""1""","=""""","=""26.58387""","=""""","=""""","=""0.0117""","=""  37  5D*        :    32  3d7.(4P).4p  3S*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""5""","=""""","=""26.63618""","=""""","=""""","=""0.0523""","=""  67             :    17  3d7.(2G).4p  1H*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""4""","=""""","=""26.74759""","=""""","=""""","=""0.1114""","=""  83             :     6  3d7.(2G).4p  3F*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""6""","=""""","=""26.78943""","=""""","=""""","=""0.0418""","=""  95             :     3  3d7.(2H).4p  3I*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""4""","=""""","=""26.67307""","=""""","=""""","=""-0.1164""","=""  53             :    12  3d7.(2G).4p  3G*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""3""","=""""","=""26.91439""","=""""","=""""","=""0.2413""","=""  73             :    16  3d7.(2G).4p  3G*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""2""","=""""","=""27.11859""","=""""","=""""","=""0.2042""","=""  93             :     5  3d7.(4F).4p  3F*  ""","="""""
"=""3p6.3d7.(2P).4p""","=""3P*""","=""0""","=""""","=""26.83376""","=""""","=""""","=""-0.2848""","=""  67             :    13  3d7.(2D2).4p 3P*  ""","="""""
"=""3p6.3d7.(2P).4p""","=""3P*""","=""2""","=""""","=""26.86774""","=""""","=""""","=""0.0340""","=""  54             :    14  3d7.(4P).4p  5P*  ""","="""""
"=""3p6.3d7.(2P).4p""","=""3P*""","=""1""","=""""","=""26.91812""","=""""","=""""","=""0.0504""","=""  49             :    17  3d7.(4P).4p  3S*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""1G*""","=""4""","=""""","=""26.95969""","=""""","=""""","=""0.0416""","=""  46             :    27  3d7.(2G).4p  3F*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5P*""","=""3""","=""""","=""26.98158""","=""""","=""""","=""0.0219""","=""  62             :    22  3d7.(4P).4p  3D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5P*""","=""2""","=""""","=""27.03196""","=""""","=""""","=""0.0504""","=""  54             :    23  3d7.(4P).4p  3D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""5P*""","=""1""","=""""","=""27.04972""","=""""","=""""","=""0.0178""","=""  66             :    19  3d7.(4P).4p  3S*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""*""","=""2""","=""""","=""26.98511""","=""""","=""""","=""-0.0646""","=""  18  5P*        :    18  3d7.(2P).4p  3D*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3G*""","=""5""","=""""","=""27.02849""","=""""","=""""","=""0.0434""","=""  80             :    14  3d7.(2G).4p  1H*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3G*""","=""3""","=""""","=""27.10642""","=""""","=""""","=""0.0779""","=""  45             :    29  3d7.(2G).4p  1F*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""3G*""","=""4""","=""""","=""27.14570""","=""""","=""""","=""0.0393""","=""  74             :     9  3d7.(2G).4p  1G*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3D*""","=""3""","=""""","=""27.04562""","=""""","=""""","=""-0.1001""","=""  52             :    23  3d7.(4P).4p  5P*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3D*""","=""1""","=""""","=""27.10680""","=""""","=""""","=""0.0612""","=""  53             :    24  3d7.(2P).4p  3D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3D*""","=""2""","=""""","=""27.49207""","=""""","=""""","=""0.3853""","=""  25             :    24  3d7.(4P).4p  3D*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""1H*""","=""5""","=""""","=""27.12954""","=""""","=""""","=""-0.3625""","=""  64             :    27  3d7.(2G).4p  3H*  ""","="""""
"=""3p6.3d7.(2G).4p""","=""*""","=""3""","=""""","=""27.20247""","=""""","=""""","=""0.0729""","=""  35  1F*        :    34  3d7.(2G).4p  3G*  ""","="""""
"=""3p6.3d7.(2P).4p""","=""1S*""","=""0""","=""""","=""27.26008""","=""""","=""""","=""0.0576""","=""  53             :    37  3d7.(4P).4p  3P*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3P*""","=""2""","=""""","=""27.31565""","=""""","=""""","=""0.0556""","=""  59             :    11  3d7.(4P).4p  3D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3P*""","=""1""","=""""","=""27.43418""","=""""","=""""","=""0.1185""","=""  49             :    25  3d7.(2P).4p  3D*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""3P*""","=""0""","=""""","=""27.75354""","=""""","=""""","=""0.3194""","=""  56             :    43  3d7.(2P).4p  1S*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3G*""","=""5""","=""""","=""27.39022""","=""""","=""""","=""-0.3633""","=""  92             :     5  3d7.(2F).4p  3G*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3G*""","=""4""","=""""","=""27.57380""","=""""","=""""","=""0.1836""","=""  87             :     6  3d7.(2F).4p  3G*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3G*""","=""3""","=""""","=""27.72572""","=""""","=""""","=""0.1519""","=""  80             :     6  3d7.(2F).4p  3G*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3I*""","=""6""","=""""","=""27.47510""","=""""","=""""","=""-0.2506""","=""  69             :    29  3d7.(2H).4p  1I*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3I*""","=""5""","=""""","=""27.58988""","=""""","=""""","=""0.1148""","=""  93             :     4  3d7.(2G).4p  1H*  ""","="""""
"=""3p6.3d7.(2H).4p""","=""3I*""","=""7""","=""""","=""27.60704""","=""""","=""""","=""0.0172""","="" 100                                        ""","="""""
"=""3p6.3d7.(2P).4p""","=""3D*""","=""3""","=""""","=""27.48110""","=""""","=""""","=""-0.1259""","=""  72             :     8  3d7.(2D2).4p 3F*  ""","="""""
"=""3p6.3d7.(4P).4p""","=""*""","=""1""","=""""","=""27.56614""","=""""","=""""","=""0.0850""","=""  38  3P*        :    22  3d7.(2P).4p  3D*  ""","="""""
"=""3p6.3d7.(2P).4p""","=""*""","=""2""","=""""","=""27.59919""","=""""","=""""","=""0.0330""","=""  34  3D*        :    25  3d7.(2P).4p  1D*  ""","="""""
"=""3p6.3d7.(2D2).4p""","=""3D*""","=""3""","=""""","=""27.64848""","=""""","=""""","=""0.0493""","=""  58             :    17  3d7.(2D1).4p 3D*  ""","="""""
"=""3p6.3d7.(2D2).4p""","=""3D*""","=""2""","=""""","=""27.78121""","=""""","=""""","=""0.1327""","=""  40             :    16  3d7.(2P).4p  3D*  ""","="""""
"=""3p6.3d7.(2D2).4p""","=""*""","=""1""","=""""","=""27.74321""","=""""","=""""","=""-0.0380""","=""  32  3D*        :    28  3d7.(2P).4p  1P*  ""","="""""
