Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""17/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.290""","=""             or  :    95                (5I) 6I  ""","=""L3974"""
"=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""""","=""0.1026978""","=""""","=""""","=""0.1026978""","=""1.203""","=""             or  :    72                (5I) 4I  ""","=""L11757"""
"=""4f10.(5I<7>).6s<1/2>""","=""(7,1/2)""","=""15/2""","=""""","=""0.5382283""","=""""","=""""","=""0.435530""","=""1.225""","=""             or  :    75                (5I) 6I  ""","=""L11757"""
"=""4f10.(5I<7>).6s<1/2>""","=""(7,1/2)""","=""13/2""","=""""","=""0.5896283""","=""""","=""""","=""0.051400""","=""1.130""","=""             or  :    50                (5I) 4I  ""","=""L11757"""
"=""4f10.(5I<6>).6s<1/2>""","=""(6,1/2)""","=""11/2""","=""""","=""0.9254063""","=""""","=""""","=""0.335778""","=""1.015""","=""             or  :    69                (5I) 6I  ""","=""L11757"""
"=""4f10.(5I<6>).6s<1/2>""","=""(6,1/2)""","=""13/2""","=""""","=""0.9280362""","=""""","=""""","=""0.002630""","=""1.134""","=""             or  :    49                (5I) 6I  ""","=""L11757"""
"=""4f10.(5I<5>).6s<1/2>""","=""(5,1/2)""","=""9/2""","=""""","=""1.1694320""","=""""","=""""","=""0.241396""","=""0.825""","=""             or  :    82                (5I) 6I  ""","=""L11757"""
"=""4f10.(5I<5>).6s<1/2>""","=""(5,1/2)""","=""11/2""","=""""","=""1.2238515""","=""""","=""""","=""0.054420""","=""0.997""","=""             or  :    66                (5I) 4I  ""","=""L11757"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""17/2""","=""""","=""1.3135130""","=""""","=""""","=""""","=""1.400""","=""  83                                             ""","=""L11757"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""15/2""","=""""","=""1.4127890""","=""""","=""""","=""0.099276""","=""1.383""","=""  67                                             ""","=""L11757"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""13/2""","=""""","=""1.5714618""","=""""","=""""","=""0.158673""","=""1.350""","=""  56                                             ""","=""L11757"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""11/2""","=""""","=""1.7788267""","=""""","=""""","=""0.207365""","=""1.302""","=""  55                                             ""","=""L11757"""
"=""4f9.(6H*).5d (7H*).6s""","=""8H*""","=""9/2""","=""""","=""1.9856558""","=""""","=""""","=""0.206829""","=""1.193""","=""  61                                             ""","=""L11757"""
"=""4f10.(5I<4>).6s<1/2>""","=""(4,1/2)""","=""7/2""","=""""","=""1.3581209""","=""""","=""""","=""-0.627535""","=""0.470""","=""             or  :    92                (5I) 6I  ""","=""L11757"""
"=""4f10.(5I<4>).6s<1/2>""","=""(4,1/2)""","=""9/2""","=""""","=""1.4631440""","=""""","=""""","=""0.105023""","=""0.756""","=""             or  :    80                (5I) 4I  ""","=""L11757"""
"=""4f9.6s2""","=""6H*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.6s2""","=""6H*""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.6s2""","=""6H*""","=""9/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.6s2""","=""6H*""","=""15/2""","=""""","=""1.5295080""","=""""","=""""","=""""","=""1.333""","=""  90                                             ""","=""L11757"""
"=""4f9.6s2""","=""6H*""","=""13/2""","=""""","=""1.9616989""","=""""","=""""","=""0.432191""","=""1.275""","=""  64                                             ""","=""L11757"""
"=""4f9.6s2""","=""6H*""","=""11/2""","=""""","=""2.2467772""","=""""","=""""","=""0.285078""","=""1.215""","=""  90                                             ""","=""L11757"""
"=""4f10.(5F<5>).6s<1/2>""","=""(5,1/2)""","=""11/2""","=""""","=""1.653735""","=""""","=""""","=""-0.593042""","=""1.413""","=""             or  :    85                (5F) 6F  ""","=""L3974"""
"=""4f10.(5F<5>).6s<1/2>""","=""(5,1/2)""","=""9/2""","=""""","=""1.751516""","=""""","=""""","=""0.09778""","=""1.32""","=""             or  :    62                (5F) 4F  ""","=""L3974"""
"=""4f9.(6H*).5d (7I*).6s""","=""8I*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7I*).6s""","=""8I*""","=""9/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7I*).6s""","=""8I*""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                                 ""","=""L3974"""
"=""4f9.(6H*).5d (7I*).6s""","=""8I*""","=""19/2""","=""""","=""1.662457""","=""""","=""""","=""""","=""1.364""","=""  93                                             ""","=""L3974"""
"=""4f9.(6H*).5d (7I*).6s""","=""8I*""","=""17/2""","=""""","=""1.846752""","=""""","=""""","=""0.18429""","=""1.315""","=""  58                                             ""","=""L3974"""
