Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f12.6s2""","=""3H""","=""6""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.16381""","=""  99                                                                       ""","=""L3974"""
"=""4f12.6s2""","=""3H""","=""5""","=""""","=""0.8627228""","=""""","=""""","=""0.8627228""","=""1.031""","="" 100                                                                       ""","="""""
"=""4f12.6s2""","=""3H""","=""4""","=""""","=""1.3329519""","=""""","=""""","=""0.470229""","=""0.936""","=""  65             :    23                          3F                       ""","="""""
"=""4f12.6s2""","=""3F""","=""4""","=""""","=""0.6242844""","=""""","=""""","=""-0.708668""","=""1.147""","=""  68             :    25                          1G                       ""","="""""
"=""4f12.6s2""","=""3F""","=""3""","=""""","=""1.5346186""","=""""","=""""","=""0.910334""","=""1.065""","="" 100                                                                       ""","="""""
"=""4f12.6s2""","=""3F""","=""2""","=""""","=""1.6239334""","=""""","=""""","=""0.089315""","=""0.750""","=""  79             :    20                          1D                       ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>.6s2""","=""(15/2,3/2)*""","=""6""","=""""","=""0.8897730""","=""""","=""""","=""-0.734160""","=""1.302""","=""             or  :    78                          (4I*) 5G*                ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>.6s2""","=""(15/2,3/2)*""","=""7""","=""""","=""0.9543009""","=""""","=""""","=""0.064528""","=""1.266""","=""             or  :    78                          (4I*) 5H*                ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>.6s2""","=""(15/2,3/2)*""","=""9""","=""""","=""1.0688138""","=""""","=""""","=""0.114513""","=""1.150""","=""             or  :    47                          (4I*) 3L*                ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>.6s2""","=""(15/2,3/2)*""","=""8""","=""""","=""1.1592654""","=""""","=""""","=""0.090452""","=""1.180""","=""             or  :    42                          (4I*) 5I*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""10""","=""""","=""1.1971726""","=""""","=""""","=""0.037907""","=""1.194""","=""             or  :    96                          (4I*) 5L*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""9""","=""""","=""1.3090148""","=""""","=""""","=""0.111842""","=""1.178""","=""             or  :    71                          (4I*) 5K*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""5""","=""""","=""1.4135683""","=""""","=""""","=""0.104554""","=""1.205""","=""             or  :    50                          (4I*) 5G*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""8""","=""""","=""1.4329685""","=""""","=""""","=""0.019400""","=""1.178""","=""             or  :    46                          (4I*) 5I*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""6""","=""""","=""1.4629860""","=""""","=""""","=""0.030017""","=""1.190""","=""             or  :    38                          (4I*) 5H*                ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>.6s2""","=""(15/2,5/2)*""","=""7""","=""""","=""1.4738625""","=""""","=""""","=""0.010877""","=""1.153""","=""             or  :    47                          (4I*) 3I*                ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>.6s2""","=""(13/2,3/2)*""","=""8""","=""""","=""1.8700678""","=""""","=""""","=""0.396205""","=""1.050""","=""             or  :    53                          (4I*) 5L*                ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>.6s2""","=""(13/2,3/2)*""","=""5""","=""""","=""1.8827437""","=""""","=""""","=""0.012676""","=""1.160""","=""             or  :    55                          (4I*) 3G*                ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>.6s2""","=""(13/2,3/2)*""","=""7""","=""""","=""1.9647217""","=""""","=""""","=""0.081978""","=""1.070""","=""             or  :    44                          (4I*) 5K*                ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>.6s2""","=""(13/2,3/2)*""","=""6""","=""""","=""1.9924378""","=""""","=""""","=""0.027716""","=""1.200""","=""             or  :    48                          (4I*) 3H*                ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<0>)""","=""(6,0)*""","=""6""","=""""","=""2.0235597""","=""""","=""""","=""0.031122""","=""1.220""","=""             or  :    71                          (3H)(3P*) 5G*            ""","="""""
"=""4f11.(4I*<15/2>).6s2.6p<1/2>""","=""(15/2,1/2)""","=""7""","=""""","=""2.0413916""","=""""","=""""","=""0.017832""","=""1.237""","=""  95                                                                       ""","="""""
"=""4f11.(4I*<15/2>).6s2.6p<1/2>""","=""(15/2,1/2)""","=""8""","=""""","=""2.0739431""","=""""","=""""","=""0.032552""","=""1.175""","=""  97                                                                       ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""4""","=""""","=""2.0423648""","=""""","=""""","=""-0.031578""","=""1.075""","=""             or  :    64                          (4I*) 5G*                ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""9""","=""""","=""2.0459148""","=""""","=""""","=""0.003550""","=""1.155""","=""             or  :    67                          (4I*) 5L*                ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""5""","=""""","=""2.1113341""","=""""","=""""","=""0.065419""","=""1.150""","=""             or  :    32                          (4I*) 5H*                ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""8""","=""""","=""2.1446375""","=""""","=""""","=""0.033303""","=""1.105""","=""             or  :    58                          (4I*) 5K*                ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""6""","=""""","=""2.1643157""","=""""","=""""","=""0.019678""","=""1.070""","=""             or  :    23                          (4I*) 5I*                ""","="""""
"=""4f11.(4I*<13/2>).5d<5/2>.6s2""","=""(13/2,5/2)*""","=""7""","=""""","=""2.2064400""","=""""","=""""","=""0.042124""","=""1.110""","=""             or  :    50                          (4I*) 5I*                ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<1>)""","=""(6,1)*""","=""6""","=""""","=""2.1168814""","=""""","=""""","=""-0.089559""","=""1.070""","=""             or  :                                (3H)(3P*) 3I*            ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<1>)""","=""(6,1)*""","=""7""","=""""","=""2.1272350""","=""""","=""""","=""0.010354""","=""1.195""","=""             or  :    40                          (3H)(3P*) 5I*            ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<1>)""","=""(6,1)*""","=""5""","=""""","=""2.1508605""","=""""","=""""","=""0.023625""","=""1.175""","=""                                                                           ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""8""","=""""","=""2.2733118""","=""""","=""""","=""0.122451""","=""1.250""","=""             or  :    99                          (3H)(3P*) 5I*            ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""4""","=""""","=""2.3329639""","=""""","=""""","=""0.059652""","=""1.050""","=""                                                                           ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""7""","=""""","=""2.3712292""","=""""","=""""","=""0.038265""","=""1.235""","=""             or  :    67                          (3H)(3P*) 5H*            ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""5""","=""""","=""2.3806631""","=""""","=""""","=""0.009434""","=""1.060""","=""                                                                           ""","="""""
"=""4f12.(3H<6>).6s.6p.(3P*<2>)""","=""(6,2)*""","=""6""","=""""","=""2.3961928""","=""""","=""""","=""0.015530""","=""1.180""","=""             or  :                                (3H)(3P*) 3H*            ""","="""""
"=""4f11.(4I*<11/2>).5d<3/2>.6s2""","=""(11/2,3/2)*""","=""7""","=""""","=""2.3276946""","=""""","=""""","=""-0.068498""","=""0.965""","=""             or  :    47                          (4I*) 5L*                ""","="""""
"=""4f11.(4I*<11/2>).5d<3/2>.6s2""","=""(11/2,3/2)*""","=""4""","=""""","=""2.3616281""","=""""","=""""","=""0.033933""","=""1.010""","=""             or  :    25                          (4I*) 3G*                ""","="""""
