Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f12.(3H<6>).6s<1/2>""","=""(6,1/2)""","=""13/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.230""","=""             or  :    99   4H      ""","=""L3974"""
"=""4f12.(3H<6>).6s<1/2>""","=""(6,1/2)""","=""11/2""","=""""","=""0.0546069""","=""""","=""""","=""0.0546069""","=""1.101""","=""             or  :    67   2H      ""","="""""
"=""4f12.(3F<4>).6s<1/2>""","=""(4,1/2)""","=""9/2""","=""""","=""0.6363623""","=""""","=""""","=""0.581755""","=""1.245""","=""             or  :    65   4F      ""","="""""
"=""4f12.(3F<4>).6s<1/2>""","=""(4,1/2)""","=""7/2""","=""""","=""0.6699719""","=""""","=""""","=""0.033610""","=""1.042""","=""             or  :    43   2F      ""","="""""
"=""4f11.6s2""","=""4I*""","=""9/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                   ""","="""""
"=""4f11.6s2""","=""4I*""","=""15/2""","=""""","=""0.8461641""","=""""","=""""","=""""","=""1.200""","=""                                   ""","="""""
"=""4f11.6s2""","=""4I*""","=""13/2""","=""""","=""1.6537976""","=""""","=""""","=""0.807634""","=""1.120""","=""                                   ""","="""""
"=""4f11.6s2""","=""4I*""","=""11/2""","=""""","=""2.1013086""","=""""","=""""","=""0.447511""","=""1.055""","=""                                   ""","="""""
"=""4f12.(3H<5>).6s<1/2>""","=""(5,1/2)""","=""11/2""","=""""","=""0.8864411""","=""""","=""""","=""-1.214867""","=""1.120""","=""             or  :    68   4H      ""","="""""
"=""4f12.(3H<5>).6s<1/2>""","=""(5,1/2)""","=""9/2""","=""""","=""0.8921103""","=""""","=""""","=""0.005669""","=""0.948""","=""             or  :    64   4H      ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""13/2""","=""""","=""1.3225625""","=""""","=""""","=""0.430452""","=""1.345""","=""                                   ""","="""""
"=""4f12.(3H<4>).6s<1/2>""","=""(4,1/2)""","=""7/2""","=""""","=""1.3506759""","=""""","=""""","=""0.028113""","=""0.833""","=""             or  :    61   4H      ""","="""""
"=""4f12.(3H<4>).6s<1/2>""","=""(4,1/2)""","=""9/2""","=""""","=""1.3691129""","=""""","=""""","=""0.018437""","=""1.050""","=""             or  :    41   2H      ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""15/2""","=""""","=""1.4021596""","=""""","=""""","=""0.033047""","=""1.285""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""11/2""","=""""","=""1.5359274""","=""""","=""""","=""0.133768""","=""1.240""","=""                                   ""","="""""
"=""4f12.(3F<3>).6s<1/2>""","=""(3,1/2)""","=""7/2""","=""""","=""1.5607128""","=""""","=""""","=""0.024785""","=""1.204""","=""             or  :    68   4F      ""","="""""
"=""4f12.(3F<3>).6s<1/2>""","=""(3,1/2)""","=""5/2""","=""""","=""1.5622124""","=""""","=""""","=""0.001500""","=""1.000""","=""             or  :    79   4F      ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""19/2""","=""""","=""1.5888659""","=""""","=""""","=""0.026654""","=""1.180""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""17/2""","=""""","=""1.6152571""","=""""","=""""","=""0.026391""","=""1.105""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""13/2""","=""""","=""1.6193223""","=""""","=""""","=""0.004065""","=""1.200""","=""                                   ""","="""""
"=""4f12.(3F<2>).6s<1/2>""","=""(2,1/2)""","=""3/2""","=""""","=""1.6351615""","=""""","=""""","=""0.015839""","=""0.487""","=""             or  :    80   4F      ""","="""""
"=""4f12.(3F<2>).6s<1/2>""","=""(2,1/2)""","=""5/2""","=""""","=""1.6810190""","=""""","=""""","=""0.045858""","=""0.948""","=""             or  :    69   2F      ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""21/2""","=""""","=""1.6827282""","=""""","=""""","=""0.001709""","=""1.235""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""17/2""","=""""","=""1.7010116""","=""""","=""""","=""0.018283""","=""1.145""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""15/2""","=""""","=""1.7705840""","=""""","=""""","=""0.069572""","=""1.180""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""19/2""","=""""","=""1.8162789""","=""""","=""""","=""0.045695""","=""1.265""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""17/2""","=""""","=""1.9506331""","=""""","=""""","=""0.134354""","=""1.205""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""9/2""","=""""","=""2.0136705""","=""""","=""""","=""0.063037""","=""1.150""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""15/2""","=""""","=""2.0424997""","=""""","=""""","=""0.028829""","=""1.160""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""11/2""","=""""","=""2.0493860""","=""""","=""""","=""0.006886""","=""1.220""","=""                                   ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""9/2""","=""""","=""2.0522944""","=""""","=""""","=""0.002908""","=""1.315""","=""             or  :    83   (3H) 4F ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""15/2""","=""""","=""2.3082752""","=""""","=""""","=""0.255981""","=""1.075""","=""             or  :    58   (3H) 2K ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""11/2""","=""""","=""2.3419500""","=""""","=""""","=""0.033675""","=""1.255""","=""             or  :    85   (3H) 4G ""","="""""
"=""4f12.(3H<6>).5d<3/2>""","=""(6,3/2)""","=""13/2""","=""""","=""2.5699507""","=""""","=""""","=""0.228001""","=""1.140""","=""             or  :    35   (3H) 4H ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""13/2""","=""""","=""2.0634984""","=""""","=""""","=""-0.506452""","=""1.160""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""19/2""","=""""","=""2.0997756""","=""""","=""""","=""0.036277""","=""1.145""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""11/2""","=""""","=""2.1156335""","=""""","=""""","=""0.015858""","=""1.150""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""13/2""","=""""","=""2.1547111""","=""""","=""""","=""0.039078""","=""1.135""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""17/2""","=""""","=""2.2122106""","=""""","=""""","=""0.057500""","=""1.140""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""15/2""","=""""","=""2.2891633""","=""""","=""""","=""0.076953""","=""1.180""","=""                                   ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""17/2""","=""""","=""2.3932462""","=""""","=""""","=""0.104083""","=""1.175""","=""             or  :    99   (3H) 4K ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""7/2""","=""""","=""2.4676708""","=""""","=""""","=""0.074425""","=""1.185""","=""             or  :    51   (3H) 4F ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""15/2""","=""""","=""2.6697707""","=""""","=""""","=""0.202100""","=""1.185""","=""             or  :    86   (3H) 4I ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""11/2""","=""""","=""2.6901908""","=""""","=""""","=""0.020420""","=""1.100""","=""             or  :    54   (3H) 2H ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""9/2""","=""""","=""2.7145169""","=""""","=""""","=""0.024326""","=""1.165""","=""             or  :    41   (3H) 4G ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""(6,5/2)""","=""13/2""","=""""","=""2.7451782""","=""""","=""""","=""0.030661""","=""1.145""","=""             or  :    42   (3H) 4H ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""15/2""","=""""","=""2.4022663""","=""""","=""""","=""-0.342912""","=""1.020""","=""                                   ""","="""""
"=""4f11.(4I*).5d.6s""","=""*""","=""17/2""","=""""","=""2.4309228""","=""""","=""""","=""0.028656""","=""1.035""","=""                                   ""","="""""
