Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f12""","=""3H""","=""6""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                 ""","=""L3974"""
"=""4f12""","=""3H""","=""5""","=""""","=""0.864143""","=""""","=""""","=""0.864143""","=""                                 ""","="""""
"=""4f12""","=""3H""","=""4""","=""""","=""1.337229""","=""""","=""""","=""0.47309""","=""                                 ""","="""""
"=""4f12""","=""3F""","=""3""","=""""","=""""","=""""","=""""","=""""","=""                                 ""","="""""
"=""4f12""","=""3F""","=""2""","=""""","=""""","=""""","=""""","=""""","=""                                 ""","="""""
"=""4f12""","=""3F""","=""4""","=""""","=""0.630062""","=""""","=""""","=""""","=""                                 ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""6""","=""""","=""2.104767""","=""""","=""""","=""1.47470""","=""         or  :    76   (4I*) 5G* ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""7""","=""""","=""2.188043""","=""""","=""""","=""0.08328""","=""         or  :    79   (4I*) 5H* ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""9""","=""""","=""2.352816""","=""""","=""""","=""0.16477""","=""         or  :    47   (4I*) 3L* ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""8""","=""""","=""2.469538""","=""""","=""""","=""0.11672""","=""         or  :    40   (4I*) 5I* ""","="""""
"=""4f11.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""""","=""2.394866""","=""""","=""""","=""-0.07467""","=""         or  :    97   (4I*) 5I* ""","="""""
"=""4f11.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""""","=""2.507729""","=""""","=""""","=""0.11286""","=""         or  :    70   (4I*) 3I* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""10""","=""""","=""2.537973""","=""""","=""""","=""0.03024""","=""         or  :    96   (4I*) 5L* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""9""","=""""","=""2.688990""","=""""","=""""","=""0.15102""","=""         or  :    74   (4I*) 5K* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""5""","=""""","=""2.729732""","=""""","=""""","=""0.04074""","=""         or  :    62   (4I*) 5G* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""6""","=""""","=""2.802795""","=""""","=""""","=""0.07306""","=""         or  :    51   (4I*) 5H* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""8""","=""""","=""2.845613""","=""""","=""""","=""0.04282""","=""         or  :    48   (4I*) 5I* ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""7""","=""""","=""2.889176""","=""""","=""""","=""0.04356""","=""         or  :    34   (4I*) 3I* ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>""","=""(13/2,3/2)*""","=""6""","=""""","=""""","=""""","=""""","=""""","=""         or  :    24   (4I*) 5K* ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>""","=""(13/2,3/2)*""","=""8""","=""""","=""3.159380""","=""""","=""""","=""""","=""         or  :    51   (4I*) 5L* ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>""","=""(13/2,3/2)*""","=""5""","=""""","=""3.247476""","=""""","=""""","=""0.08810""","=""         or  :    50   (4I*) 3G* ""","="""""
"=""4f11.(4I*<13/2>).5d<3/2>""","=""(13/2,3/2)*""","=""7""","=""""","=""3.295489""","=""""","=""""","=""0.04801""","=""         or  :    38   (4I*) 5K* ""","="""""
"=""4f11.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""3.236335""","=""""","=""""","=""-0.05915""","=""         or  :    71   (4I*) 5I* ""","="""""
"=""4f11.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""3.274646""","=""""","=""""","=""0.03831""","=""         or  :    55   (4I*) 5I* ""","="""""
"=""4f11.5d""","=""*""","=""6""","=""""","=""3.406146""","=""""","=""""","=""0.13150""","=""             :    35   (4I*) 3H* ""","="""""
"=""4f11.5d""","=""*""","=""5""","=""""","=""3.455541""","=""""","=""""","=""0.04940""","=""             :    31   (4I*) 5G* ""","="""""
"=""4f11.5d""","=""*""","=""8""","=""""","=""3.540421""","=""""","=""""","=""0.08488""","=""             :    57   (4I*) 5K* ""","="""""
"=""4f11.5d""","=""*""","=""6""","=""""","=""3.567976""","=""""","=""""","=""0.02755""","=""             :    24   (4I*) 3H* ""","="""""
"=""4f11.5d""","=""*""","=""7""","=""""","=""3.573019""","=""""","=""""","=""0.00504""","=""             :    41   (4I*) 5L* ""","="""""
"=""""","=""*""","=""6""","=""""","=""3.671286""","=""""","=""""","=""0.09827""","=""                                 ""","="""""
"=""""","=""*""","=""5""","=""""","=""3.695534""","=""""","=""""","=""0.02425""","=""                                 ""","="""""
"=""4f11.5d""","=""*""","=""5""","=""""","=""3.721294""","=""""","=""""","=""0.02576""","=""             :    24   (4I*) 5I* ""","="""""
"=""""","=""*""","=""4""","=""""","=""3.992150""","=""""","=""""","=""0.27086""","=""                                 ""","="""""
"=""4f11.5d""","=""*""","=""6""","=""""","=""4.199985""","=""""","=""""","=""0.20783""","=""             :    21   (4I*) 3I* ""","="""""
"=""4f11.(4I*<15/2>).6p<1/2>""","=""(15/2,1/2)""","=""7""","=""""","=""6.886983""","=""""","=""""","=""2.68700""","=""  95                             ""","="""""
"=""4f11.(4I*<15/2>).6p<1/2>""","=""(15/2,1/2)""","=""8""","=""""","=""6.946258""","=""""","=""""","=""0.05928""","=""  97                             ""","="""""
"=""4f11.(4I*<15/2>).6p<3/2>""","=""(15/2,3/2)""","=""9""","=""""","=""7.567062""","=""""","=""""","=""0.62080""","=""  97                             ""","="""""
"=""4f11.(4I*<15/2>).6p<3/2>""","=""(15/2,3/2)""","=""6""","=""""","=""7.624256""","=""""","=""""","=""0.05719""","=""  70                             ""","="""""
"=""4f11.(4I*<15/2>).6p<3/2>""","=""(15/2,3/2)""","=""8""","=""""","=""7.629883""","=""""","=""""","=""0.00563""","=""  97                             ""","="""""
"=""4f11.(4I*<15/2>).6p<3/2>""","=""(15/2,3/2)""","=""7""","=""""","=""7.649741""","=""""","=""""","=""0.01986""","=""  82                             ""","="""""
"=""4f11.(4I*<13/2>).6p<1/2>""","=""(13/2,1/2)""","=""6""","=""""","=""7.761178""","=""""","=""""","=""0.11144""","=""  71                             ""","="""""
"=""4f11.(4I*<13/2>).6p<1/2>""","=""(13/2,1/2)""","=""7""","=""""","=""7.762385""","=""""","=""""","=""0.00121""","=""  84                             ""","="""""
"=""4f11.(4I*<11/2>).6p<1/2>""","=""(11/2,1/2)""","=""5""","=""""","=""8.174856""","=""""","=""""","=""0.41247""","=""  78                             ""","="""""
"=""4f11.(4I*<11/2>).6p<1/2>""","=""(11/2,1/2)""","=""6""","=""""","=""8.192584""","=""""","=""""","=""0.01773""","=""  80                             ""","="""""
"=""4f11.(4I*<13/2>).6p<3/2>""","=""(13/2,3/2)""","=""8""","=""""","=""8.393627""","=""""","=""""","=""0.20104""","=""  99                             ""","="""""
"=""4f11.(4I*<13/2>).6p<3/2>""","=""(13/2,3/2)""","=""5""","=""""","=""8.429243""","=""""","=""""","=""0.03562""","=""  89                             ""","="""""
"=""4f11.(4I*<13/2>).6p<3/2>""","=""(13/2,3/2)""","=""7""","=""""","=""8.441433""","=""""","=""""","=""0.01219""","=""  98                             ""","="""""
"=""4f11.(4I*<13/2>).6p<3/2>""","=""(13/2,3/2)""","=""6""","=""""","=""8.454008""","=""""","=""""","=""0.01258""","=""  94                             ""","="""""
"=""4f11.(4I*<11/2>).6p<3/2>""","=""(11/2,3/2)""","=""7""","=""""","=""""","=""""","=""""","=""""","=""  82                             ""","="""""
"=""4f11.(4I*<11/2>).6p<3/2>""","=""(11/2,3/2)""","=""4""","=""""","=""8.846074""","=""""","=""""","=""""","=""  71                             ""","="""""
"=""4f11.(4I*<11/2>).6p<3/2>""","=""(11/2,3/2)""","=""5""","=""""","=""8.899519""","=""""","=""""","=""0.05344""","=""  76                             ""","="""""
"=""4f11.(4I*<11/2>).6p<3/2>""","=""(11/2,3/2)""","=""6""","=""""","=""8.900311""","=""""","=""""","=""0.00079""","=""  80                             ""","="""""
"=""Er IV (4f11 4I*<15/2>)""","=""Limit""","=""---""","=""[""","=""22.70""","=""]""","=""0.03""","=""""","=""                                 ""","=""L19883c180"""
