Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f11""","=""4I*""","=""15/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  97         :     3   2K*  ""","=""L3974"""
"=""4f11""","=""4I*""","=""13/2""","=""[""","=""0.803""","=""]""","=""""","=""0.803""","=""  99         :     1   2K*  ""","="""""
"=""4f11""","=""4I*""","=""11/2""","=""[""","=""1.253""","=""]""","=""""","=""0.45""","=""  82         :    15   2H2* ""","="""""
"=""4f11""","=""4I*""","=""9/2""","=""[""","=""1.531""","=""]""","=""""","=""0.28""","=""  51         :    17   2H2* ""","="""""
"=""4f11""","=""4F*""","=""9/2""","=""[""","=""1.882""","=""]""","=""""","=""0.35""","=""  58         :    28   4I*  ""","="""""
"=""4f11""","=""4F*""","=""7/2""","=""[""","=""2.53""","=""]""","=""""","=""0.65""","=""  92         :     5   2G1* ""","="""""
"=""4f11""","=""4F*""","=""5/2""","=""[""","=""2.736""","=""]""","=""""","=""0.21""","=""  85         :    13   2D1* ""","="""""
"=""4f11""","=""4F*""","=""3/2""","=""[""","=""2.778""","=""]""","=""""","=""0.04""","=""  63         :    20   2D1* ""","="""""
"=""4f11""","=""4S*""","=""3/2""","=""[""","=""2.268""","=""]""","=""""","=""-0.51""","=""  68         :    18   2P*  ""","="""""
"=""Er V (4f10.5p6 5I<8>)""","=""Limit""","=""---""","=""[""","=""42.42""","=""]""","=""0.04""","=""""","=""                            ""","=""L19883c180"""
