Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f7""","=""8S*""","=""7/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.9926""","=""  97             :     3          6P*      ""","=""L3974"""
"=""4f7""","=""6P*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                           ""","="""""
"=""4f7""","=""6P*""","=""7/2""","=""""","=""3.496362""","=""""","=""""","=""""","=""""","=""                                           ""","="""""
"=""4f7""","=""6P*""","=""5/2""","=""""","=""3.549487""","=""""","=""""","=""0.05313""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""7/2""","=""""","=""3.936001""","=""""","=""""","=""0.38651""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""9/2""","=""""","=""3.961817""","=""""","=""""","=""0.02582""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""17/2""","=""""","=""3.976582""","=""""","=""""","=""0.01477""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""11/2""","=""""","=""3.989756""","=""""","=""""","=""0.01317""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""15/2""","=""""","=""4.005654""","=""""","=""""","=""0.01590""","=""""","=""                                           ""","="""""
"=""4f7""","=""6I*""","=""13/2""","=""""","=""4.006443""","=""""","=""""","=""0.00079""","=""""","=""                                           ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""3/2""","=""""","=""4.197636""","=""""","=""""","=""0.19119""","=""""","=""  97             :     2          (5D1) 6G ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""5/2""","=""""","=""4.264363""","=""""","=""""","=""0.06673""","=""""","=""  97             :     1          (5D1) 6G ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""7/2""","=""""","=""4.352944""","=""""","=""""","=""0.08858""","=""""","=""  97             :     1          (5D1) 6G ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""9/2""","=""""","=""4.459976""","=""""","=""""","=""0.10703""","=""""","=""  98             :     1          (5D1) 6G ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""11/2""","=""""","=""4.582740""","=""""","=""""","=""0.12276""","=""""","=""  99             :     1          (7F) 6H  ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""13/2""","=""""","=""4.719747""","=""""","=""""","=""0.13701""","=""""","=""  99             :     1          (7F) 6H  ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""15/2""","=""""","=""4.871301""","=""""","=""""","=""0.15155""","=""""","=""  99             :     1          (7F) 6H  ""","="""""
"=""4f6.(7F).5d""","=""8H""","=""17/2""","=""""","=""5.041124""","=""""","=""""","=""0.16982""","=""""","="" 100                                       ""","="""""
"=""4f6.(7F).5d""","=""8D""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  74             :    19          (7F) 6P  ""","="""""
"=""4f6.(7F).5d""","=""8D""","=""3/2""","=""""","=""4.417230""","=""""","=""""","=""""","=""""","=""  56             :    38          (7F) 6P  ""","="""""
"=""4f6.(7F).5d""","=""8D""","=""7/2""","=""""","=""4.739801""","=""""","=""""","=""0.32257""","=""""","=""  90             :     4          (7F) 6P  ""","="""""
"=""4f6.(7F).5d""","=""8D""","=""9/2""","=""""","=""4.863368""","=""""","=""""","=""0.12357""","=""""","=""  95             :     3          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8D""","=""11/2""","=""""","=""4.975873""","=""""","=""""","=""0.11250""","=""""","=""  97             :     1          (7F) 6F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""1/2""","=""""","=""4.717612""","=""""","=""""","=""-0.25826""","=""""","=""  65             :    27          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""3/2""","=""""","=""4.750660""","=""""","=""""","=""0.03305""","=""""","=""  61             :    30          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""5/2""","=""""","=""4.814128""","=""""","=""""","=""0.06347""","=""""","=""  61             :    29          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""7/2""","=""""","=""4.907252""","=""""","=""""","=""0.09312""","=""""","=""  63             :    29          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""9/2""","=""""","=""5.023645""","=""""","=""""","=""0.11639""","=""""","=""  67             :    28          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""11/2""","=""""","=""5.154422""","=""""","=""""","=""0.13078""","=""""","=""  72             :    25          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""13/2""","=""""","=""5.288943""","=""""","=""""","=""0.13452""","=""""","=""  79             :    17          (7F) 8F  ""","="""""
"=""4f6.(7F).5d""","=""8G""","=""15/2""","=""""","=""5.413021""","=""""","=""""","=""0.12408""","=""""","=""  93             :     7          (7F) 6H  ""","="""""
"=""4f6.(7F).5d""","=""8F""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  65             :    28          (7F) 8G  ""","="""""
"=""4f6.(7F).5d""","=""8F""","=""3/2""","=""""","=""4.837164""","=""""","=""""","=""""","=""""","=""  61             :    33          (7F) 8G  ""","="""""
