Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f6""","=""7F""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  93         :     3   5D1  ""","=""L3974"""
"=""4f6""","=""7F""","=""1""","=""[""","=""0.046""","=""]""","=""""","=""0.046""","=""  95         :     3   5D1  ""","="""""
"=""4f6""","=""7F""","=""2""","=""[""","=""0.129""","=""]""","=""""","=""0.08""","=""  96         :     2   5D1  ""","="""""
"=""4f6""","=""7F""","=""3""","=""[""","=""0.234""","=""]""","=""""","=""0.11""","=""  97         :     1   5D1  ""","="""""
"=""4f6""","=""7F""","=""4""","=""[""","=""0.355""","=""]""","=""""","=""0.12""","=""  98         :     1   5F2  ""","="""""
"=""4f6""","=""7F""","=""5""","=""[""","=""0.485""","=""]""","=""""","=""0.13""","=""  98         :     1   5G1  ""","="""""
"=""4f6""","=""7F""","=""6""","=""[""","=""0.612""","=""]""","=""""","=""0.13""","=""  96         :     2   5G1  ""","="""""
"=""4f6""","=""5D3""","=""0""","=""[""","=""2.141""","=""]""","=""""","=""1.53""","=""  46         :    30   5D1  ""","="""""
"=""4f6""","=""5D3""","=""1""","=""[""","=""2.359""","=""]""","=""""","=""0.22""","=""  51         :    32   5D1  ""","="""""
"=""4f6""","=""5D3""","=""2""","=""[""","=""2.667""","=""]""","=""""","=""0.31""","=""  55         :    35   5D1  ""","="""""
"=""4f6""","=""5D3""","=""3""","=""[""","=""3.024""","=""]""","=""""","=""0.36""","=""  56         :    36   5D1  ""","="""""
"=""4f6""","=""5D3""","=""4""","=""[""","=""3.427""","=""]""","=""""","=""0.40""","=""  53         :    36   5D1  ""","="""""
"=""Eu V (4f5.5s2.5p6 6H*<5/2>)""","=""Limit""","=""---""","=""[""","=""42.94""","=""]""","=""0.11""","=""""","=""                            ""","=""L19883c180"""
