Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3462"""
"=""2s2.2p4""","=""3P""","=""1""","=""""","=""0.04228""","=""""","=""""","=""0.04228""","="""""
"=""2s2.2p4""","=""3P""","=""0""","=""""","=""0.06074""","=""""","=""""","=""0.0185""","="""""
"=""2s2.2p4""","=""1D""","=""2""","=""""","=""2.58797""","=""""","=""""","=""2.5272""","="""""
"=""2s2.2p4""","=""1S""","=""0""","=""""","=""5.56913""","=""""","=""""","=""2.9812""","="""""
"=""2s.2p5""","=""3P*""","=""2""","=""""","=""20.432333""","=""""","=""""","=""14.86320""","="""""
"=""2s.2p5""","=""3P*""","=""1""","=""""","=""20.470617""","=""""","=""""","=""0.03828""","="""""
"=""2s.2p5""","=""3P*""","=""0""","=""""","=""20.492008""","=""""","=""""","=""0.02139""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""""","=""21.882458""","=""""","=""""","=""1.39045""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""""","=""22.672296""","=""""","=""""","=""0.78984""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""""","=""25.100520""","=""""","=""""","=""2.42822""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""""","=""25.101926""","=""""","=""""","=""0.00141""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""""","=""25.104353""","=""""","=""""","=""0.00243""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""""","=""25.751403""","=""""","=""""","=""0.64705""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""""","=""25.751771""","=""""","=""""","=""0.00037""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""""","=""25.751988""","=""""","=""""","=""0.00022""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""""","=""26.268052""","=""""","=""""","=""0.51606""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""""","=""26.270663""","=""""","=""""","=""0.00261""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""""","=""26.272284""","=""""","=""""","=""0.00162""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""""","=""26.665231""","=""""","=""""","=""0.39295""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","=""""","=""28.172734""","=""""","=""""","=""1.50750""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","=""""","=""28.460586""","=""""","=""""","=""0.28785""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","=""""","=""28.460795""","=""""","=""""","=""0.00021""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","=""""","=""28.461124""","=""""","=""""","=""0.00033""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""""","=""28.640060""","=""""","=""""","=""0.17894""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""""","=""28.640176""","=""""","=""""","=""0.00012""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""""","=""28.640323""","=""""","=""""","=""0.00015""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""""","=""28.640448""","=""""","=""""","=""0.00013""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""","=""""","=""28.640507""","=""""","=""""","=""0.00006""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","=""""","=""28.772187""","=""""","=""""","=""0.13168""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""""","=""28.772289""","=""""","=""""","=""0.00010""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""""","=""28.772557""","=""""","=""""","=""0.00027""","="""""
"=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""","=""""","=""29.154956""","=""""","=""""","=""0.38240""","="""""
"=""2s2.2p3.(2D*).3p""","=""1P""","=""1""","=""""","=""29.215944""","=""""","=""""","=""0.06099""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""""","=""29.281339""","=""""","=""""","=""0.06539""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""""","=""29.281672""","=""""","=""""","=""0.00033""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""""","=""29.284465""","=""""","=""""","=""0.00279""","="""""
"=""2s2.2p3.(4S*).4s""","=""3S*""","=""1""","=""""","=""29.379399""","=""""","=""""","=""0.09493""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""""","=""29.447196""","=""""","=""""","=""0.06780""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""""","=""29.447268""","=""""","=""""","=""0.00007""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""""","=""29.447353""","=""""","=""""","=""0.00008""","="""""
"=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""""","=""29.548333""","=""""","=""""","=""0.10098""","="""""
"=""2s.2p5""","=""1P*""","=""1""","=""""","=""29.707270""","=""""","=""""","=""0.15894""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""2""","=""""","=""29.767682""","=""""","=""""","=""0.06041""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""1""","=""""","=""29.775141""","=""""","=""""","=""0.00746""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""0""","=""""","=""29.778428""","=""""","=""""","=""0.00329""","="""""
