Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3462"""
"=""2s2.2p3""","=""2D*""","=""5/2""","=""""","=""4.22630""","=""""","=""""","=""4.22630""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""","=""""","=""4.23074""","=""""","=""""","=""0.0044""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""","=""""","=""6.39270""","=""""","=""""","=""2.1620""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""","=""""","=""6.39280""","=""""","=""""","=""0.0001""","="""""
"=""2s.2p4""","=""4P""","=""5/2""","=""""","=""18.83316""","=""""","=""""","=""12.4404""","="""""
"=""2s.2p4""","=""4P""","=""3/2""","=""""","=""18.87503""","=""""","=""""","=""0.0419""","="""""
"=""2s.2p4""","=""4P""","=""1/2""","=""""","=""18.89654""","=""""","=""""","=""0.0215""","="""""
"=""2s.2p4""","=""2D""","=""5/2""","=""""","=""26.06665""","=""""","=""""","=""7.1701""","="""""
"=""2s.2p4""","=""2D""","=""3/2""","=""""","=""26.06846""","=""""","=""""","=""0.0018""","="""""
"=""2s.2p4""","=""2S""","=""1/2""","=""""","=""30.78049""","=""""","=""""","=""4.7120""","="""""
"=""2s.2p4""","=""2P""","=""3/2""","=""""","=""33.049457""","=""""","=""""","=""2.26897""","="""""
"=""2s.2p4""","=""2P""","=""1/2""","=""""","=""33.096925""","=""""","=""""","=""0.04747""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""""","=""39.267012""","=""""","=""""","=""6.17009""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""""","=""39.293195""","=""""","=""""","=""0.02618""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""""","=""39.332743""","=""""","=""""","=""0.03955""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""""","=""40.231949""","=""""","=""""","=""0.89921""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""""","=""40.279580""","=""""","=""""","=""0.04763""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""""","=""42.653561""","=""""","=""""","=""2.37398""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""""","=""42.653984""","=""""","=""""","=""0.00042""","="""""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""""","=""42.704740""","=""""","=""""","=""0.05076""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""""","=""43.233637""","=""""","=""""","=""0.52890""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""""","=""43.247871""","=""""","=""""","=""0.01423""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""""","=""43.271384""","=""""","=""""","=""0.02351""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""""","=""43.303490""","=""""","=""""","=""0.03211""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""""","=""43.547757""","=""""","=""""","=""0.24427""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""""","=""43.559468""","=""""","=""""","=""0.01171""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""""","=""43.582854""","=""""","=""""","=""0.02339""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""""","=""44.136131""","=""""","=""""","=""0.55328""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""""","=""44.184474""","=""""","=""""","=""0.04834""","="""""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""""","=""44.321791""","=""""","=""""","=""0.13732""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""""","=""44.677493""","=""""","=""""","=""0.35570""","="""""
"=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""""","=""44.688254""","=""""","=""""","=""0.01076""","="""""
"=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","=""""","=""46.206241""","=""""","=""""","=""1.51799""","="""""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""""","=""46.718984""","=""""","=""""","=""0.51274""","="""""
"=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""""","=""46.727049""","=""""","=""""","=""0.00807""","="""""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""""","=""47.145056""","=""""","=""""","=""0.41801""","="""""
"=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""""","=""47.152075""","=""""","=""""","=""0.00702""","="""""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""""","=""47.654385""","=""""","=""""","=""0.50231""","="""""
"=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""""","=""47.671064""","=""""","=""""","=""0.01668""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""""","=""48.014031""","=""""","=""""","=""0.34297""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""""","=""48.027501""","=""""","=""""","=""0.01347""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""""","=""48.046787""","=""""","=""""","=""0.01929""","="""""
"=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""""","=""48.072001""","=""""","=""""","=""0.02521""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","=""""","=""48.295013""","=""""","=""""","=""0.22301""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","=""""","=""48.321308""","=""""","=""""","=""0.02630""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""""","=""48.363483""","=""""","=""""","=""0.04218""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""""","=""48.363793""","=""""","=""""","=""0.00031""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""""","=""48.368811""","=""""","=""""","=""0.00502""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""""","=""48.379927""","=""""","=""""","=""0.01112""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""""","=""48.457315""","=""""","=""""","=""0.07739""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""""","=""48.474889""","=""""","=""""","=""0.01757""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""""","=""48.483716""","=""""","=""""","=""0.00883""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""""","=""48.509738""","=""""","=""""","=""0.02602""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""""","=""48.555549""","=""""","=""""","=""0.04581""","="""""
"=""2s.2p3.(5S*).3s""","=""6S*""","=""5/2""","=""""","=""48.593323""","=""""","=""""","=""0.03777""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""","=""""","=""49.007002""","=""""","=""""","=""0.41368""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""""","=""49.021574""","=""""","=""""","=""0.01457""","="""""
"=""2p5""","=""2P*""","=""3/2""","=""""","=""49.743177""","=""""","=""""","=""0.72160""","="""""
"=""2p5""","=""2P*""","=""1/2""","=""""","=""49.807469""","=""""","=""""","=""0.06429""","="""""
"=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""","=""""","=""50.186426""","=""""","=""""","=""0.37896""","="""""
"=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""","=""""","=""50.449713""","=""""","=""""","=""0.26329""","="""""
"=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""","=""""","=""50.450280""","=""""","=""""","=""0.00057""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""","=""""","=""51.223310""","=""""","=""""","=""0.77303""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""","=""""","=""51.229651""","=""""","=""""","=""0.00634""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""","=""""","=""51.440410""","=""""","=""""","=""0.21076""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""7/2""","=""""","=""51.440761""","=""""","=""""","=""0.00035""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""","=""""","=""51.476270""","=""""","=""""","=""0.03551""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""","=""""","=""51.502355""","=""""","=""""","=""0.02609""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""","=""""","=""51.542818""","=""""","=""""","=""0.04046""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""""","=""51.598293""","=""""","=""""","=""0.05548""","="""""
