Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3462"""
"=""2s2.2p2""","=""3P""","=""1""","=""""","=""0.02802""","=""""","=""""","=""0.02802""","="""""
"=""2s2.2p2""","=""3P""","=""2""","=""""","=""0.07613""","=""""","=""""","=""0.0481""","="""""
"=""2s2.2p2""","=""1D""","=""2""","=""""","=""3.12914""","=""""","=""""","=""3.0530""","="""""
"=""2s2.2p2""","=""1S""","=""0""","=""""","=""6.63826""","=""""","=""""","=""3.5091""","="""""
"=""2s.2p3""","=""5S*""","=""2""","=""""","=""9.19897""","=""""","=""""","=""2.5607""","="""""
"=""2s.2p3""","=""3D*""","=""3""","=""""","=""18.33020""","=""""","=""""","=""9.1312""","="""""
"=""2s.2p3""","=""3D*""","=""2""","=""""","=""18.33586""","=""""","=""""","=""0.0057""","="""""
"=""2s.2p3""","=""3D*""","=""1""","=""""","=""18.33770""","=""""","=""""","=""0.0018""","="""""
"=""2s.2p3""","=""3P*""","=""2""","=""""","=""21.72659""","=""""","=""""","=""3.3889""","="""""
"=""2s.2p3""","=""3P*""","=""1""","=""""","=""21.72723""","=""""","=""""","=""0.0006""","="""""
"=""2s.2p3""","=""3P*""","=""0""","=""""","=""21.72995""","=""""","=""""","=""0.0027""","="""""
"=""2s.2p3""","=""1D*""","=""2""","=""""","=""28.38045""","=""""","=""""","=""6.6505""","="""""
"=""2s.2p3""","=""3S*""","=""1""","=""""","=""29.54503""","=""""","=""""","=""1.1646""","="""""
"=""2s.2p3""","=""1P*""","=""1""","=""""","=""31.91186""","=""""","=""""","=""2.3668""","="""""
"=""2p4""","=""3P""","=""2""","=""""","=""43.18709""","=""""","=""""","=""11.2752""","="""""
"=""2p4""","=""3P""","=""1""","=""""","=""43.24155""","=""""","=""""","=""0.0545""","="""""
"=""2p4""","=""3P""","=""0""","=""""","=""43.26550""","=""""","=""""","=""0.0240""","="""""
"=""2p4""","=""1D""","=""2""","=""""","=""45.55212""","=""""","=""""","=""2.2866""","="""""
"=""2s2.2p.(2P*).3s""","=""3P*""","=""0""","=""""","=""51.62917""","=""""","=""""","=""6.0770""","="""""
"=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""""","=""51.65675""","=""""","=""""","=""0.0276""","="""""
"=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""""","=""51.71919""","=""""","=""""","=""0.0624""","="""""
"=""2p4""","=""1S""","=""0""","=""""","=""52.3251""","=""""","=""""","=""0.6059""","="""""
"=""2s2.2p.(2P*).3s""","=""1P*""","=""1""","=""""","=""52.52050""","=""""","=""""","=""0.1954""","="""""
"=""2s2.2p.(2P*).3p""","=""1P""","=""1""","=""""","=""55.5325""","=""+w""","=""""","=""3.0120""","="""""
"=""2s2.2p.(2P*).3p""","=""3D""","=""1""","=""""","=""56.01849""","=""""","=""""","=""0.4860""","="""""
"=""2s2.2p.(2P*).3p""","=""3D""","=""2""","=""""","=""56.05091""","=""""","=""""","=""0.0324""","="""""
"=""2s2.2p.(2P*).3p""","=""3D""","=""3""","=""""","=""56.10497""","=""""","=""""","=""0.0541""","="""""
"=""2s2.2p.(2P*).3p""","=""3S""","=""1""","=""""","=""56.64643""","=""""","=""""","=""0.5415""","="""""
"=""2s2.2p.(2P*).3p""","=""3P""","=""0""","=""""","=""57.05941""","=""""","=""""","=""0.4130""","="""""
"=""2s2.2p.(2P*).3p""","=""3P""","=""1""","=""""","=""57.08056""","=""""","=""""","=""0.0211""","="""""
"=""2s2.2p.(2P*).3p""","=""3P""","=""2""","=""""","=""57.11216""","=""""","=""""","=""0.0316""","="""""
"=""2s2.2p.(2P*).3p""","=""1D""","=""2""","=""""","=""58.22846""","=""""","=""""","=""1.1163""","="""""
"=""2s2.2p.(2P*).3p""","=""1S""","=""0""","=""""","=""59.5868""","=""+x""","=""""","=""1.3583""","="""""
"=""2s2.2p.(2P*).3d""","=""3F*""","=""2""","=""""","=""61.04921""","=""""","=""""","=""1.4624""","="""""
"=""2s2.2p.(2P*).3d""","=""3F*""","=""3""","=""""","=""61.10670""","=""""","=""""","=""0.0575""","="""""
"=""2s2.2p.(2P*).3d""","=""3F*""","=""4""","=""""","=""61.14978""","=""""","=""""","=""0.0431""","="""""
"=""2s2.2p.(2P*).3d""","=""1D*""","=""2""","=""""","=""61.1073""","=""""","=""""","=""-0.0425""","="""""
"=""2s2.2p.(2P*).3d""","=""3D*""","=""1""","=""""","=""61.67983""","=""""","=""""","=""0.5725""","="""""
"=""2s2.2p.(2P*).3d""","=""3D*""","=""2""","=""""","=""61.69151""","=""""","=""""","=""0.0117""","="""""
"=""2s2.2p.(2P*).3d""","=""3D*""","=""3""","=""""","=""61.71054""","=""""","=""""","=""0.0190""","="""""
"=""2s2.2p.(2P*).3d""","=""3P*""","=""2""","=""""","=""62.04047""","=""""","=""""","=""0.3299""","="""""
"=""2s2.2p.(2P*).3d""","=""3P*""","=""1""","=""""","=""62.06675""","=""""","=""""","=""0.0263""","="""""
"=""2s2.2p.(2P*).3d""","=""3P*""","=""0""","=""""","=""62.08093""","=""""","=""""","=""0.0142""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""1""","=""""","=""62.29103""","=""""","=""""","=""0.2101""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""2""","=""""","=""62.32095""","=""""","=""""","=""0.0299""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""3""","=""""","=""62.36038""","=""""","=""""","=""0.0394""","="""""
"=""2s2.2p.(2P*).3d""","=""1F*""","=""3""","=""""","=""62.66427""","=""""","=""""","=""0.3039""","="""""
"=""2s2.2p.(2P*).3d""","=""1P*""","=""1""","=""""","=""62.7997""","=""""","=""""","=""0.1354""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""0""","=""""","=""64.3901""","=""""","=""""","=""1.590""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""1""","=""""","=""64.4146""","=""""","=""""","=""0.024""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""2""","=""""","=""64.4581""","=""""","=""""","=""0.044""","="""""
"=""2s.2p2.(4P).3p""","=""3S*""","=""1""","=""""","=""66.2926""","=""""","=""""","=""1.834""","="""""
"=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""""","=""66.73590""","=""""","=""""","=""0.4433""","="""""
"=""2s.2p2.(4P).3p""","=""5D*""","=""2""","=""""","=""66.75275""","=""""","=""""","=""0.0169""","="""""
"=""2s.2p2.(4P).3p""","=""5D*""","=""3""","=""""","=""66.77762""","=""""","=""""","=""0.0249""","="""""
"=""2s.2p2.(4P).3p""","=""5D*""","=""4""","=""""","=""66.80939""","=""""","=""""","=""0.0318""","="""""
"=""2s.2p2.(4P).3p""","=""5P*""","=""1""","=""""","=""67.23245""","=""""","=""""","=""0.4231""","="""""
"=""2s.2p2.(4P).3p""","=""5P*""","=""2""","=""""","=""67.24670""","=""""","=""""","=""0.0143""","="""""
"=""2s.2p2.(4P).3p""","=""5P*""","=""3""","=""""","=""67.27174""","=""""","=""""","=""0.0250""","="""""
"=""2s.2p2.(4P).3p""","=""3D*""","=""1""","=""""","=""68.3051""","=""""","=""""","=""1.0334""","="""""
