Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p""","=""2P*""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3462"""
"=""2s2.2p""","=""2P*""","=""3/2""","=""""","=""0.09231""","=""""","=""""","=""0.09231""","="""""
"=""2s.2p2""","=""4P""","=""1/2""","=""""","=""10.63663""","=""""","=""""","=""10.5443""","="""""
"=""2s.2p2""","=""4P""","=""3/2""","=""""","=""10.66803""","=""""","=""""","=""0.0314""","="""""
"=""2s.2p2""","=""4P""","=""5/2""","=""""","=""10.71310""","=""""","=""""","=""0.0451""","="""""
"=""2s.2p2""","=""2D""","=""5/2""","=""""","=""18.95403""","=""""","=""""","=""8.2409""","="""""
"=""2s.2p2""","=""2D""","=""3/2""","=""""","=""18.95702""","=""""","=""""","=""0.0030""","="""""
"=""2s.2p2""","=""2S""","=""1/2""","=""""","=""24.49511""","=""""","=""""","=""5.5381""","="""""
"=""2s.2p2""","=""2P""","=""1/2""","=""""","=""26.64177""","=""""","=""""","=""2.1467""","="""""
"=""2s.2p2""","=""2P""","=""3/2""","=""""","=""26.69976""","=""""","=""""","=""0.0580""","="""""
"=""2p3""","=""4S*""","=""3/2""","=""""","=""34.27094""","=""""","=""""","=""7.5712""","="""""
"=""2p3""","=""2D*""","=""5/2""","=""""","=""38.09133""","=""""","=""""","=""3.8204""","="""""
"=""2p3""","=""2D*""","=""3/2""","=""""","=""38.09726""","=""""","=""""","=""0.0059""","="""""
"=""2p3""","=""2P*""","=""1/2""","=""""","=""43.07466""","=""""","=""""","=""4.9774""","="""""
"=""2p3""","=""2P*""","=""3/2""","=""""","=""43.07738""","=""""","=""""","=""0.0027""","="""""
"=""2s2.3s""","=""2S""","=""1/2""","=""""","=""65.0608""","=""""","=""""","=""21.9834""","="""""
"=""2s2.3p""","=""2P*""","=""1/2""","=""""","=""70.0966""","=""""","=""""","=""5.036""","="""""
"=""2s2.3p""","=""2P*""","=""3/2""","=""""","=""70.1185""","=""""","=""""","=""0.022""","="""""
"=""2s2.3d""","=""2D""","=""3/2""","=""""","=""74.6975""","=""""","=""""","=""4.579""","="""""
"=""2s2.3d""","=""2D""","=""5/2""","=""""","=""74.7025""","=""""","=""""","=""0.005""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""""","=""76.98111""","=""""","=""""","=""2.2786""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""""","=""77.01291""","=""""","=""""","=""0.0318""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""""","=""77.07093""","=""""","=""""","=""0.0580""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""""","=""79.2080""","=""""","=""""","=""2.1371""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""""","=""79.2712""","=""""","=""""","=""0.063""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""""","=""81.3594""","=""""","=""""","=""2.088""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""""","=""81.3877""","=""""","=""""","=""0.028""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""""","=""81.54996""","=""""","=""""","=""0.1623""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""""","=""81.56796""","=""""","=""""","=""0.0180""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""""","=""81.59967""","=""""","=""""","=""0.0317""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""""","=""81.64942""","=""""","=""""","=""0.0498""","="""""
"=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""""","=""82.57301""","=""""","=""""","=""0.9236""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""""","=""83.8049""","=""""","=""""","=""1.2319""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""""","=""83.8656""","=""""","=""""","=""0.061""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""","=""""","=""85.2771""","=""""","=""""","=""1.412""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""86.4880""","=""""","=""""","=""1.211""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""86.48830""","=""""","=""""","=""0.0003""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""86.50068""","=""""","=""""","=""0.0124""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""""","=""86.51754""","=""""","=""""","=""0.0169""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""86.7013""","=""""","=""""","=""0.1838""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""86.7132""","=""""","=""""","=""0.012""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""""","=""87.11923""","=""""","=""""","=""0.4060""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""87.14428""","=""""","=""""","=""0.0250""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""87.16337""","=""""","=""""","=""0.0191""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""""","=""88.3704""","=""""","=""""","=""1.2070""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""""","=""88.3704""","=""""","=""""","=""0.000""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""""","=""88.3809""","=""""","=""""","=""0.010""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""""","=""88.4387""","=""""","=""""","=""0.058""","="""""
"=""2s2.4s""","=""2S""","=""1/2""","=""""","=""88.3928""","=""""","=""""","=""-0.046""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""""","=""89.0792""","=""""","=""""","=""0.686""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""""","=""89.1063""","=""""","=""""","=""0.027""","="""""
"=""2s2.4d""","=""2D""","=""3/2""","=""""","=""92.2455""","=""""","=""""","=""3.139""","="""""
"=""2s2.4d""","=""2D""","=""5/2""","=""""","=""92.2487""","=""""","=""""","=""0.003""","="""""
"=""2s2.4f""","=""2F*""","=""5/2""","=""""","=""92.5573""","=""""","=""""","=""0.309""","="""""
"=""2s2.4f""","=""2F*""","=""7/2""","=""""","=""92.5573""","=""""","=""""","=""0.000""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""""","=""93.1625""","=""""","=""""","=""0.605""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""""","=""93.1682""","=""""","=""""","=""0.006""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""""","=""93.4257""","=""""","=""""","=""0.258""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""""","=""93.4414""","=""""","=""""","=""0.016""","="""""
"=""2s.2p.(1P*).3p""","=""2S""","=""1/2""","=""""","=""94.2704""","=""""","=""""","=""0.829""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""""","=""97.1602""","=""""","=""""","=""2.890""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""""","=""97.1602""","=""""","=""""","=""0.000""","="""""
"=""2p2.(3P).3s""","=""4P""","=""1/2""","=""""","=""97.2159""","=""""","=""""","=""0.056""","="""""
"=""2p2.(3P).3s""","=""4P""","=""3/2""","=""""","=""97.24859""","=""""","=""""","=""0.0327""","="""""
"=""2p2.(3P).3s""","=""4P""","=""5/2""","=""""","=""97.29893""","=""""","=""""","=""0.0503""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""","=""""","=""97.6655""","=""""","=""""","=""0.3666""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""5/2""","=""""","=""97.6703""","=""""","=""""","=""0.005""","="""""
"=""2s2.5s""","=""2S""","=""1/2""","=""""","=""98.1335""","=""+z""","=""""","=""0.463""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""","=""""","=""98.3577""","=""""","=""""","=""0.224""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""","=""""","=""98.3577""","=""""","=""""","=""0.000""","="""""
"=""2p2.(3P).3s""","=""2P""","=""1/2""","=""""","=""98.8227""","=""""","=""""","=""0.465""","="""""
"=""2p2.(3P).3s""","=""2P""","=""3/2""","=""""","=""98.8798""","=""""","=""""","=""0.057""","="""""
"=""2s2.5d""","=""2D""","=""3/2""","=""""","=""100.2614""","=""""","=""""","=""1.382""","="""""
"=""2s2.5d""","=""2D""","=""5/2""","=""""","=""100.2632""","=""""","=""""","=""0.002""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""100.34531""","=""""","=""""","=""0.0821""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""100.39038""","=""""","=""""","=""0.0451""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""100.43898""","=""""","=""""","=""0.0486""","="""""
"=""2p2.(1D).3s""","=""2D""","=""3/2""","=""""","=""100.5605""","=""""","=""""","=""0.1215""","="""""
"=""2p2.(1D).3s""","=""2D""","=""5/2""","=""""","=""100.5605""","=""""","=""""","=""0.000""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""3/2""","=""""","=""101.20508""","=""""","=""""","=""0.6446""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""5/2""","=""""","=""101.24116""","=""""","=""""","=""0.0361""","="""""
