Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""0.00000000""","=""""","=""0.00000000""","=""""","=""1.58""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""0.04770753""","=""""","=""0.00000004""","=""0.04770753""","=""1.58""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""""","=""0.08278213""","=""""","=""0.00000004""","=""0.03507460""","=""1.655""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""""","=""0.10695023""","=""""","=""0.00000005""","=""0.02416810""","=""1.862""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""""","=""0.12113874""","=""""","=""0.00000005""","=""0.01418851""","=""3.31""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4F""","=""9/2""","=""""","=""0.23217279""","=""""","=""0.00000007""","=""0.11103405""","=""1.33""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4F""","=""7/2""","=""""","=""0.30129858""","=""""","=""0.00000007""","=""0.06912579""","=""1.223""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4F""","=""5/2""","=""""","=""0.35186476""","=""""","=""0.00000009""","=""0.0505662""","=""1.02""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4F""","=""3/2""","=""""","=""0.38651921""","=""""","=""0.00000010""","=""0.0346545""","=""0.385""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""""","=""0.98633380""","=""""","=""0.00000009""","=""0.5998146""","=""1.419""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""""","=""1.04046986""","=""""","=""0.00000009""","=""0.0541361""","=""1.365""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""""","=""1.07624119""","=""""","=""0.00000009""","=""0.0357713""","=""1.200""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""""","=""1.09686139""","=""""","=""0.00000010""","=""0.0206202""","=""-0.05""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4P""","=""5/2""","=""""","=""1.67061856""","=""""","=""0.00000011""","=""0.5737572""","=""1.609""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4P""","=""3/2""","=""""","=""1.69526130""","=""""","=""0.00000012""","=""0.0246427""","=""1.737""","=""  96                                  :     2  3d7                     2P    ""","=""L18349,L18361c138"""
"=""3d7""","=""a 4P""","=""1/2""","=""""","=""1.72398297""","=""""","=""0.00000015""","=""0.0287217""","=""2.67""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2G""","=""9/2""","=""""","=""1.96448604""","=""""","=""0.00000015""","=""0.2405031""","=""""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2G""","=""7/2""","=""""","=""2.02954815""","=""""","=""0.00000016""","=""0.0650621""","=""""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2P""","=""3/2""","=""""","=""2.27642922""","=""""","=""0.00000020""","=""0.2468811""","=""1.28""","=""  90                                  :     6  3d7                     2D2   ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2P""","=""1/2""","=""""","=""2.34166141""","=""""","=""0.00000025""","=""0.0652322""","=""""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2H""","=""11/2""","=""""","=""2.52186911""","=""""","=""0.00000016""","=""0.1802077""","=""""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2H""","=""9/2""","=""""","=""2.57958587""","=""""","=""0.00000017""","=""0.0577168""","=""0.92""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2D2""","=""5/2""","=""""","=""2.54377802""","=""""","=""0.00000020""","=""-0.0358078""","=""1.22""","=""  74                                  :    23  3d7                     2D1   ""","=""L18349,L18361c138"""
"=""3d7""","=""a 2D2""","=""3/2""","=""""","=""2.64185518""","=""""","=""0.00000025""","=""0.0980772""","=""""","=""  72                                  :    20  3d7                     2D1   ""","=""L18349,L18361c138"""
"=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""""","=""2.58265947""","=""""","=""0.00000014""","=""-0.0591957""","=""1.583""","=""  60                                  :    37  3d6.(3P1).4s            4P    ""","=""L18349,L18361c138"""
"=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""""","=""2.70434897""","=""""","=""0.00000015""","=""0.1216895""","=""1.720""","=""  60                                  :    37  3d6.(3P1).4s            4P    ""","=""L18349,L18361c138"""
"=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""""","=""2.77846330""","=""""","=""0.00000016""","=""0.0741143""","=""2.68""","=""  61                                  :    37  3d6.(3P1).4s            4P    ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""""","=""2.63486052""","=""""","=""0.00000014""","=""-0.1436028""","=""1.20""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""""","=""2.65702556""","=""""","=""0.00000012""","=""0.0221650""","=""1.119""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""""","=""2.67577925""","=""""","=""0.00000014""","=""0.0187537""","=""0.951""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""""","=""2.69193206""","=""""","=""0.00000014""","=""0.0161528""","=""0.661""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""""","=""2.80665448""","=""""","=""0.00000014""","=""0.1147224""","=""1.307""","=""  76                                  :    21  3d6.(3F1).4s            4F    ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""""","=""2.82812245""","=""""","=""0.00000014""","=""0.0214680""","=""1.210""","=""  77                                  :    20  3d6.(3F1).4s            4F    ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""""","=""2.84411707""","=""""","=""0.00000014""","=""0.0159946""","=""1.019""","=""  78                                  :    20  3d6.(3F1).4s            4F    ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""""","=""2.85551515""","=""""","=""0.00000014""","=""0.0113981""","=""0.398""","=""  80                                  :    20  3d6.(3F1).4s            4F    ""","=""L18349,L18361c138"""
"=""3d5.4s2""","=""a 6S""","=""5/2""","=""""","=""2.89101830""","=""""","=""0.00000014""","=""0.0355031""","=""1.996""","=""  98                                  :     2  3d5.(6S).4p2            6S    ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""""","=""3.15276806""","=""""","=""0.00000015""","=""0.2617498""","=""1.237""","=""  84                                  :    15  3d6.(3H).4s             2H    ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""""","=""3.19945278""","=""""","=""0.00000015""","=""0.0466847""","=""1.15""","=""  92                                  :     5  3d6.(3H).4s             2H    ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""""","=""3.22131344""","=""""","=""0.00000015""","=""0.0218607""","=""0.98""","=""  95                                  :     2  3d6.(3F2).4s            4F    ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""""","=""3.23045937""","=""""","=""0.00000016""","=""0.0091459""","=""0.574""","=""  95                                  :     3  3d6.(3F2).4s            2F    ""","=""L18349,L18361c138"""
"=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""""","=""3.19725263""","=""""","=""0.00000016""","=""-0.0332067""","=""1.33""","=""  60                                  :    37  3d6.(3P1).4s            2P    ""","=""L18349,L18361c138"""
"=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""""","=""3.33923354""","=""""","=""0.00000020""","=""0.1419809""","=""0.67""","=""  61                                  :    37  3d6.(3P1).4s            2P    ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""""","=""3.24468891""","=""""","=""0.00000016""","=""-0.0945446""","=""1.09""","=""  84                                  :    15  3d6.(3G).4s             4G    ""","=""L18349,L18361c138"""
"=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""""","=""3.26732671""","=""""","=""0.00000016""","=""0.0226378""","=""0.927""","=""  92                                  :     5  3d6.(3G).4s             4G    ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""""","=""3.38661825""","=""""","=""0.00000016""","=""0.1192915""","=""1.129""","=""  72                                  :    20  3d6.(3F1).4s            2F    ""","=""L18349,L18361c138"""
"=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""""","=""3.42449356""","=""""","=""0.00000016""","=""0.0378753""","=""0.851""","=""  74                                  :    19  3d6.(3F1).4s            2F    ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""""","=""3.76769941""","=""""","=""0.00000017""","=""0.3432058""","=""1.10""","=""  98                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""""","=""3.81430861""","=""""","=""0.00000019""","=""0.0466092""","=""0.898""","=""  97                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3D).4s""","=""b 4D""","=""3/2""","=""""","=""3.88869686""","=""""","=""0.00000020""","=""0.0743883""","=""""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3D).4s""","=""b 4D""","=""1/2""","=""""","=""3.88919250""","=""""","=""0.00000025""","=""0.0004956""","=""""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""""","=""3.89161339""","=""""","=""0.00000019""","=""0.0024209""","=""1.327""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""""","=""3.90341906""","=""""","=""0.00000017""","=""0.0118057""","=""1.41""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d7""","=""b 2F""","=""5/2""","=""""","=""3.9441623""","=""""","=""0.0000004""","=""0.0407432""","=""0.86""","=""  97                                  :     2  3d6.(3F2).4s            2F    ""","=""L18349,L18361c138"""
"=""3d7""","=""b 2F""","=""7/2""","=""""","=""3.96737644""","=""""","=""0.00000025""","=""0.0232141""","=""1.124""","=""  96                                  :     2  3d6.(3F2).4s            2F    ""","=""L18349,L18361c138"""
"=""3d6.(1I).4s""","=""a 2I""","=""13/2""","=""""","=""4.07605998""","=""""","=""0.00000024""","=""0.1086835""","=""1.062""","="" 100                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(1I).4s""","=""a 2I""","=""11/2""","=""""","=""4.0803055""","=""""","=""0.0000004""","=""0.0042455""","=""0.92""","=""  99                                                                         ""","=""L18349,L18361c138"""
"=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""""","=""4.14931647""","=""""","=""0.00000024""","=""0.0690110""","=""1.099""","=""  65                                  :    34  3d6.(1G1).4s            2G    ""","=""L18349,L18361c138"""
"=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""""","=""4.15363129""","=""""","=""0.00000024""","=""0.0043148""","=""0.88""","=""  64                                  :    33  3d6.(1G1).4s            2G    ""","=""L18349,L18361c138"""
"=""3d6.(3D).4s""","=""b 2D""","=""3/2""","=""""","=""4.47910423""","=""""","=""0.00000025""","=""0.3254729""","=""0.799""","=""  96                                  :     2  3d6.(1D2).4s            2D    ""","=""L18349,L18361c138"""
