Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d5""","=""6S""","=""5/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                        ""","=""L7185"""
"=""3d5""","=""4G""","=""11/2""","=""""","=""3.99793""","=""""","=""""","=""3.99793""","="" 100                                        ""","="""""
"=""3d5""","=""4G""","=""9/2""","=""""","=""4.00380""","=""""","=""""","=""0.0059""","="" 100                                        ""","="""""
"=""3d5""","=""4G""","=""5/2""","=""""","=""4.00484""","=""""","=""""","=""0.0010""","="" 100                                        ""","="""""
"=""3d5""","=""4G""","=""7/2""","=""""","=""4.00540""","=""""","=""""","=""0.0006""","="" 100                                        ""","="""""
"=""3d5""","=""4P""","=""5/2""","=""""","=""4.37091""","=""""","=""""","=""0.3655""","=""  95                                        ""","="""""
"=""3d5""","=""4P""","=""3/2""","=""""","=""4.38077""","=""""","=""""","=""0.0099""","=""  97                                        ""","="""""
"=""3d5""","=""4P""","=""1/2""","=""""","=""4.38986""","=""""","=""""","=""0.0091""","=""  99                                        ""","="""""
"=""3d5""","=""4D""","=""7/2""","=""""","=""4.80803""","=""""","=""""","=""0.4182""","="" 100                                        ""","="""""
"=""3d5""","=""4D""","=""1/2""","=""""","=""4.82258""","=""""","=""""","=""0.0146""","=""  99                                        ""","="""""
"=""3d5""","=""4D""","=""5/2""","=""""","=""4.82734""","=""""","=""""","=""0.0048""","=""  96                                        ""","="""""
"=""3d5""","=""4D""","=""3/2""","=""""","=""4.82772""","=""""","=""""","=""0.0004""","=""  97                                        ""","="""""
"=""3d5""","=""2I""","=""11/2""","=""""","=""5.83700""","=""""","=""""","=""1.0093""","=""  99                                        ""","="""""
"=""3d5""","=""2I""","=""13/2""","=""""","=""5.83848""","=""""","=""""","=""0.0015""","="" 100                                        ""","="""""
"=""3d5""","=""2D3""","=""5/2""","=""""","=""6.14236""","=""""","=""""","=""0.3039""","=""  57             :    24  3d5          2F2  ""","="""""
"=""3d5""","=""2D3""","=""3/2""","=""""","=""6.20558""","=""""","=""""","=""0.0632""","=""  73             :    23  3d5          2D1  ""","="""""
"=""3d5""","=""2F2""","=""7/2""","=""""","=""6.37207""","=""""","=""""","=""0.1665""","=""  97                                        ""","="""""
"=""3d5""","=""2F2""","=""5/2""","=""""","=""6.46785""","=""""","=""""","=""0.0958""","=""  70             :    15  3d5          2D3  ""","="""""
"=""3d5""","=""4F""","=""9/2""","=""""","=""6.52414""","=""""","=""""","=""0.0563""","=""  98                                        ""","="""""
"=""3d5""","=""4F""","=""7/2""","=""""","=""6.53340""","=""""","=""""","=""0.0093""","=""  98                                        ""","="""""
"=""3d5""","=""4F""","=""3/2""","=""""","=""6.55097""","=""""","=""""","=""0.0176""","=""  96                                        ""","="""""
"=""3d5""","=""4F""","=""5/2""","=""""","=""6.55108""","=""""","=""""","=""0.0001""","=""  89             :     5  3d5          2F2  ""","="""""
"=""3d5""","=""2H""","=""9/2""","=""""","=""6.95034""","=""""","=""""","=""0.3993""","=""  86             :    14  3d5          2G2  ""","="""""
"=""3d5""","=""2H""","=""11/2""","=""""","=""6.98884""","=""""","=""""","=""0.0385""","=""  99                                        ""","="""""
"=""3d5""","=""2G2""","=""7/2""","=""""","=""7.11768""","=""""","=""""","=""0.1288""","=""  99                                        ""","="""""
"=""3d5""","=""2G2""","=""9/2""","=""""","=""7.15652""","=""""","=""""","=""0.0388""","=""  84             :    14  3d5          2H   ""","="""""
"=""3d5""","=""2F1""","=""5/2""","=""""","=""7.58244""","=""""","=""""","=""0.4259""","=""  99                                        ""","="""""
"=""3d5""","=""2F1""","=""7/2""","=""""","=""7.59458""","=""""","=""""","=""0.0121""","=""  98                                        ""","="""""
"=""3d5""","=""2S""","=""1/2""","=""""","=""8.27224""","=""""","=""""","=""0.6777""","="" 100                                        ""","="""""
"=""3d5""","=""2D2""","=""3/2""","=""""","=""9.18681""","=""""","=""""","=""0.9146""","="" 100                                        ""","="""""
"=""3d5""","=""2D2""","=""5/2""","=""""","=""9.19133""","=""""","=""""","=""0.0045""","="" 100                                        ""","="""""
"=""3d5""","=""2G1""","=""9/2""","=""""","=""10.27766""","=""""","=""""","=""1.0863""","="" 100                                        ""","="""""
"=""3d5""","=""2G1""","=""7/2""","=""""","=""10.27796""","=""""","=""""","=""0.0003""","="" 100                                        ""","="""""
"=""3d5""","=""2P""","=""3/2""","=""""","=""12.41305""","=""""","=""""","=""2.1351""","="" 100                                        ""","="""""
"=""3d5""","=""2P""","=""1/2""","=""""","=""12.41404""","=""""","=""""","=""0.0010""","="" 100                                        ""","="""""
"=""3d5""","=""2D1""","=""5/2""","=""""","=""13.42031""","=""""","=""""","=""1.0063""","=""  76             :    24  3d5          2D3  ""","="""""
"=""3d5""","=""2D1""","=""3/2""","=""""","=""13.42232""","=""""","=""""","=""0.0020""","=""  76             :    24  3d5          2D3  ""","="""""
"=""3d4.(5D).4s""","=""6D""","=""1/2""","=""""","=""15.840984""","=""""","=""""","=""2.41866""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""6D""","=""3/2""","=""""","=""15.861189""","=""""","=""""","=""0.02020""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""6D""","=""5/2""","=""""","=""15.893725""","=""""","=""""","=""0.03254""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""6D""","=""7/2""","=""""","=""15.937158""","=""""","=""""","=""0.04343""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""6D""","=""9/2""","=""""","=""15.989953""","=""""","=""""","=""0.05279""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""4D""","=""1/2""","=""""","=""17.072725""","=""""","=""""","=""1.08277""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""4D""","=""3/2""","=""""","=""17.103532""","=""""","=""""","=""0.03081""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""4D""","=""5/2""","=""""","=""17.151829""","=""""","=""""","=""0.04830""","="" 100                                        ""","="""""
"=""3d4.(5D).4s""","=""4D""","=""7/2""","=""""","=""17.214466""","=""""","=""""","=""0.06264""","="" 100                                        ""","="""""
"=""3d4.(3P2).4s""","=""4P""","=""1/2""","=""""","=""19.050388""","=""""","=""""","=""1.83592""","=""  60             :    39  3d4.(3P1).4s 4P   ""","="""""
"=""3d4.(3P2).4s""","=""4P""","=""3/2""","=""""","=""19.152440""","=""""","=""""","=""0.10205""","=""  60             :    39  3d4.(3P1).4s 4P   ""","="""""
"=""3d4.(3P2).4s""","=""4P""","=""5/2""","=""""","=""19.309903""","=""""","=""""","=""0.15746""","=""  61             :    39  3d4.(3P1).4s 4P   ""","="""""
"=""3d4.(3H).4s""","=""4H""","=""7/2""","=""""","=""19.116609""","=""""","=""""","=""-0.19329""","=""  98                                        ""","="""""
"=""3d4.(3H).4s""","=""4H""","=""9/2""","=""""","=""19.133980""","=""""","=""""","=""0.01737""","=""  98                                        ""","="""""
"=""3d4.(3H).4s""","=""4H""","=""11/2""","=""""","=""19.157130""","=""""","=""""","=""0.02315""","=""  99                                        ""","="""""
"=""3d4.(3H).4s""","=""4H""","=""13/2""","=""""","=""19.184235""","=""""","=""""","=""0.02711""","="" 100                                        ""","="""""
"=""3d4.(3F2).4s""","=""4F""","=""3/2""","=""""","=""19.343059""","=""""","=""""","=""0.15882""","=""  78             :    21  3d4.(3F1).4s 4F   ""","="""""
"=""3d4.(3F2).4s""","=""4F""","=""5/2""","=""""","=""19.347650""","=""""","=""""","=""0.00459""","=""  77             :    21  3d4.(3F1).4s 4F   ""","="""""
"=""3d4.(3F2).4s""","=""4F""","=""7/2""","=""""","=""19.356880""","=""""","=""""","=""0.00923""","=""  76             :    20  3d4.(3F1).4s 4F   ""","="""""
"=""3d4.(3F2).4s""","=""4F""","=""9/2""","=""""","=""19.369417""","=""""","=""""","=""0.01254""","=""  76             :    19  3d4.(3F1).4s 4F   ""","="""""
"=""3d4.(3G).4s""","=""4G""","=""5/2""","=""""","=""19.681089""","=""""","=""""","=""0.31167""","=""  96                                        ""","="""""
"=""3d4.(3G).4s""","=""4G""","=""7/2""","=""""","=""19.714776""","=""""","=""""","=""0.03369""","=""  95                                        ""","="""""
"=""3d4.(3G).4s""","=""4G""","=""9/2""","=""""","=""19.741744""","=""""","=""""","=""0.02697""","=""  93                                        ""","="""""
"=""3d4.(3G).4s""","=""4G""","=""11/2""","=""""","=""19.755999""","=""""","=""""","=""0.01425""","=""  92             :     7  3d4.(3H).4s  2H   ""","="""""
"=""3d4.(3P2).4s""","=""2P""","=""1/2""","=""""","=""19.839441""","=""""","=""""","=""0.08344""","=""  59             :    39  3d4.(3P1).4s 2P   ""","="""""
"=""3d4.(3P2).4s""","=""2P""","=""3/2""","=""""","=""20.032324""","=""""","=""""","=""0.19288""","=""  60             :    38  3d4.(3P1).4s 2P   ""","="""""
"=""3d4.(3H).4s""","=""2H""","=""9/2""","=""""","=""19.876110""","=""""","=""""","=""-0.15621""","=""  96                                        ""","="""""
"=""3d4.(3H).4s""","=""2H""","=""11/2""","=""""","=""19.934006""","=""""","=""""","=""0.05790""","=""  93             :     7  3d4.(3G).4s  4G   ""","="""""
"=""3d4.(3F2).4s""","=""2F""","=""5/2""","=""""","=""20.094667""","=""""","=""""","=""0.16066""","=""  77             :    21  3d4.(3F1).4s 2F   ""","="""""
"=""3d4.(3F2).4s""","=""2F""","=""7/2""","=""""","=""20.096327""","=""""","=""""","=""0.00166""","=""  74             :    19  3d4.(3F1).4s 2F   ""","="""""
"=""3d4.(3G).4s""","=""2G""","=""7/2""","=""""","=""20.451256""","=""""","=""""","=""0.35493""","=""  94                                        ""","="""""
"=""3d4.(3G).4s""","=""2G""","=""9/2""","=""""","=""20.506066""","=""""","=""""","=""0.05481""","=""  98                                        ""","="""""
"=""3d4.(3D).4s""","=""4D""","=""7/2""","=""""","=""20.518529""","=""""","=""""","=""0.01246""","="" 100                                        ""","="""""
"=""3d4.(3D).4s""","=""4D""","=""5/2""","=""""","=""20.531902""","=""""","=""""","=""0.01337""","=""  99                                        ""","="""""
"=""3d4.(3D).4s""","=""4D""","=""3/2""","=""""","=""20.546778""","=""""","=""""","=""0.01488""","=""  99                                        ""","="""""
"=""3d4.(3D).4s""","=""4D""","=""1/2""","=""""","=""20.557134""","=""""","=""""","=""0.01036""","=""  99                                        ""","="""""
"=""3d4.(1G2).4s""","=""2G""","=""9/2""","=""""","=""20.793700""","=""""","=""""","=""0.23657""","=""  65             :    32  3d4.(1G1).4s 2G   ""","="""""
"=""3d4.(1G2).4s""","=""2G""","=""7/2""","=""""","=""20.804043""","=""""","=""""","=""0.01034""","=""  64             :    32  3d4.(1G1).4s 2G   ""","="""""
"=""3d4.(1I).4s""","=""2I""","=""13/2""","=""""","=""20.894607""","=""""","=""""","=""0.09056""","="" 100                                        ""","="""""
"=""3d4.(1I).4s""","=""2I""","=""11/2""","=""""","=""20.899574""","=""""","=""""","=""0.00497""","=""  99                                        ""","="""""
"=""3d4.(1S2).4s""","=""2S""","=""1/2""","=""""","=""21.167759""","=""""","=""""","=""0.26818""","=""  78             :    20  3d4.(1S1).4s 2S   ""","="""""
"=""3d4.(3D).4s""","=""2D""","=""5/2""","=""""","=""21.244113""","=""""","=""""","=""0.07635""","=""  99                                        ""","="""""
"=""3d4.(3D).4s""","=""2D""","=""3/2""","=""""","=""21.260363""","=""""","=""""","=""0.01625""","=""  99                                        ""","="""""
"=""3d4.(1D2).4s""","=""2D""","=""5/2""","=""""","=""21.945943""","=""""","=""""","=""0.68558""","=""  78             :    21  3d4.(1D1).4s 2D   ""","="""""
"=""3d4.(1D2).4s""","=""2D""","=""3/2""","=""""","=""21.953475""","=""""","=""""","=""0.00753""","=""  78             :    21  3d4.(1D1).4s 2D   ""","="""""
"=""3d4.(1F).4s""","=""2F""","=""5/2""","=""""","=""22.708897""","=""""","=""""","=""0.75542""","=""  99                                        ""","="""""
"=""3d4.(1F).4s""","=""2F""","=""7/2""","=""""","=""22.709502""","=""""","=""""","=""0.00061""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""1/2""","=""""","=""23.294004""","=""""","=""""","=""0.58450""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""3/2""","=""""","=""23.319698""","=""""","=""""","=""0.02569""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""5/2""","=""""","=""23.362191""","=""""","=""""","=""0.04249""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""7/2""","=""""","=""23.421179""","=""""","=""""","=""0.05899""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""9/2""","=""""","=""23.496974""","=""""","=""""","=""0.07580""","=""  99                                        ""","="""""
"=""3d4.(5D).4p""","=""6F*""","=""11/2""","=""""","=""23.591323""","=""""","=""""","=""0.09435""","="" 100                                        ""","="""""
"=""3d4.(5D).4p""","=""6P*""","=""3/2""","=""""","=""23.542753""","=""""","=""""","=""-0.04857""","=""  96                                        ""","="""""
"=""3d4.(5D).4p""","=""6P*""","=""5/2""","=""""","=""23.558024""","=""""","=""""","=""0.01527""","=""  97                                        ""","="""""
"=""3d4.(5D).4p""","=""6P*""","=""7/2""","=""""","=""23.585126""","=""""","=""""","=""0.02710""","=""  99                                        ""","="""""
"=""3d4.(3P1).4s""","=""4P""","=""5/2""","=""""","=""23.553899""","=""""","=""""","=""-0.03123""","=""  61             :    39  3d4.(3P2).4s 4P   ""","="""""
"=""3d4.(3P1).4s""","=""4P""","=""3/2""","=""""","=""23.657647""","=""""","=""""","=""0.10375""","=""  60             :    39  3d4.(3P2).4s 4P   ""","="""""
"=""3d4.(3P1).4s""","=""4P""","=""1/2""","=""""","=""23.722866""","=""""","=""""","=""0.06522""","=""  60             :    39  3d4.(3P2).4s 4P   ""","="""""
"=""3d4.(3F1).4s""","=""4F""","=""9/2""","=""""","=""23.596467""","=""""","=""""","=""-0.12640""","=""  80             :    20  3d4.(3F2).4s 4F   ""","="""""
"=""3d4.(3F1).4s""","=""4F""","=""3/2""","=""""","=""23.607391""","=""""","=""""","=""0.01092""","=""  78             :    22  3d4.(3F2).4s 4F   ""","="""""
"=""3d4.(3F1).4s""","=""4F""","=""7/2""","=""""","=""23.609584""","=""""","=""""","=""0.00219""","=""  79             :    20  3d4.(3F2).4s 4F   ""","="""""
