Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d10.4s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""                                            ""","=""L12180"""
"=""4s.4p""","=""3P*""","=""0""","=""""","=""5.872828""","=""""","=""""","=""5.872828""","=""                                            ""","="""""
"=""4s.4p""","=""3P*""","=""1""","=""""","=""5.9281946""","=""""","=""""","=""0.055367""","=""                                            ""","="""""
"=""4s.4p""","=""3P*""","=""2""","=""""","=""6.044211""","=""""","=""""","=""0.116016""","=""                                            ""","="""""
"=""4s.4p""","=""1P*""","=""1""","=""""","=""8.7658598""","=""""","=""""","=""2.721649""","=""                                            ""","="""""
"=""4s.5s""","=""3S""","=""1""","=""""","=""12.7635031""","=""""","=""""","=""3.997643""","=""                                            ""","="""""
"=""4s.5s""","=""1S""","=""0""","=""""","=""13.2244496""","=""""","=""""","=""0.460947""","=""                                            ""","="""""
"=""4p2""","=""1D""","=""2""","=""""","=""13.3556666""","=""""","=""""","=""0.131217""","=""  55         :    44  4s.4d      1D         ""","="""""
"=""4s.4d""","=""3D""","=""1""","=""""","=""14.1113713""","=""""","=""""","=""0.755705""","=""                                            ""","="""""
"=""4s.4d""","=""3D""","=""2""","=""""","=""14.1146464""","=""""","=""""","=""0.003275""","=""                                            ""","="""""
"=""4s.4d""","=""3D""","=""3""","=""""","=""14.1197164""","=""""","=""""","=""0.005070""","=""                                            ""","="""""
"=""4p2""","=""3P""","=""0""","=""""","=""14.220426""","=""""","=""""","=""0.100710""","=""                                            ""","="""""
"=""4p2""","=""3P""","=""1""","=""""","=""14.286014""","=""""","=""""","=""0.06559""","=""                                            ""","="""""
"=""4p2""","=""3P""","=""2""","=""""","=""14.399512""","=""""","=""""","=""0.11350""","=""                                            ""","="""""
"=""4s.5p""","=""3P*""","=""0""","=""""","=""14.6834445""","=""""","=""""","=""0.283933""","=""                                            ""","="""""
"=""4s.5p""","=""3P*""","=""1""","=""""","=""14.6944164""","=""""","=""""","=""0.010972""","=""                                            ""","="""""
"=""4s.5p""","=""3P*""","=""2""","=""""","=""14.7203798""","=""""","=""""","=""0.025963""","=""                                            ""","="""""
"=""4s.5p""","=""1P*""","=""1""","=""""","=""14.9463486""","=""""","=""""","=""0.225969""","=""                                            ""","="""""
"=""4s.4d""","=""1D""","=""2""","=""""","=""15.645270""","=""""","=""""","=""0.698921""","=""  43         :    45  4p2        1D         ""","="""""
"=""4s.6s""","=""3S""","=""1""","=""""","=""16.491175""","=""""","=""""","=""0.84590""","=""                                            ""","="""""
"=""4s.6s""","=""1S""","=""0""","=""""","=""16.581795""","=""""","=""""","=""0.09062""","=""                                            ""","="""""
"=""4p2""","=""1S""","=""0""","=""""","=""16.817142""","=""""","=""""","=""0.23535""","=""                                            ""","="""""
"=""4s.5d""","=""3D""","=""1""","=""""","=""17.0053657""","=""""","=""""","=""0.188224""","=""                                            ""","="""""
"=""4s.5d""","=""3D""","=""2""","=""""","=""17.0067379""","=""""","=""""","=""0.001372""","=""                                            ""","="""""
"=""4s.5d""","=""3D""","=""3""","=""""","=""17.0088300""","=""""","=""""","=""0.002092""","=""                                            ""","="""""
"=""4s.4f""","=""3F*""","=""2""","=""""","=""17.0270333""","=""""","=""""","=""0.018203""","=""  99                                        ""","="""""
"=""4s.4f""","=""3F*""","=""3""","=""""","=""17.0271807""","=""""","=""""","=""0.000147""","=""  84         :    15  4s.4f      1F*        ""","="""""
"=""4s.4f""","=""3F*""","=""4""","=""""","=""17.0279494""","=""""","=""""","=""0.000769""","=""  99                                        ""","="""""
"=""4s.4f""","=""1F*""","=""3""","=""""","=""17.0283085""","=""""","=""""","=""0.000359""","=""  84         :    15  4s.4f      3F*        ""","="""""
"=""4s.5d""","=""1D""","=""2""","=""""","=""17.3210193""","=""""","=""""","=""0.292711""","=""                                            ""","="""""
