Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                                    ""","=""L12180"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""8.079976""","=""""","=""""","=""8.079976""","=""                                                    ""","="""""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""8.293009""","=""""","=""""","=""0.21303""","=""                                                    ""","="""""
"=""3d9.4s2""","=""2D""","=""5/2""","=""""","=""16.166989""","=""""","=""""","=""7.87398""","=""                                                    ""","="""""
"=""3d9.4s2""","=""2D""","=""3/2""","=""""","=""16.601732""","=""""","=""""","=""0.43474""","=""                                                    ""","="""""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""17.450384""","=""""","=""""","=""0.84865""","=""                                                    ""","="""""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""17.864444""","=""""","=""""","=""0.41406""","=""                                                    ""","="""""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""17.878556""","=""""","=""""","=""0.01411""","=""                                                    ""","="""""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""19.932389""","=""""","=""""","=""2.05383""","="" 100                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""19.999197""","=""""","=""""","=""0.06681""","="" 100                                                ""","="""""
"=""3d10.4f""","=""2F*""","=""5/2""","=""""","=""22.990711""","=""""","=""""","=""2.99151""","=""                                                    ""","="""""
"=""3d10.4f""","=""2F*""","=""7/2""","=""""","=""22.991517""","=""""","=""""","=""0.00081""","=""                                                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""23.1361""","=""""","=""""","=""0.1446""","=""  96                                                ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""23.3454""","=""""","=""""","=""0.209""","=""  98                                                ""","="""""
"=""3d10.6s""","=""2S""","=""1/2""","=""""","=""23.255283""","=""""","=""""","=""-0.0901""","=""                                                    ""","="""""
"=""3d10.5d""","=""2D""","=""3/2""","=""""","=""23.456288""","=""""","=""""","=""0.20101""","=""                                                    ""","="""""
