Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d9""","=""2D""","=""5/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                              ""","=""L12180"""
"=""3d9""","=""2D""","=""3/2""","=""""","=""0.4442""","=""""","=""""","=""0.4442""","=""                                              ""","="""""
"=""3d8.(3F).4s""","=""4F""","=""9/2""","=""""","=""26.0431""","=""""","=""""","=""25.599""","="" 100                                          ""","="""""
"=""3d8.(3F).4s""","=""4F""","=""7/2""","=""""","=""26.2997""","=""""","=""""","=""0.257""","=""  95         :     5  3d8.(3F).4s    2F       ""","="""""
"=""3d8.(3F).4s""","=""4F""","=""5/2""","=""""","=""26.5""","=""""","=""""","=""0.2""","=""  98                                          ""","="""""
"=""3d8.(3F).4s""","=""4F""","=""3/2""","=""""","=""26.6860""","=""""","=""""","=""0.2""","=""  98                                          ""","="""""
"=""3d8.(3F).4s""","=""2F""","=""7/2""","=""""","=""27.0659""","=""""","=""""","=""0.380""","=""  95         :     5  3d8.(3F).4s    4F       ""","="""""
"=""3d8.(3F).4s""","=""2F""","=""5/2""","=""""","=""27.4610""","=""""","=""""","=""0.395""","=""  96                                          ""","="""""
"=""3d8.(1D).4s""","=""2D""","=""5/2""","=""""","=""28.7285""","=""""","=""""","=""1.268""","=""  48         :    50  3d8.(3P).4s    4P       ""","="""""
"=""3d8.(1D).4s""","=""2D""","=""3/2""","=""""","=""28.8844""","=""""","=""""","=""0.156""","=""  77         :    16  3d8.(3P).4s    4P       ""","="""""
"=""3d8.(3P).4s""","=""4P""","=""3/2""","=""""","=""29.2118""","=""""","=""""","=""0.327""","=""  84         :    16  3d8.(1D).4s    2D       ""","="""""
"=""3d8.(3P).4s""","=""4P""","=""1/2""","=""""","=""29.2295""","=""""","=""""","=""0.018""","="" 100                                          ""","="""""
"=""3d8.(3P).4s""","=""4P""","=""5/2""","=""""","=""29.2692""","=""""","=""""","=""0.040""","=""  50         :    49  3d8.(1D).4s    2D       ""","="""""
"=""3d8.(3P).4s""","=""2P""","=""3/2""","=""""","=""30.0074""","=""""","=""""","=""0.738""","=""  94         :     5  3d8.(1D).4s    2D       ""","="""""
"=""3d8.(3P).4s""","=""2P""","=""1/2""","=""""","=""30.1347""","=""""","=""""","=""0.127""","="" 100                                          ""","="""""
"=""3d8.(1G).4s""","=""2G""","=""9/2""","=""""","=""30.5116""","=""""","=""""","=""0.377""","="" 100                                          ""","="""""
"=""3d8.(1G).4s""","=""2G""","=""7/2""","=""""","=""30.5166""","=""""","=""""","=""0.005""","="" 100                                          ""","="""""
"=""3d8.(3F).4p""","=""4D*""","=""7/2""","=""""","=""36.8223""","=""""","=""""","=""6.306""","=""  89         :     5  3d8.(3P).4p    4D*      ""","="""""
"=""3d8.(3F).4p""","=""4D*""","=""5/2""","=""""","=""37.2131""","=""""","=""""","=""0.391""","=""  88         :     6  3d8.(3P).4p    4D*      ""","="""""
"=""3d8.(3F).4p""","=""4D*""","=""3/2""","=""""","=""37.5051""","=""""","=""""","=""0.292""","=""  89         :     7  3d8.(3P).4p    4D*      ""","="""""
"=""3d8.(3F).4p""","=""4D*""","=""1/2""","=""""","=""37.6802""","=""""","=""""","=""0.175""","=""  91         :     8  3d8.(3P).4p    4D*      ""","="""""
"=""3d8.(3F).4p""","=""4G*""","=""9/2""","=""""","=""37.286""","=""""","=""""","=""-0.394""","=""  60         :    24  3d8.(3F).4p    2G*      ""","="""""
"=""3d8.(3F).4p""","=""4G*""","=""11/2""","=""""","=""37.4701""","=""""","=""""","=""0.184""","="" 100                                          ""","="""""
"=""3d8.(3F).4p""","=""4G*""","=""7/2""","=""""","=""37.5398""","=""""","=""""","=""0.070""","=""  78         :    12  3d8.(3F).4p    4F*      ""","="""""
"=""3d8.(3F).4p""","=""4G*""","=""5/2""","=""""","=""37.7249""","=""""","=""""","=""0.185""","=""  90         :     6  3d8.(3F).4p    4F*      ""","="""""
"=""3d8.(3F).4p""","=""4F*""","=""9/2""","=""""","=""37.8461""","=""""","=""""","=""0.121""","=""  81         :    13  3d8.(3F).4p    2G*      ""","="""""
"=""3d8.(3F).4p""","=""4F*""","=""7/2""","=""""","=""38.0170""","=""""","=""""","=""0.171""","=""  65         :    20  3d8.(3F).4p    2F*      ""","="""""
"=""3d8.(3F).4p""","=""4F*""","=""5/2""","=""""","=""38.1555""","=""""","=""""","=""0.139""","=""  73         :    11  3d8.(3F).4p    2D*      ""","="""""
"=""3d8.(3F).4p""","=""4F*""","=""3/2""","=""""","=""38.1703""","=""""","=""""","=""0.015""","=""  74         :    15  3d8.(3F).4p    2D*      ""","="""""
"=""3d8.(3F).4p""","=""2G*""","=""9/2""","=""""","=""38.0566""","=""""","=""""","=""-0.114""","=""  63         :    34  3d8.(3F).4p    4G*      ""","="""""
"=""3d8.(3F).4p""","=""2G*""","=""7/2""","=""""","=""38.3953""","=""""","=""""","=""0.339""","=""  57         :    31  3d8.(3F).4p    2F*      ""","="""""
"=""3d8.(3F).4p""","=""2D*""","=""5/2""","=""""","=""38.3875""","=""""","=""""","=""-0.008""","=""  68         :    14  3d8.(3F).4p    2F*      ""","="""""
"=""3d8.(3F).4p""","=""2D*""","=""3/2""","=""""","=""38.6820""","=""""","=""""","=""0.294""","=""  64         :    21  3d8.(3F).4p    4F*      ""","="""""
"=""3d8.(3F).4p""","=""2F*""","=""7/2""","=""""","=""38.4682""","=""""","=""""","=""-0.214""","=""  46         :    32  3d8.(3F).4p    2G*      ""","="""""
"=""3d8.(3F).4p""","=""2F*""","=""5/2""","=""""","=""38.8180""","=""""","=""""","=""0.350""","=""  77         :    12  3d8.(3F).4p    2D*      ""","="""""
"=""3d8.(3P).4p""","=""4P*""","=""3/2""","=""""","=""39.622""","=""""","=""""","=""0.804""","=""  77         :     9  3d8.(1D).4p    2D*      ""","="""""
"=""3d8.(3P).4p""","=""4P*""","=""5/2""","=""""","=""39.6865""","=""""","=""""","=""0.065""","=""  73         :    12  3d8.(1D).4p    2D*      ""","="""""
"=""3d8.(3P).4p""","=""4P*""","=""1/2""","=""""","=""39.7281""","=""""","=""""","=""0.042""","=""  92         :     5  3d8.(1D).4p    2P*      ""","="""""
"=""3d8.(1D).4p""","=""2F*""","=""5/2""","=""""","=""39.9710""","=""""","=""""","=""0.243""","=""  75         :    13  3d8.(3P).4p    4P*      ""","="""""
"=""3d8.(1D).4p""","=""2F*""","=""7/2""","=""""","=""40.2213""","=""""","=""""","=""0.250""","=""  76         :    11  3d8.(1G).4p    2F*      ""","="""""
"=""3d8.(1D).4p""","=""2D*""","=""3/2""","=""""","=""40.2098""","=""""","=""""","=""-0.011""","=""  45         :    17  3d8.(3P).4p    4P*      ""","="""""
"=""3d8.(1D).4p""","=""2D*""","=""5/2""","=""""","=""40.3833""","=""""","=""""","=""0.173""","=""  77         :    10  3d8.(3P).4p    4P*      ""","="""""
"=""3d8.(1D).4p""","=""2P*""","=""1/2""","=""""","=""40.2792""","=""""","=""""","=""-0.104""","=""  61         :    29  3d8.(3P).4p    2P*      ""","="""""
"=""3d8.(1D).4p""","=""2P*""","=""3/2""","=""""","=""40.4869""","=""""","=""""","=""0.208""","=""  51         :    32  3d8.(1D).4p    2D*      ""","="""""
