Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f7.(8S*).5d.6s2""","=""9D*""","=""2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""2.6514""","=""  95                                                                           ""","=""L3974"""
"=""4f7.(8S*).5d.6s2""","=""9D*""","=""3""","=""""","=""0.0266720""","=""""","=""""","=""0.0266720""","=""2.0708""","=""  94                                                                           ""","="""""
"=""4f7.(8S*).5d.6s2""","=""9D*""","=""4""","=""""","=""0.0660807""","=""""","=""""","=""0.039409""","=""1.8392""","=""  93                                                                           ""","="""""
"=""4f7.(8S*).5d.6s2""","=""9D*""","=""5""","=""""","=""0.1238752""","=""""","=""""","=""0.057794""","=""1.720""","=""  92                                                                           ""","="""""
"=""4f7.(8S*).5d.6s2""","=""9D*""","=""6""","=""""","=""0.2131396""","=""""","=""""","=""0.089264""","=""1.660""","=""  95                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""2""","=""""","=""0.7907893""","=""""","=""""","=""0.577650""","=""2.980""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""3""","=""""","=""0.8121455""","=""""","=""""","=""0.021356""","=""2.237""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""4""","=""""","=""0.8413796""","=""""","=""""","=""0.029234""","=""1.935""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""5""","=""""","=""0.8807118""","=""""","=""""","=""0.039332""","=""1.781""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""6""","=""""","=""0.9274450""","=""""","=""""","=""0.046733""","=""1.72""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""7""","=""""","=""0.9853389""","=""""","=""""","=""0.057894""","=""1.695""","=""  98                                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F) (10F*).6s""","=""11F*""","=""8""","=""""","=""1.0536715""","=""""","=""""","=""0.068333""","=""1.62""","=""  99                                                                           ""","="""""
"=""4f7.(8S*).5d.6s2""","=""7D*""","=""5""","=""""","=""0.8649768""","=""""","=""""","=""-0.188695""","=""1.600""","=""  90                                                                           ""","="""""
"=""4f7.(8S*).5d.6s2""","=""7D*""","=""4""","=""""","=""0.8970145""","=""""","=""""","=""0.032038""","=""1.65""","=""  90                                                                           ""","="""""
