Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f7.(8S*).5d (9D*).6s""","=""10D*""","=""5/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""2.557""","=""  96                                                           ""","=""L3974"""
"=""4f7.(8S*).5d (9D*).6s""","=""10D*""","=""7/2""","=""""","=""0.0324641""","=""""","=""""","=""0.0324641""","=""2.082""","=""  95                                                           ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""10D*""","=""9/2""","=""""","=""0.0785158""","=""""","=""""","=""0.046052""","=""1.862""","=""  94                                                           ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""10D*""","=""11/2""","=""""","=""0.1436906""","=""""","=""""","=""0.065175""","=""1.74""","=""  94                                                           ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""10D*""","=""13/2""","=""""","=""0.2399479""","=""""","=""""","=""0.096257""","=""1.70""","=""  97                                                           ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""8D*""","=""3/2""","=""""","=""0.3541829""","=""""","=""""","=""0.114235""","=""2.804""","=""  80             :    14  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""8D*""","=""5/2""","=""""","=""0.3821207""","=""""","=""""","=""0.027938""","=""2.044""","=""  79             :    14  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""8D*""","=""7/2""","=""""","=""0.4249278""","=""""","=""""","=""0.042807""","=""1.870""","=""  76             :    13  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""8D*""","=""9/2""","=""""","=""0.4924859""","=""""","=""""","=""0.067558""","=""1.70""","=""  78             :    13  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (9D*).6s""","=""8D*""","=""11/2""","=""""","=""0.6002206""","=""""","=""""","=""0.107735""","=""1.63""","=""  79             :    17  4f7.5d2                              ""","="""""
"=""4f7.(8S*).6s2""","=""8S*""","=""7/2""","=""""","=""0.4270307""","=""""","=""""","=""-0.173190""","=""1.92""","=""  93             :     4  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""3/2""","=""""","=""0.4993043""","=""""","=""""","=""0.072274""","=""3.163""","=""  87             :    10  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""5/2""","=""""","=""0.5223152""","=""""","=""""","=""0.023011""","=""2.206""","=""  87             :     9  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""7/2""","=""""","=""0.5559270""","=""""","=""""","=""0.033612""","=""1.894""","=""  87             :     8  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""9/2""","=""""","=""0.6016090""","=""""","=""""","=""0.045682""","=""1.76""","=""  88             :     8  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""11/2""","=""""","=""0.6620108""","=""""","=""""","=""0.060402""","=""1.657""","=""  86             :     9  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""13/2""","=""""","=""0.7311675""","=""""","=""""","=""0.069157""","=""1.63""","=""  95                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""10F*""","=""15/2""","=""""","=""0.8189347""","=""""","=""""","=""0.087767""","=""1.60""","=""  96                                                           ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""13/2""","=""""","=""0.9909149""","=""""","=""""","=""0.171980""","=""1.54""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""11/2""","=""""","=""1.1273252""","=""""","=""""","=""0.136410""","=""1.51""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""9/2""","=""""","=""1.2761157""","=""""","=""""","=""0.148791""","=""1.56""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""7/2""","=""""","=""1.3742824""","=""""","=""""","=""0.098167""","=""1.59""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""5/2""","=""""","=""1.4468786""","=""""","=""""","=""0.072596""","=""1.70""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""3/2""","=""""","=""1.4967097""","=""""","=""""","=""0.049831""","=""1.99""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""8F""","=""1/2""","=""""","=""1.5261845""","=""""","=""""","=""0.029475""","=""3.98""","=""                                                               ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""8D*""","=""11/2""","=""""","=""1.0601950""","=""""","=""""","=""-0.465990""","=""1.64""","=""  74             :    21  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""8D*""","=""9/2""","=""""","=""1.1015759""","=""""","=""""","=""0.041381""","=""1.73""","=""  72             :    22  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""8D*""","=""7/2""","=""""","=""1.1335756""","=""""","=""""","=""0.032000""","=""1.798""","=""  73             :    22  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""8D*""","=""5/2""","=""""","=""1.1566317""","=""""","=""""","=""0.023056""","=""2.055""","=""  74             :    21  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""8D*""","=""3/2""","=""""","=""1.1718611""","=""""","=""""","=""0.015229""","=""2.79""","=""  74             :    21  4f7.5d2                              ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""11/2""","=""""","=""1.2328715""","=""""","=""""","=""0.061010""","=""1.50""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""9/2""","=""""","=""1.4064179""","=""""","=""""","=""0.173546""","=""1.45""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""7/2""","=""""","=""1.5272731""","=""""","=""""","=""0.120855""","=""1.41""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""5/2""","=""""","=""1.6156116""","=""""","=""""","=""0.088339""","=""1.32""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""3/2""","=""""","=""1.6756699""","=""""","=""""","=""0.060058""","=""1.08""","=""                                                               ""","="""""
"=""4f8.(7F).6s""","=""6F""","=""1/2""","=""""","=""1.7110247""","=""""","=""""","=""0.035355""","=""-0.63""","=""                                                               ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""6D*""","=""9/2""","=""""","=""1.2511948""","=""""","=""""","=""-0.459830""","=""1.55""","=""  92                                                           ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""6D*""","=""7/2""","=""""","=""1.2884176""","=""""","=""""","=""0.037223""","=""1.60""","=""  75             :    18  4f7.5d2                              ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""6D*""","=""5/2""","=""""","=""1.3183343""","=""""","=""""","=""0.029917""","=""1.67""","=""  93                                                           ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""6D*""","=""3/2""","=""""","=""1.3393543""","=""""","=""""","=""0.021020""","=""1.87:""","=""  94                                                           ""","="""""
"=""4f7.(8S*).5d (7D*).6s""","=""6D*""","=""1/2""","=""""","=""1.3524473""","=""""","=""""","=""0.013093""","=""3.33:""","=""  95                                                           ""","="""""
"=""4f7.(8S*).5d2.(3P)""","=""10P*""","=""7/2""","=""""","=""1.3142006""","=""""","=""""","=""-0.038247""","=""2.22""","=""  77             :    20  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3P)""","=""10P*""","=""9/2""","=""""","=""1.3721164""","=""""","=""""","=""0.057916""","=""1.95""","=""  92                                                           ""","="""""
"=""4f7.(8S*).5d2.(3P)""","=""10P*""","=""11/2""","=""""","=""1.4248517""","=""""","=""""","=""0.052735""","=""1.78""","=""  90             :     7  4f7.5d.6s                            ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""8F*""","=""1/2""","=""""","=""1.5699110""","=""""","=""""","=""0.145059""","=""3.99:""","=""  94                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""8F*""","=""3/2""","=""""","=""1.5750271""","=""""","=""""","=""0.005116""","=""1.98:""","=""  93                                                           ""","="""""
"=""4f7.(8S*).5d2.(3F)""","=""8F*""","=""5/2""","=""""","=""1.5840304""","=""""","=""""","=""0.009003""","=""1.709""","=""  92                                                           ""","="""""
