Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f7.(8S*).5d""","=""9D*""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  99         :     1   (8S*) 7D*            ""","=""L3974"""
"=""4f7.(8S*).5d""","=""9D*""","=""3""","=""""","=""0.034631""","=""""","=""""","=""0.034631""","=""  98         :     2   (8S*) 7D*            ""","="""""
"=""4f7.(8S*).5d""","=""9D*""","=""4""","=""""","=""0.086091""","=""""","=""""","=""0.05146""","=""  98         :     2   (8S*) 7D*            ""","="""""
"=""4f7.(8S*).5d""","=""9D*""","=""5""","=""""","=""0.162435""","=""""","=""""","=""0.07634""","=""  97         :     3   (8S*) 7D*            ""","="""""
"=""4f7.(8S*).5d""","=""9D*""","=""6""","=""""","=""0.283035""","=""""","=""""","=""0.12060""","="" 100                                        ""","="""""
"=""4f8""","=""7F""","=""1""","=""""","=""""","=""""","=""""","=""""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""0""","=""""","=""""","=""""","=""""","=""""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""6""","=""""","=""0.295236""","=""""","=""""","=""""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""5""","=""""","=""0.495529""","=""""","=""""","=""0.20029""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""4""","=""""","=""0.621806""","=""""","=""""","=""0.12628""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""3""","=""""","=""0.717865""","=""""","=""""","=""0.09606""","=""                                            ""","="""""
"=""4f8""","=""7F""","=""2""","=""""","=""0.785337""","=""""","=""""","=""0.06747""","=""                                            ""","="""""
"=""4f7.(8S*).6s""","=""9S*""","=""4""","=""""","=""1.140040""","=""""","=""""","=""0.35470""","=""                                            ""","="""""
"=""4f7.(8S*).5d""","=""7D*""","=""5""","=""""","=""1.160033""","=""""","=""""","=""0.01999""","=""  97         :     3   (8S*) 9D*            ""","="""""
"=""4f7.(8S*).5d""","=""7D*""","=""4""","=""""","=""1.204841""","=""""","=""""","=""0.04481""","=""  98         :     2   (8S*) 9D*            ""","="""""
"=""4f7.(8S*).5d""","=""7D*""","=""3""","=""""","=""1.241671""","=""""","=""""","=""0.03683""","=""  98         :     2   (8S*) 9D*            ""","="""""
"=""4f7.(8S*).5d""","=""7D*""","=""2""","=""""","=""1.268915""","=""""","=""""","=""0.02724""","=""  99         :     1   (8S*) 9D*            ""","="""""
"=""4f7.(8S*).5d""","=""7D*""","=""1""","=""""","=""1.287861""","=""""","=""""","=""0.01895""","="" 100                                        ""","="""""
"=""4f7.(8S*).6s""","=""7S*""","=""3""","=""""","=""1.431955""","=""""","=""""","=""0.14409""","=""                                            ""","="""""
"=""4f7.(8S*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""3""","=""""","=""5.333799""","=""""","=""""","=""3.90184""","=""  98         :     2   (8S*<7/2>) (7/2,3/2) ""","="""""
"=""4f7.(8S*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""4""","=""""","=""5.407160""","=""""","=""""","=""0.07336""","=""  95         :     5   (8S*<7/2>) (7/2,3/2) ""","="""""
"=""4f7.(8S*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""5""","=""""","=""5.856261""","=""""","=""""","=""0.44910""","="" 100                                        ""","="""""
"=""4f7.(8S*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""4""","=""""","=""5.993290""","=""""","=""""","=""0.13703""","=""  95         :     5   (8S*<7/2>) (7/2,1/2) ""","="""""
"=""4f7.(8S*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""3""","=""""","=""6.057821""","=""""","=""""","=""0.06453""","=""  98         :     2   (8S*<7/2>) (7/2,1/2) ""","="""""
"=""4f7.(8S*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""2""","=""""","=""6.099365""","=""""","=""""","=""0.04154""","="" 100                                        ""","="""""
"=""4f7.(8S*).7s""","=""9S*""","=""4""","=""""","=""10.88016""","=""""","=""""","=""4.78080""","=""                                            ""","="""""
"=""4f7.(8S*).7s""","=""7S*""","=""3""","=""""","=""10.98044""","=""""","=""""","=""0.1003""","=""                                            ""","="""""
"=""Gd IV (4f7.5s2.5p6 8S*<7/2>)""","=""Limit""","=""---""","=""[""","=""20.54""","=""]""","=""0.03""","=""""","=""                                            ""","=""L19883c180"""
