Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""""","=""                        ""","=""L7213"""
"=""3d10.4p""","=""2P*""","=""1/2""","=""""","=""10.08133""","=""""","=""""","=""10.08133""","=""""","=""                        ""","="""""
"=""3d10.4p""","=""2P*""","=""3/2""","=""""","=""10.42736""","=""""","=""""","=""0.3460""","=""""","=""                        ""","="""""
"=""3d10.4d""","=""2D""","=""3/2""","=""""","=""23.63157""","=""""","=""""","=""13.2042""","=""0.82""","=""                        ""","="""""
"=""3d10.4d""","=""2D""","=""5/2""","=""""","=""23.66269""","=""""","=""""","=""0.0311""","=""1.26""","=""                        ""","="""""
"=""3d10.5s""","=""2S""","=""1/2""","=""""","=""24.70555""","=""""","=""""","=""1.0429""","=""2.04""","=""                        ""","="""""
"=""3d10.5p""","=""2P*""","=""1/2""","=""""","=""28.07705""","=""""","=""""","=""3.3715""","=""0.68""","=""                        ""","="""""
"=""3d10.5p""","=""2P*""","=""3/2""","=""""","=""28.19325""","=""""","=""""","=""0.1162""","=""1.34""","=""                        ""","="""""
"=""3d10.4f""","=""2F*""","=""7/2""","=""""","=""31.9249""","=""""","=""""","=""3.7317""","=""""","=""                        ""","="""""
"=""3d10.4f""","=""2F*""","=""5/2""","=""""","=""31.9254""","=""""","=""""","=""0.000""","=""""","=""                        ""","="""""
"=""3d9.(2D).4s2""","=""2D""","=""5/2""","=""""","=""32.2282""","=""""","=""""","=""0.303""","=""""","=""                        ""","="""""
"=""3d9.(2D).4s2""","=""2D""","=""3/2""","=""""","=""32.7869""","=""""","=""""","=""0.559""","=""""","=""                        ""","="""""
"=""3d10.5d""","=""2D""","=""3/2""","=""""","=""33.16026""","=""""","=""""","=""0.3734""","=""0.80""","=""                        ""","="""""
"=""3d10.5d""","=""2D""","=""5/2""","=""""","=""33.17515""","=""""","=""""","=""0.0149""","=""1.19""","=""                        ""","="""""
"=""3d10.6s""","=""2S""","=""1/2""","=""""","=""33.55055""","=""""","=""""","=""0.3754""","=""""","=""                        ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""""","=""34.9282""","=""""","=""""","=""1.3776""","=""""","=""  94                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""","=""""","=""35.2126""","=""""","=""""","=""0.284""","=""""","=""  97                    ""","="""""
"=""3d10.6p""","=""2P*""","=""1/2""","=""""","=""35.09097""","=""""","=""""","=""-0.1216""","=""""","=""                        ""","="""""
"=""3d10.6p""","=""2P*""","=""3/2""","=""""","=""35.14473""","=""""","=""""","=""0.0538""","=""""","=""                        ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""","=""""","=""36.1602""","=""""","=""""","=""1.0155""","=""""","=""  43                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""","=""""","=""36.4360""","=""""","=""""","=""0.276""","=""""","=""  75                    ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""","=""""","=""36.2970""","=""""","=""""","=""-0.139""","=""""","=""  73                    ""","="""""
