Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d10""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                            ""","=""L7213"""
"=""3d9.4s""","=""3D""","=""3""","=""""","=""29.03949""","=""""","=""""","=""29.03949""","="" 100                                        ""","="""""
"=""3d9.4s""","=""3D""","=""2""","=""""","=""29.25618""","=""""","=""""","=""0.2167""","=""  83             :    17  3d9.4s 1D         ""","="""""
"=""3d9.4s""","=""3D""","=""1""","=""""","=""29.60307""","=""""","=""""","=""0.3469""","="" 100                                        ""","="""""
"=""3d9.4s""","=""1D""","=""2""","=""""","=""29.99614""","=""""","=""""","=""0.3931""","=""  83             :    17  3d9.4s 3D         ""","="""""
"=""3d9.4p""","=""3P*""","=""2""","=""""","=""40.13975""","=""""","=""""","=""10.1436""","=""  96             :     4  3d9.4p 3D*        ""","="""""
"=""3d9.4p""","=""3P*""","=""1""","=""""","=""40.63619""","=""""","=""""","=""0.4964""","=""  96             :     3  3d9.4p 3D*        ""","="""""
"=""3d9.4p""","=""3P*""","=""0""","=""""","=""40.95601""","=""""","=""""","=""0.3198""","="" 100                                        ""","="""""
"=""3d9.4p""","=""3F*""","=""3""","=""""","=""40.65330""","=""""","=""""","=""-0.3027""","=""  68             :    27  3d9.4p 1F*        ""","="""""
"=""3d9.4p""","=""3F*""","=""4""","=""""","=""40.89592""","=""""","=""""","=""0.2426""","="" 100                                        ""","="""""
"=""3d9.4p""","=""3F*""","=""2""","=""""","=""41.01281""","=""""","=""""","=""0.1169""","=""  95             :     4  3d9.4p 3D*        ""","="""""
"=""3d9.4p""","=""1F*""","=""3""","=""""","=""41.55471""","=""""","=""""","=""0.5419""","=""  60             :    27  3d9.4p 3D*        ""","="""""
"=""3d9.4p""","=""1D*""","=""2""","=""""","=""41.60417""","=""""","=""""","=""0.0495""","=""  64             :    32  3d9.4p 3D*        ""","="""""
"=""3d9.4p""","=""3D*""","=""3""","=""""","=""41.80352""","=""""","=""""","=""0.1993""","=""  68             :    19  3d9.4p 3F*        ""","="""""
"=""3d9.4p""","=""3D*""","=""1""","=""""","=""42.09762""","=""""","=""""","=""0.2941""","=""  72             :    24  3d9.4p 1P*        ""","="""""
"=""3d9.4p""","=""3D*""","=""2""","=""""","=""42.19129""","=""""","=""""","=""0.0937""","=""  60             :    36  3d9.4p 1D*        ""","="""""
"=""3d9.4p""","=""1P*""","=""1""","=""""","=""41.94057""","=""""","=""""","=""-0.2507""","=""  75             :    25  3d9.4p 3D*        ""","="""""
"=""3d9.4d""","=""3S""","=""1""","=""""","=""56.54322""","=""""","=""""","=""14.6026""","=""  93             :     5  3d9.4d 3P         ""","="""""
"=""3d9.4d""","=""3G""","=""5""","=""""","=""57.20848""","=""""","=""""","=""0.6653""","="" 100                                        ""","="""""
"=""3d9.4d""","=""3G""","=""4""","=""""","=""57.23639""","=""""","=""""","=""0.0279""","=""  64             :    36  3d9.4d 1G         ""","="""""
"=""3d9.4d""","=""3G""","=""3""","=""""","=""57.53821""","=""""","=""""","=""0.3018""","=""  68             :    19  3d9.4d 1F         ""","="""""
"=""3d9.4d""","=""1P""","=""1""","=""""","=""57.25775""","=""""","=""""","=""-0.2805""","=""  52             :    28  3d9.4d 3P         ""","="""""
"=""3d9.4d""","=""3P""","=""2""","=""""","=""57.25944""","=""""","=""""","=""0.0017""","=""  76             :    24  3d9.4d 3D         ""","="""""
"=""3d9.4d""","=""3P""","=""0""","=""""","=""57.52345""","=""""","=""""","=""0.2640""","=""  94             :     6  3d9.4d 1S         ""","="""""
"=""3d9.4d""","=""3P""","=""1""","=""""","=""57.63439""","=""""","=""""","=""0.1109""","=""  57             :    36  3d9.4d 1P         ""","="""""
"=""3d9.4d""","=""3D""","=""3""","=""""","=""57.44952""","=""""","=""""","=""-0.1849""","=""  89             :     9  3d9.4d 3F         ""","="""""
"=""3d9.4d""","=""3D""","=""2""","=""""","=""57.60953""","=""""","=""""","=""0.1600""","=""  50             :    24  3d9.4d 1D         ""","="""""
"=""3d9.4d""","=""3D""","=""1""","=""""","=""57.90423""","=""""","=""""","=""0.2947""","=""  80             :    10  3d9.4d 1P         ""","="""""
"=""3d9.4d""","=""""","=""4""","=""""","=""57.61616""","=""""","=""""","=""-0.2881""","=""  45  3F         :    39  3d9.4d 1G         ""","="""""
"=""3d9.4d""","=""1F""","=""3""","=""""","=""57.87337""","=""""","=""""","=""0.2572""","=""  42             :    31  3d9.4d 3G         ""","="""""
"=""3d9.4d""","=""3F""","=""4""","=""""","=""57.94857""","=""""","=""""","=""0.0752""","=""  54             :    25  3d9.4d 1G         ""","="""""
"=""3d9.4d""","=""3F""","=""3""","=""""","=""58.23369""","=""""","=""""","=""0.2851""","=""  53             :    38  3d9.4d 1F         ""","="""""
