Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","=""""","=""0.0000000000""","=""""","=""0.0000000010""","=""""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(""","=""40.8130309000""","="")""","=""0.0000000011""","=""40.813030900""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""","=""(""","=""40.81375709639""","="")""","=""0.0000000011""","=""0.0007261964""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""","=""(""","=""40.8130889708""","="")""","=""0.0000000011""","=""-0.0006681256""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""","=""(""","=""48.37129745992""","="")""","=""0.00000000025""","=""7.5582084891""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""","=""(""","=""48.37151262966""","="")""","=""0.00000000012""","=""0.0002151697""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""","=""(""","=""48.3713147616""","="")""","=""0.0000000006""","=""-0.0001978681""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""","=""(""","=""48.371512275660""","="")""","=""0.000000000010""","=""0.0001975141""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""","=""(""","=""48.371583992058""","="")""","=""0.000000000007""","=""0.00007171640""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""","=""(""","=""51.01666123838""","="")""","=""0.00000000010""","=""2.6450772463""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""","=""(""","=""51.01675201265""","="")""","=""0.00000000005""","=""0.0000907743""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""","=""(""","=""51.01666855319""","="")""","=""0.00000000025""","=""-0.0000834595""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""","=""(""","=""51.0167518615""","="")""","=""0.0000000011""","=""0.0000833083""","="" 100                    ""","=""L3620c107"""
