Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d2.6s2""","=""a 3F""","=""2""","=""""","=""0.00000000""","=""""","=""0.00000000""","=""""","=""0.696""","=""  90                    ""","=""L16323,L4389"""
"=""5d2.6s2""","=""a 3F""","=""3""","=""""","=""0.29219054""","=""""","=""0.00000005""","=""0.29219054""","=""1.082""","=""  98                    ""","=""L21976,L16323,L4389"""
"=""5d2.6s2""","=""a 3F""","=""4""","=""""","=""0.56631535""","=""""","=""0.00000007""","=""0.27412481""","=""1.240""","=""  94                    ""","=""L21976,L16323,L4389"""
"=""5d2.6s2""","=""a 3P""","=""0""","=""""","=""0.68461317""","=""""","=""0.00000015""","=""0.1182978""","=""0.000""","=""  85                    ""","=""L21976,L16323,L4389"""
"=""5d2.6s2""","=""a 3P""","=""1""","=""""","=""0.81489232""","=""""","=""0.00000010""","=""0.1302792""","=""1.496""","=""  87                    ""","=""L21976,L16323,L4389"""
"=""5d2.6s2""","=""a 3P""","=""2""","=""""","=""1.11384493""","=""""","=""0.00000009""","=""0.2989526""","=""1.300""","=""  49                    ""","=""L21976,L16323,L4389"""
"=""5d2.6s2""","=""a 1D""","=""2""","=""""","=""0.69909917""","=""""","=""0.00000006""","=""-0.4147458""","=""1.164""","=""  48                    ""","=""L21976,L16323,L4389"""
"=""5d.6s2.(a 2D).6p""","=""z 1D*""","=""2""","=""""","=""1.3029380""","=""""","=""0.0000006""","=""0.6038388""","=""0.805""","=""                        ""","=""L16323"""
"=""5d2.6s2""","=""a 1G""","=""4""","=""""","=""1.30587212""","=""""","=""0.00000011""","=""0.0029341""","=""1.007""","=""  90                    ""","=""L21976,L16323,L4389"""
"=""5d.6s2.(a 2D).6p""","=""z 3D*""","=""1""","=""""","=""1.7379890""","=""""","=""0.0000007""","=""0.4321169""","=""0.542""","=""                        ""","=""L16323"""
"=""5d.6s2.(a 2D).6p""","=""z 3D*""","=""2""","=""""","=""2.00400126""","=""""","=""0.00000017""","=""0.2660123""","=""1.172""","=""                        ""","=""L21976,L16323"""
"=""5d.6s2.(a 2D).6p""","=""z 3D*""","=""3""","=""""","=""2.27901844""","=""""","=""0.00000014""","=""0.2750172""","=""1.287""","=""                        ""","=""L21976,L16323"""
"=""5d3.(b 4F).6s""","=""a 5F""","=""1""","=""""","=""1.7472218""","=""""","=""0.0000003""","=""-0.5317966""","=""0.010""","=""  94                    ""","=""L21976,L16323,L4389"""
"=""5d3.(b 4F).6s""","=""a 5F""","=""2""","=""""","=""1.8276129""","=""""","=""0.0000003""","=""0.0803911""","=""1.007""","=""  96                    ""","=""L21976,L16323,L4389"""
"=""5d3.(b 4F).6s""","=""a 5F""","=""3""","=""""","=""1.9432466""","=""""","=""0.0000006""","=""0.1156337""","=""1.248""","=""  97                    ""","=""L16323,L4389"""
"=""5d3.(b 4F).6s""","=""a 5F""","=""4""","=""""","=""2.0787980""","=""""","=""0.0000006""","=""0.1355514""","=""1.341""","=""  97                    ""","=""L16323,L4389"""
"=""5d3.(b 4F).6s""","=""a 5F""","=""5""","=""""","=""2.2194808""","=""""","=""0.0000009""","=""0.140683""","=""1.383""","=""  93                    ""","=""L16323,L4389"""
"=""5d.6s2.(a 2D).6p""","=""z 3F*""","=""2""","=""""","=""1.7897290""","=""""","=""0.0000006""","=""-0.429752""","=""0.903""","=""                        ""","=""L16323"""
"=""5d.6s2.(a 2D).6p""","=""z 3F*""","=""3""","=""""","=""1.8029382""","=""""","=""0.0000006""","=""0.0132092""","=""1.085""","=""                        ""","=""L16323"""
"=""5d.6s2.(a 2D).6p""","=""z 3F*""","=""4""","=""""","=""2.2596097""","=""""","=""0.0000010""","=""0.456671""","=""1.246""","=""                        ""","=""L16323"""
