Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d.6s2""","=""a 2D""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.787""","=""L3466"""
"=""5d.6s2""","=""a 2D""","=""5/2""","=""""","=""0.378261""","=""""","=""""","=""0.378261""","=""1.173""","=""L3466"""
"=""5d2.(3F).6s""","=""a 4F""","=""3/2""","=""""","=""0.451879""","=""""","=""""","=""0.07362""","=""0.425""","=""L3466"""
"=""5d2.(3F).6s""","=""a 4F""","=""5/2""","=""""","=""0.608124""","=""""","=""""","=""0.15625""","=""1.052""","=""L3466"""
"=""5d2.(3F).6s""","=""a 4F""","=""7/2""","=""""","=""0.786598""","=""""","=""""","=""0.17847""","=""1.236""","=""L3466"""
"=""5d2.(3F).6s""","=""a 4F""","=""9/2""","=""""","=""1.036726""","=""""","=""""","=""0.25013""","=""1.328""","=""L3466"""
"=""5d2.(3P).6s""","=""a 4P""","=""1/2""","=""""","=""1.481822""","=""""","=""""","=""0.44510""","=""2.598""","=""L3466"""
"=""5d2.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""1.601992""","=""""","=""""","=""0.12017""","=""1.664""","=""L3466"""
"=""5d2.(3P).6s""","=""a 4P""","=""5/2""","=""""","=""1.671996""","=""""","=""""","=""0.07000""","=""1.410""","=""L3466"""
"=""5d2.(3F).6s""","=""a 2F""","=""5/2""","=""""","=""1.496546""","=""""","=""""","=""-0.17545""","=""0.964""","=""L3466"""
"=""5d2.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""1.870210""","=""""","=""""","=""0.37366""","=""1.10""","=""L3466"""
"=""5d2.(1D).6s""","=""b 2D""","=""3/2""","=""""","=""1.780341""","=""""","=""""","=""-0.08987""","=""1.034""","=""L3466"""
"=""5d2.(1D).6s""","=""b 2D""","=""5/2""","=""""","=""2.153465""","=""""","=""""","=""0.37312""","=""1.273""","=""L3466"""
"=""5d2.(3P).6s""","=""a 2P""","=""1/2""","=""""","=""1.891291""","=""""","=""""","=""-0.26217""","=""0.737""","=""L3466"""
"=""5d2.(3P).6s""","=""a 2P""","=""3/2""","=""""","=""2.210680""","=""""","=""""","=""0.31939""","=""1.122""","=""L3466"""
"=""5d2.(1G).6s""","=""a 2G""","=""9/2""","=""""","=""2.155969""","=""""","=""""","=""-0.05471""","=""1.14""","=""L3466"""
"=""5d2.(1G).6s""","=""a 2G""","=""7/2""","=""""","=""2.195849""","=""""","=""""","=""0.03988""","=""0.940""","=""L3466"""
"=""5d3""","=""b 4F""","=""3/2""","=""""","=""2.343009""","=""""","=""""","=""0.14716""","=""0.446""","=""L3466"""
"=""5d3""","=""b 4F""","=""5/2""","=""""","=""2.496414""","=""""","=""""","=""0.15341""","=""1.030""","=""L3466"""
"=""5d3""","=""b 4F""","=""7/2""","=""""","=""2.682766""","=""""","=""""","=""0.18635""","=""1.221""","=""L3466"""
"=""5d3""","=""b 4F""","=""9/2""","=""""","=""2.869685""","=""""","=""""","=""0.18692""","=""1.309""","=""L3466"""
"=""5d3""","=""b 4P""","=""1/2""","=""""","=""3.347141""","=""""","=""""","=""0.47746""","=""2.58""","=""L3466"""
"=""5d3""","=""b 4P""","=""3/2""","=""""","=""3.382925""","=""""","=""""","=""0.03578""","=""1.643""","=""L3466"""
"=""5d3""","=""b 4P""","=""5/2""","=""""","=""3.539383""","=""""","=""""","=""0.15646""","=""1.573""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4F*""","=""3/2""","=""""","=""3.480086""","=""""","=""""","=""-0.05930""","=""0.512""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4F*""","=""5/2""","=""""","=""3.645770""","=""""","=""""","=""0.16568""","=""1.076""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4F*""","=""7/2""","=""""","=""4.187720""","=""""","=""""","=""0.54195""","=""1.252""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4F*""","=""9/2""","=""""","=""4.734420""","=""""","=""""","=""0.54670""","=""1.33""","=""L3466"""
"=""5d3""","=""b 2G""","=""9/2""","=""""","=""3.484555""","=""""","=""""","=""-1.24987""","=""0.997""","=""L3466"""
"=""5d3""","=""b 2G""","=""7/2""","=""""","=""3.528362""","=""""","=""""","=""0.04381""","=""0.897""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4D*""","=""1/2""","=""""","=""3.615384""","=""""","=""""","=""0.08702""","=""0.486""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4D*""","=""3/2""","=""""","=""3.940734""","=""""","=""""","=""0.32535""","=""1.216""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4D*""","=""5/2""","=""""","=""4.259493""","=""""","=""""","=""0.31876""","=""1.320""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4D*""","=""7/2""","=""""","=""4.572846""","=""""","=""""","=""0.31335""","=""1.380""","=""L3466"""
"=""5d3""","=""c 2D""","=""3/2""","=""""","=""3.793251""","=""""","=""""","=""-0.77960""","=""0.91""","=""L3466"""
"=""5d3""","=""c 2D""","=""5/2""","=""""","=""4.063974""","=""""","=""""","=""0.27072""","=""1.21""","=""L3466"""
"=""5d3""","=""a 2H""","=""11/2""","=""""","=""3.836315""","=""""","=""""","=""-0.22766""","=""1.10""","=""L3466"""
"=""5d3""","=""a 2H""","=""9/2""","=""""","=""3.952336""","=""""","=""""","=""0.11602""","=""1.05""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 2P*""","=""1/2""","=""""","=""4.108365""","=""""","=""""","=""0.15603""","=""0.217""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 2P*""","=""3/2""","=""""","=""4.509729""","=""""","=""""","=""0.40136""","=""1.323""","=""L3466"""
"=""5d.6s.(1D).6p""","=""z 2D*""","=""5/2""","=""""","=""4.113910""","=""""","=""""","=""-0.39582""","=""1.036""","=""L3466"""
"=""5d.6s.(1D).6p""","=""z 2D*""","=""3/2""","=""""","=""4.230828""","=""""","=""""","=""0.11692""","=""0.800""","=""L3466"""
"=""5d2.(3F).6p""","=""z 4G*""","=""5/2""","=""""","=""4.332300""","=""""","=""""","=""0.10147""","=""0.981""","=""L3466"""
"=""5d2.(3F).6p""","=""z 4G*""","=""7/2""","=""""","=""4.773209""","=""""","=""""","=""0.44091""","=""1.044""","=""L3466"""
"=""5d2.(3F).6p""","=""z 4G*""","=""9/2""","=""""","=""5.255825""","=""""","=""""","=""0.48262""","=""1.168""","=""L3466"""
"=""5d2.(3F).6p""","=""z 4G*""","=""11/2""","=""""","=""5.729192""","=""""","=""""","=""0.47337""","=""1.27""","=""L3466"""
"=""5d3""","=""b 2P""","=""1/2""","=""""","=""4.357639""","=""""","=""""","=""-1.37155""","=""0.74""","=""L3466"""
"=""5d3""","=""b 2P""","=""3/2""","=""""","=""4.627613""","=""""","=""""","=""0.26997""","=""1.28""","=""L3466"""
"=""5d3""","=""b 2F""","=""5/2""","=""""","=""4.636816""","=""""","=""""","=""0.00920""","=""""","=""L3466"""
"=""5d3""","=""b 2F""","=""7/2""","=""""","=""4.641926""","=""""","=""""","=""0.00511""","=""1.14""","=""L3466"""
"=""5d.6s.(3D).6p""","=""y 2D*""","=""3/2""","=""""","=""4.697253""","=""""","=""""","=""0.05533""","=""0.780""","=""L3466"""
"=""5d.6s.(3D).6p""","=""y 2D*""","=""5/2""","=""""","=""5.177734""","=""""","=""""","=""0.48048""","=""1.077""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4P*""","=""1/2""","=""""","=""4.760815""","=""""","=""""","=""-0.41692""","=""2.596""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4P*""","=""3/2""","=""""","=""4.863461""","=""""","=""""","=""0.10265""","=""1.615""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 4P*""","=""5/2""","=""""","=""5.022211""","=""""","=""""","=""0.15875""","=""1.420""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 2F*""","=""5/2""","=""""","=""4.783141""","=""""","=""""","=""-0.23907""","=""0.860""","=""L3466"""
"=""5d.6s.(3D).6p""","=""z 2F*""","=""7/2""","=""""","=""5.133796""","=""""","=""""","=""0.35066""","=""1.105""","=""L3466"""
