Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d10""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                            ""","=""L3466"""
"=""5d9.6s""","=""(5/2,1/2)""","=""3""","=""""","=""5.31276""","=""""","=""0.00019""","=""5.31276""","=""         or  :         3D   ""","=""L3466"""
"=""5d9.6s""","=""(5/2,1/2)""","=""2""","=""""","=""5.70693""","=""""","=""0.00019""","=""0.3942""","=""         or  :         3D   ""","=""L3466"""
"=""5d9.6s""","=""(3/2,1/2)""","=""1""","=""""","=""7.24140""","=""""","=""0.00019""","=""1.5345""","=""         or  :         3D   ""","=""L3466"""
"=""5d9.6s""","=""(3/2,1/2)""","=""2""","=""""","=""7.57366""","=""""","=""0.00019""","=""0.3323""","=""         or  :         1D   ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,5/2)""","=""4""","=""""","=""12.13728""","=""""","=""0.00019""","=""4.5636""","=""         or  :         3F   ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,5/2)""","=""2""","=""""","=""13.14573""","=""""","=""0.00019""","=""1.0084""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,5/2)""","=""0""","=""""","=""15.20803""","=""""","=""0.00019""","=""2.0623""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""2""","=""""","=""12.83849""","=""""","=""0.00019""","=""-2.3695""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""3""","=""""","=""13.09618""","=""""","=""0.00019""","=""0.2577""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,3/2)""","=""3""","=""""","=""13.91425""","=""""","=""0.00019""","=""0.8181""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,3/2)""","=""2""","=""""","=""14.74501""","=""""","=""0.00019""","=""0.8308""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,3/2)""","=""1""","=""""","=""15.21719""","=""""","=""0.00019""","=""0.4722""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(5/2,3/2)""","=""4""","=""""","=""15.68007""","=""""","=""0.00019""","=""0.4629""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""4""","=""""","=""14.62945""","=""""","=""0.00019""","=""-1.0506""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""2""","=""""","=""14.69808""","=""""","=""0.00019""","=""0.0686""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""3""","=""""","=""15.07673""","=""""","=""0.00019""","=""0.3787""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""1""","=""""","=""15.69098""","=""""","=""0.00019""","=""0.6143""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""1""","=""""","=""14.70544""","=""""","=""0.00019""","=""-0.9855""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""2""","=""""","=""14.99314""","=""""","=""0.00019""","=""0.2877""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""0""","=""""","=""16.20503""","=""""","=""0.00019""","=""1.2119""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""3""","=""""","=""16.68679""","=""""","=""0.00019""","=""0.4818""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""1""","=""""","=""16.73771""","=""""","=""0.00019""","=""0.0509""","=""                            ""","=""L3466"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""2""","=""""","=""16.92124""","=""""","=""0.00019""","=""0.1835""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(3/2,3/2)""","=""2""","=""""","=""16.58059""","=""""","=""0.00019""","=""-0.3407""","=""                            ""","=""L3466"""
"=""5d8.6s2""","=""(3/2,3/2)""","=""0""","=""""","=""19.70220""","=""""","=""0.00019""","=""3.1216""","=""         or  :         1S   ""","=""L3466"""
"=""5d8.6s.6p""","=""47*""","=""1""","=""""","=""18.24333""","=""""","=""0.00019""","=""-1.4589""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""48*""","=""3""","=""""","=""18.40248""","=""""","=""0.00019""","=""0.1592""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""13*""","=""3""","=""""","=""18.56258""","=""""","=""0.00019""","=""0.1601""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""14*""","=""4""","=""""","=""18.63185""","=""?""","=""0.00019""","=""0.0693""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""15*""","=""1""","=""""","=""18.63218""","=""""","=""0.00019""","=""0.0003""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""16*""","=""1""","=""""","=""18.70388""","=""""","=""0.00019""","=""0.0717""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""17*""","=""1""","=""""","=""18.84529""","=""""","=""0.00019""","=""0.1414""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""18*""","=""2""","=""""","=""19.00115""","=""?""","=""0.00019""","=""0.1559""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""19*""","=""3""","=""""","=""19.12009""","=""""","=""0.00019""","=""0.1189""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""49*""","=""3""","=""""","=""19.18257""","=""""","=""0.00019""","=""0.0625""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""20*""","=""3""","=""""","=""19.31625""","=""""","=""0.00019""","=""0.1337""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""21*""","=""3""","=""""","=""19.41345""","=""""","=""0.00019""","=""0.0972""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""50*""","=""2""","=""""","=""19.57428""","=""""","=""0.00019""","=""0.1608""","=""                            ""","=""L3466"""
"=""5d8.6s.6p""","=""22*""","=""2""","=""""","=""19.61491""","=""""","=""0.00019""","=""0.0406""","=""                            ""","=""L3466"""
