Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d9""","=""2D""","=""5/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                                                ""","=""L10269"""
"=""5d9""","=""2D""","=""3/2""","=""""","=""1.94465""","=""""","=""0.00019""","=""1.94465""","="" 100                                                                ""","=""L10269"""
"=""5d8.(3F<4>).6s""","=""(4,1/2)""","=""9/2""","=""""","=""7.45614""","=""""","=""0.00019""","=""5.5115""","=""  96                               :     4  5d8.(1G<4>).6s (4,1/2)  ""","=""L10597"""
"=""5d8.(3F<4>).6s""","=""(4,1/2)""","=""7/2""","=""""","=""8.19647""","=""""","=""0.00019""","=""0.7403""","=""  83                               :    11  5d8.(3F<3>).6s (3,1/2)  ""","=""L10597"""
"=""5d8.(3P<2>).6s""","=""(2,1/2)""","=""5/2""","=""""","=""8.67175""","=""""","=""0.00019""","=""0.4753""","=""  45                               :    39  5d8.(1D<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3P<2>).6s""","=""(2,1/2)""","=""3/2""","=""""","=""10.40422""","=""""","=""0.00019""","=""1.7325""","=""  31                               :    40  5d8.(3P<1>).6s (1,1/2)  ""","=""L10597"""
"=""5d8.(3F<2>).6s""","=""(2,1/2)""","=""3/2""","=""""","=""8.89749""","=""""","=""0.00019""","=""-1.5067""","=""  29                               :    48  5d8.(1D<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3F<2>).6s""","=""(2,1/2)""","=""5/2""","=""""","=""12.51157""","=""""","=""0.00019""","=""3.6141""","=""  47                               :    42  5d8.(1D<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3F<3>).6s""","=""(3,1/2)""","=""5/2""","=""""","=""9.63050""","=""""","=""0.00019""","=""-2.8811""","=""  77                               :    13  5d8.(3P<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3F<3>).6s""","=""(3,1/2)""","=""7/2""","=""""","=""9.77659""","=""""","=""0.00019""","=""0.1461""","=""  88                               :     9  5d8.(3F<4>).6s (4,1/2)  ""","=""L10597"""
"=""5d8.(3P<0>).6s""","=""(0,1/2)""","=""1/2""","=""""","=""10.21517""","=""""","=""0.00019""","=""0.4386""","=""  69                               :    16  5d8.(3P<1>).6s (1,1/2)  ""","=""L10597"""
"=""5d8.(1D<2>).6s""","=""(2,1/2)""","=""5/2""","=""""","=""10.66650""","=""""","=""0.00019""","=""0.4513""","=""  34  5d8.(3P<2>).6s (2,1/2)       :    31  5d8.(3F<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(1D<2>).6s""","=""(2,1/2)""","=""3/2""","=""""","=""12.41767""","=""""","=""0.00019""","=""1.7512""","=""  48                               :    29  5d8.(3P<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3P<1>).6s""","=""(1,1/2)""","=""3/2""","=""""","=""11.02216""","=""""","=""0.00019""","=""-1.3955""","=""  56                               :    21  5d8.(3F<2>).6s (2,1/2)  ""","=""L10597"""
"=""5d8.(3P<1>).6s""","=""(1,1/2)""","=""1/2""","=""""","=""11.58087""","=""""","=""0.00019""","=""0.5587""","=""  83                               :    12  5d8.(3P<0>).6s (0,1/2)  ""","=""L10597"""
"=""5d8.(1G<4>).6s""","=""(4,1/2)""","=""9/2""","=""""","=""11.45056""","=""""","=""0.00019""","=""-0.1303""","=""  96                               :     4  5d8.(3F<4>).6s (4,1/2)  ""","=""L10597"""
"=""5d8.(1G<4>).6s""","=""(4,1/2)""","=""7/2""","=""""","=""11.55316""","=""""","=""0.00019""","=""0.1026""","=""  92                               :     8  5d8.(3F<4>).6s (4,1/2)  ""","=""L10597"""
"=""5d8.(3F<4>).6p""","=""(4,1/2)*""","=""7/2""","=""""","=""16.21884""","=""""","=""0.00019""","=""4.6657""","=""  91                               :     6  5d8.(1G<4>).6p (4,1/2)* ""","=""L10597"""
"=""5d8.(3F<4>).6p""","=""(4,1/2)*""","=""9/2""","=""""","=""16.56633""","=""""","=""0.00019""","=""0.3475""","=""  94                               :     5  5d8.(1G<4>).6p (4,1/2)* ""","=""L10597"""
"=""5d8.(1D<2>).6p""","=""(2,1/2)*""","=""3/2""","=""""","=""17.19797""","=""""","=""0.00019""","=""0.6316""","=""  45                               :    40  5d8.(3P<2>).6p (2,1/2)* ""","=""L10597"""
"=""5d8.(1D<2>).6p""","=""(2,1/2)*""","=""5/2""","=""""","=""20.99589""","=""""","=""0.00019""","=""3.7979""","=""  33                               :    19  5d8.(3F<2>).6p (2,1/2)* ""","=""L10597"""
"=""5d8.(3P<2>).6p""","=""(2,1/2)*""","=""5/2""","=""""","=""17.26632""","=""""","=""0.00019""","=""-3.7296""","=""  39                               :    40  5d8.(1D<2>).6p (2,1/2)* ""","=""L10597"""
"=""5d8.(3P<2>).6p""","=""(2,1/2)*""","=""3/2""","=""""","=""18.85710""","=""""","=""0.00019""","=""1.5908""","=""  34                               :    33  5d8.(3F<2>).6p (2,1/2)* ""","=""L10597"""
"=""5d8.(3F<3>).6p""","=""(3,1/2)*""","=""5/2""","=""""","=""18.19697""","=""""","=""0.00019""","=""-0.6601""","=""  78                               :    10  5d8.(3F<4>).6p (4,3/2)* ""","=""L10597"""
"=""5d8.(3F<3>).6p""","=""(3,1/2)*""","=""7/2""","=""""","=""18.26115""","=""""","=""0.00019""","=""0.0642""","=""  90                               :     7  5d8.(3F<4>).6p (4,3/2)* ""","=""L10597"""
"=""5d8.(3P<0>).6p""","=""(0,1/2)*""","=""1/2""","=""""","=""18.54623""","=""""","=""0.00019""","=""0.2851""","=""  62                               :    17  5d8.(1S<0>).6p (0,1/2)* ""","=""L10597"""
