Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f11.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  97     or  :    97   5I*  ""","=""L3974"""
"=""4f11.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""""","=""0.079028""","=""""","=""""","=""0.079028""","=""  97     or  :    72   3I*  ""","="""""
"=""4f11.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""0.696424""","=""""","=""""","=""0.61740""","=""         or  :    74   5I*  ""","="""""
"=""4f11.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""0.725275""","=""""","=""""","=""0.02885""","=""         or  :    54   5I*  ""","="""""
"=""4f11.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""1.097328""","=""""","=""""","=""0.37205""","=""         or  :    69   5I*  ""","="""""
"=""4f11.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""1.116062""","=""""","=""""","=""0.01873""","=""         or  :    48   3I*  ""","="""""
"=""4f11.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""1.343846""","=""""","=""""","=""0.22778""","=""         or  :    67   5I*  ""","="""""
"=""4f11.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""1.389181""","=""""","=""""","=""0.04533""","=""         or  :    45   3I*  ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""6""","=""""","=""2.018661""","=""""","=""""","=""0.62948""","=""         or  :    80   5G*  ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""7""","=""""","=""2.076609""","=""""","=""""","=""0.05795""","=""         or  :    82   5H*  ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""9""","=""""","=""2.196225""","=""""","=""""","=""0.11962""","=""         or  :    48   3L*  ""","="""""
"=""4f11.(4I*<15/2>).5d<3/2>""","=""(15/2,3/2)*""","=""8""","=""""","=""2.281913""","=""""","=""""","=""0.08569""","=""         or  :    47   5I*  ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""10""","=""""","=""2.263821""","=""""","=""""","=""-0.01809""","=""         or  :    97   5L*  ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""9""","=""""","=""2.369520""","=""""","=""""","=""0.10570""","=""         or  :    74   5K*  ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""5""","=""""","=""2.465168""","=""""","=""""","=""0.09565""","=""         or  :    57   5G*  ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""8""","=""""","=""2.483323""","=""""","=""""","=""0.01816""","=""         or  :    43   3K*  ""","="""""
"=""4f11.(4I*<15/2>).5d<5/2>""","=""(15/2,5/2)*""","=""6""","=""""","=""2.518727""","=""""","=""""","=""0.03540""","=""         or  :    49   5H*  ""","="""""
