Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f10""","=""5I""","=""8""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  93             :     5   3K2  ""","=""L3974"""
"=""4f10""","=""5I""","=""7""","=""[""","=""0.626""","=""]""","=""""","=""0.626""","=""  97             :     2   3K2  ""","="""""
"=""4f10""","=""5I""","=""6""","=""[""","=""1.060""","=""]""","=""""","=""0.43""","=""  95             :     2   3H4  ""","="""""
"=""4f10""","=""5I""","=""5""","=""[""","=""1.377""","=""]""","=""""","=""0.32""","=""  90             :     4   3H4  ""","="""""
"=""4f10""","=""5I""","=""4""","=""[""","=""1.634""","=""]""","=""""","=""0.26""","=""  90             :     5   3H4  ""","="""""
"=""4f10""","=""5F""","=""5""","=""[""","=""1.906""","=""]""","=""""","=""0.27""","=""  80             :    10   3G2  ""","="""""
"=""4f10""","=""5F""","=""4""","=""[""","=""2.288""","=""]""","=""""","=""0.38""","=""  91             :     4   3F3  ""","="""""
"=""4f10""","=""5F""","=""3""","=""[""","=""2.543""","=""]""","=""""","=""0.26""","=""  90             :     4   3D1  ""","="""""
"=""4f10""","=""5F""","=""2""","=""[""","=""2.599""","=""]""","=""""","=""0.06""","=""  63             :    14   5S   ""","="""""
"=""4f10""","=""5F""","=""1""","=""[""","=""2.750""","=""]""","=""""","=""0.15""","=""  80             :    15   3D1  ""","="""""
"=""4f10""","=""5S""","=""2""","=""[""","=""2.271""","=""]""","=""""","=""-0.48""","=""  71             :    14   3P2  ""","="""""
"=""4f10""","=""3K2""","=""8""","=""[""","=""2.633""","=""]""","=""""","=""0.36""","=""  56             :    18   3K1  ""","="""""
"=""4f10""","=""3K2""","=""7""","=""[""","=""3.227""","=""]""","=""""","=""0.59""","=""  64             :    20   3K1  ""","="""""
"=""4f10""","=""3K2""","=""6""","=""[""","=""3.710""","=""]""","=""""","=""0.48""","=""  74             :    17   3K1  ""","="""""
"=""4f10""","=""5G""","=""6""","=""[""","=""2.726""","=""]""","=""""","=""-0.98""","=""  82             :    10   3H4  ""","="""""
"=""4f10""","=""5G""","=""4""","=""[""","=""3.188""","=""]""","=""""","=""0.46""","=""  58             :    15   3G2  ""","="""""
"=""4f10""","=""5G""","=""5""","=""[""","=""3.415""","=""]""","=""""","=""0.23""","=""  47             :    16   3H4  ""","="""""
"=""4f10""","=""5G""","=""3""","=""[""","=""3.56""","=""]""","=""""","=""0.15""","=""  76             :     8   3F4  ""","="""""
"=""4f10""","=""5G""","=""2""","=""[""","=""3.803""","=""]""","=""""","=""0.24""","=""  51             :    11   3D1  ""","="""""
"=""""","=""""","=""5""","=""[""","=""2.955""","=""]""","=""""","=""-0.85""","=""  43  5G         :    19   3G2  ""","="""""
"=""Ho V (4f9.5p6 6H*<15/2>)""","=""Limit""","=""---""","=""[""","=""42.52""","=""]""","=""0.08""","=""""","=""                                ""","=""L19883c180"""
