Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""","=""""","=""0.0000000""","=""""","=""0.0000008""","=""""","=""""","="" 100                                                                    ""","=""L13998,L22518"""
"=""5s2.5p5""","=""2P*""","=""1/2""","=""""","=""0.9426489""","=""""","=""0.0000008""","=""0.942649""","=""0.673""","="" 100                                                                    ""","=""L22426,L368"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""""","=""6.77366366""","=""""","=""0.00000021""","=""5.8310148""","=""1.576""","=""  90                                 :     9  5s2.5p4.(1D<2>).6s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""""","=""6.95460984""","=""""","=""0.00000015""","=""0.1809462""","=""1.385""","=""  87                                 :    11  5s2.5p4.(1D<2>).6s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<0>).6s""","=""2[0]""","=""1/2""","=""""","=""7.55015091""","=""""","=""0.00000021""","=""0.5955411""","=""2.561""","=""  62                                 :    21  5s2.5p4.(3P<1>).6s  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""""","=""7.66465493""","=""""","=""0.00000017""","=""0.1145040""","=""1.618""","=""  95                                                                    ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""""","=""7.8341396""","=""""","=""0.0000003""","=""0.1694847""","=""0.799""","=""  74                                 :    17  5s2.5p4.(3P<0>).6s  2[0]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""","=""""","=""8.04733368""","=""""","=""0.00000014""","=""0.2131941""","=""1.524""","=""  86                                 :     7  5s2.5p4.(1D<2>).6p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""3/2""","=""""","=""8.05771197""","=""""","=""0.00000000""","=""0.01037829""","=""1.619""","=""  44                                 :    43  5s2.5p4.(3P<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""","=""""","=""8.13885728""","=""""","=""0.00000016""","=""0.0811453""","=""1.217""","=""  83                                 :    10  5s2.5p4.(1D<2>).6p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""","=""""","=""8.14202016""","=""""","=""0.00000020""","=""0.0031629""","=""1.420""","=""  90                                 :    10  5s2.5p4.(1D<2>).6p  2[3]* ""","=""L22518,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""","=""""","=""8.16520209""","=""""","=""0.00000016""","=""0.0231819""","=""1.556""","=""  82                                 :    15  5s2.5p4.(1D<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""3/2""","=""""","=""8.31462383""","=""""","=""0.00000017""","=""0.1494217""","=""1.415""","=""  45                                 :    45  5s2.5p4.(3P<2>).6p  2[2]* ""","=""L22518,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""7/2""","=""""","=""8.18479987""","=""""","=""0.00000020""","=""-0.1298240""","=""""","=""  88                                 :     6  5s2.5p4.(1D<2>).5d  2[3]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""""","=""8.18547461""","=""""","=""0.00000019""","=""0.0006747""","=""1.258""","=""  49  5s2.5p4.(3P<2>).5d 2[2]        :    29  5s2.5p4.(3P<2>).5d  2[3]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""""","=""8.22696252""","=""""","=""0.00000017""","=""0.0414879""","=""""","=""  55  5s2.5p4.(3P<2>).5d 2[2]        :    12  5s2.5p4.(3P<2>).5d  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""1/2""","=""""","=""8.34390893""","=""""","=""0.00000022""","=""0.1169464""","=""""","=""  72                                 :    11  5s2.5p4.(1D<2>).5d  2[1]  ""","=""L3674,u56"""
