Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""1.457""","=""L7360"""
"=""5s2.5p4""","=""3P""","=""0""","=""""","=""0.79944""","=""""","=""""","=""0.79944""","=""""","="""""
"=""5s2.5p4""","=""3P""","=""1""","=""""","=""0.8786621""","=""""","=""""","=""0.07922""","=""1.51""","="""""
"=""5s2.5p4""","=""1D""","=""2""","=""""","=""1.70196""","=""""","=""""","=""0.82330""","=""1.046""","="""""
"=""5s2.5p4""","=""1S""","=""0""","=""""","=""3.65770""","=""""","=""""","=""1.9557""","=""""","="""""
"=""5s2.5p3.(4S*).6s""","=""5S*""","=""2""","=""""","=""10.046774""","=""""","=""""","=""6.38907""","=""1.95""","="""""
"=""5s.5p5""","=""3P*""","=""2""","=""""","=""10.155277""","=""""","=""""","=""0.10850""","=""1.54""","="""""
"=""5s.5p5""","=""3P*""","=""1""","=""""","=""10.442221""","=""""","=""""","=""0.28694""","=""1.530""","="""""
"=""5s.5p5""","=""3P*""","=""0""","=""""","=""11.208785""","=""""","=""""","=""0.76656""","=""""","="""""
"=""5s2.5p3.(4S*).6s""","=""3S*""","=""1""","=""""","=""10.519175""","=""""","=""""","=""-0.68961""","=""1.753""","="""""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""0""","=""""","=""10.586285""","=""""","=""""","=""0.06711""","=""""","="""""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""3""","=""""","=""10.628915""","=""""","=""""","=""0.04263""","=""1.457""","="""""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""4""","=""""","=""10.667144""","=""""","=""""","=""0.03823""","=""1.480""","="""""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""2""","=""""","=""10.683081""","=""""","=""""","=""0.01594""","=""1.434""","="""""
"=""5s2.5p3.(4S*).5d""","=""5D*""","=""1""","=""""","=""10.877637""","=""""","=""""","=""0.19456""","=""1.472""","="""""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""2""","=""""","=""11.220360""","=""""","=""""","=""0.34272""","=""1.138""","="""""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""1""","=""""","=""11.422988""","=""""","=""""","=""0.20263""","=""0.685""","="""""
"=""5s2.5p3.(4S*).5d""","=""3D*""","=""3""","=""""","=""11.531268""","=""""","=""""","=""0.10828""","=""1.35""","="""""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""2""","=""""","=""11.616247""","=""""","=""""","=""0.08498""","=""1.16""","="""""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""1""","=""""","=""11.756843""","=""""","=""""","=""0.14060""","=""0.653""","="""""
"=""5s2.5p3.(2D*).6s""","=""3D*""","=""3""","=""""","=""11.983141""","=""""","=""""","=""0.22630""","=""1.36""","="""""
"=""5s.5p5""","=""1P*""","=""1""","=""""","=""11.897009""","=""""","=""""","=""-0.08613""","=""1.05""","="""""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""2""","=""""","=""12.036795""","=""""","=""""","=""0.13979""","=""1.26""","="""""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""3""","=""""","=""12.172242""","=""""","=""""","=""0.13545""","=""""","="""""
"=""5s2.5p3.(2D*).5d""","=""3D*""","=""1""","=""""","=""12.962076""","=""""","=""""","=""0.78983""","=""""","="""""
"=""5s2.5p3.(2D*).6s""","=""1D*""","=""2""","=""""","=""12.113357""","=""""","=""""","=""-0.84872""","=""0.996""","="""""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""0""","=""""","=""12.137361""","=""""","=""""","=""0.02400""","=""""","="""""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""2""","=""""","=""14.194032""","=""""","=""""","=""2.05667""","=""""","="""""
"=""5s2.5p3.(2D*).5d""","=""3P*""","=""1""","=""""","=""14.639321""","=""""","=""""","=""0.44529""","=""""","="""""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""1""","=""""","=""12.301664""","=""""","=""""","=""-2.33766""","=""2.309""","="""""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""2""","=""""","=""12.314996""","=""""","=""""","=""0.01333""","=""1.714""","="""""
"=""5s2.5p3.(4S*).6p""","=""5P""","=""3""","=""""","=""12.448346""","=""""","=""""","=""0.13335""","=""1.638""","="""""
