Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  89         :     9                   2P*  ""","=""L11993"""
"=""5s2.5p3""","=""2D*""","=""3/2""","=""""","=""1.45193""","=""""","=""""","=""1.45193""","=""  78         :    15                   2P*  ""","=""L11993"""
"=""5s2.5p3""","=""2D*""","=""5/2""","=""""","=""1.84749""","=""""","=""""","=""0.3956""","="" 100                                        ""","=""L11993"""
"=""5s2.5p3""","=""2P*""","=""1/2""","=""""","=""3.01267""","=""""","=""""","=""1.1652""","="" 100                                        ""","=""L11993"""
"=""5s2.5p3""","=""2P*""","=""3/2""","=""""","=""3.67447""","=""""","=""""","=""0.6618""","=""  76         :    19                   2D*  ""","=""L11993"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""5/2""","=""""","=""10.60746""","=""""","=""""","=""6.9330""","=""  84         :    11  5s2.5p2.(3P).5d  4P   ""","=""L11993"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""3/2""","=""""","=""11.27805""","=""""","=""""","=""0.6706""","=""  83         :    13  5s2.5p2.(3P).5d  4P   ""","=""L11993"""
"=""5s.(2S).5p4.(3P)""","=""4P""","=""1/2""","=""""","=""11.51840""","=""""","=""""","=""0.2403""","=""  82         :    13  5s2.5p2.(3P).5d  4P   ""","=""L11993"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""3/2""","=""""","=""12.82867""","=""""","=""""","=""1.3103""","=""  43         :    16  5s2.5p2.(1D).5d  2D   ""","=""L11993"""
"=""5s.(2S).5p4.(1D)""","=""2D""","=""5/2""","=""""","=""13.21911""","=""""","=""""","=""0.3904""","=""  63         :    24  5s2.5p2.(1D).5d  2D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""3/2""","=""""","=""13.65439""","=""""","=""""","=""0.4353""","=""  59         :    17  5s.(2S).5p4.(1D) 2D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""5/2""","=""""","=""13.86220""","=""""","=""""","=""0.2078""","=""  70         :    19  5s2.5p2.(3P).5d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4F""","=""7/2""","=""""","=""14.31169""","=""""","=""""","=""0.4495""","=""  84         :    14  5s2.5p2.(3P).5d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""3/2""","=""""","=""13.80753""","=""""","=""""","=""-0.5042""","=""  48         :    20  5s2.5p2.(3P).5d  4F   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2P""","=""1/2""","=""""","=""14.05019""","=""""","=""""","=""0.2427""","=""  48         :    15  5s.(2S).5p4.(3P) 2P   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""5/2""","=""""","=""14.39822""","=""""","=""""","=""0.3480""","=""  39         :    34  5s2.5p2.(3P).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2F""","=""7/2""","=""""","=""14.70717""","=""""","=""""","=""0.3089""","=""  33         :    38  5s2.5p2.(3P).5d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""1/2""","=""""","=""14.45120""","=""""","=""""","=""-0.2560""","=""  68         :    10  5s2.5p2.(3P).5d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""3/2""","=""""","=""15.18053""","=""""","=""""","=""0.7293""","=""  93         :     5  5s2.5p2.(3P).6s  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).6s""","=""4P""","=""5/2""","=""""","=""15.65132""","=""""","=""""","=""0.4708""","=""  71         :    26  5s2.5p2.(1D).6s  2D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""1/2""","=""""","=""14.83461""","=""""","=""""","=""-0.8167""","=""  71         :     9  5s2.5p2.(3P).5d  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""3/2""","=""""","=""14.84312""","=""""","=""""","=""0.0085""","=""  80         :     7  5s2.5p2.(3P).5d  4F   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""5/2""","=""""","=""15.04926""","=""""","=""""","=""0.2061""","=""  56         :    13  5s2.5p2.(3P).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4D""","=""7/2""","=""""","=""15.73054""","=""""","=""""","=""0.6813""","=""  44         :    23  5s2.5p2.(3P).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""1/2""","=""""","=""15.46347""","=""""","=""""","=""-0.2671""","=""  62         :    14  5s.(2S).5p4.(1S) 2S   ""","=""L11993"""
"=""5s2.5p2.(3P).6s""","=""2P""","=""3/2""","=""""","=""15.85044""","=""""","=""""","=""0.3870""","=""  48         :    33  5s2.5p2.(1D).6s  2D   ""","=""L11993"""
"=""5s.(2S).5p4.(1S)""","=""2S""","=""1/2""","=""""","=""15.75185""","=""""","=""""","=""-0.0986""","=""  39         :    21  5s2.5p2.(1D).5d  2S   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""5/2""","=""""","=""16.19415""","=""""","=""""","=""0.4423""","=""  72         :     8  5s2.5p2.(3P).5d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""3/2""","=""""","=""16.44499""","=""""","=""""","=""0.2508""","=""  67         :    10  5s.(2S).5p4.(3P) 4P   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""4P""","=""1/2""","=""""","=""16.57170""","=""""","=""""","=""0.1267""","=""  73         :    11  5s.(2S).5p4.(3P) 4P   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2G""","=""7/2""","=""""","=""16.30415""","=""""","=""""","=""-0.2675""","=""  75         :    20  5s2.5p2.(1D).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2D""","=""3/2""","=""""","=""16.70145""","=""""","=""""","=""0.3973""","=""  51         :    20  5s2.5p2.(3P).6s  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2D""","=""5/2""","=""""","=""17.16947""","=""""","=""""","=""0.4680""","=""  24         :    30  5s2.5p2.(1D).6s  2D   ""","=""L11993"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""5/2""","=""""","=""16.96834""","=""""","=""""","=""-0.2011""","=""  35         :    31  5s2.5p2.(3P).5d  2D   ""","=""L11993"""
"=""5s2.5p2.(1D).6s""","=""2D""","=""3/2""","=""""","=""17.23121""","=""""","=""""","=""0.2629""","=""  51         :    17  5s2.5p2.(3P).6s  2P   ""","=""L11993"""
"=""5s.(2S).5p4.(3P)""","=""2P""","=""3/2""","=""""","=""17.37079""","=""""","=""""","=""0.1396""","=""  48         :    31  5s2.5p2.(1D).5d  2P   ""","=""L11993"""
"=""5s.(2S).5p4.(3P)""","=""2P""","=""1/2""","=""""","=""18.30059""","=""""","=""""","=""0.9298""","=""  43         :    22  5s2.5p2.(1D).5d  2S   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2P""","=""1/2""","=""""","=""17.63347""","=""""","=""""","=""-0.6671""","=""  82         :     9  5s2.5p2.(3P).5d  4P   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2P""","=""3/2""","=""""","=""18.74666""","=""""","=""""","=""1.1132""","=""  24         :    24  5s.(2S).5p4.(3P) 2P   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""7/2""","=""""","=""17.84573""","=""""","=""""","=""-0.9009""","=""  56         :    33  5s2.5p2.(1D).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(3P).5d""","=""2F""","=""5/2""","=""""","=""17.87566""","=""""","=""""","=""0.0299""","=""  18         :    26  5s2.5p2.(1D).5d  2F   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2D""","=""3/2""","=""""","=""18.12027""","=""""","=""""","=""0.2446""","=""  50         :    16  5s2.5p2.(1D).5d  2P   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2D""","=""5/2""","=""""","=""18.39761""","=""""","=""""","=""0.2773""","=""  48         :    21  5s2.5p2.(1S).5d  2D   ""","=""L11993"""
"=""5s2.5p2.(1S).6s""","=""2S""","=""1/2""","=""""","=""18.93286""","=""""","=""""","=""0.5353""","=""  68         :    15  5s.(2S).5p4.(3P) 2P   ""","=""L11993"""
"=""5s2.5p2.(1S).5d""","=""2D""","=""5/2""","=""""","=""19.20184""","=""""","=""""","=""0.2690""","=""  56         :    14  5s2.5p2.(3P).5d  2D   ""","=""L11993"""
"=""5s2.5p2.(1S).5d""","=""2D""","=""3/2""","=""""","=""19.27011""","=""""","=""""","=""0.0683""","=""  68         :    24  5s2.5p2.(3P).5d  2D   ""","=""L11993"""
"=""5s2.5p2.(1D).5d""","=""2S""","=""1/2""","=""""","=""19.59460""","=""""","=""""","=""0.3245""","=""  39         :    21  5s.(2S).5p4.(1S) 2S   ""","=""L11993"""
"=""5s2.5p2.(3P).7s""","=""4P""","=""1/2""","=""""","=""21.46207""","=""""","=""""","=""1.8675""","=""  68         :    23  5s2.5p2.(3P).7s  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).7s""","=""4P""","=""3/2""","=""""","=""22.26881""","=""""","=""""","=""0.8067""","=""  86         :    11  5s2.5p2.(3P).7s  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).7s""","=""4P""","=""5/2""","=""""","=""22.77875""","=""""","=""""","=""0.5099""","=""  72         :    26  5s2.5p2.(1D).7s  2D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4F""","=""3/2""","=""""","=""21.51216""","=""""","=""""","=""-1.2666""","=""  55         :    15  5s2.5p2.(3P).6d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4F""","=""7/2""","=""""","=""22.35408""","=""""","=""""","=""0.8419""","=""  62         :    30  5s2.5p2.(3P).6d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4F""","=""5/2""","=""""","=""22.37356""","=""""","=""""","=""0.0195""","=""  56         :    29  5s2.5p2.(3P).6d  4P   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4P""","=""5/2""","=""""","=""21.64076""","=""""","=""""","=""-0.7328""","=""  17         :    31  5s2.5p2.(3P).6d  4F   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4P""","=""3/2""","=""""","=""22.98143""","=""""","=""""","=""1.3407""","=""  48         :    22  5s2.5p2.(3P).6d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4P""","=""1/2""","=""""","=""23.00823""","=""""","=""""","=""0.0268""","=""  74         :    13  5s2.5p2.(1D).6d  2S   ""","=""L11993"""
"=""5s2.5p2.(3P).7s""","=""2P""","=""1/2""","=""""","=""22.32856""","=""""","=""""","=""-0.6797""","=""  50         :    19  5s2.5p2.(3P).6d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).7s""","=""2P""","=""3/2""","=""""","=""22.88043""","=""""","=""""","=""0.5519""","=""  57         :    27  5s2.5p2.(1D).7s  2D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""2P""","=""3/2""","=""""","=""22.33037""","=""""","=""""","=""-0.5501""","=""  32         :    35  5s2.5p2.(3P).6d  4F   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""2P""","=""1/2""","=""""","=""23.15941""","=""""","=""""","=""0.8290""","=""  68         :    11  5s2.5p2.(3P).6d  4D   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4D""","=""1/2""","=""""","=""22.42184""","=""""","=""""","=""-0.7376""","=""  61         :    21  5s2.5p2.(3P).7s  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4D""","=""3/2""","=""""","=""22.57584""","=""""","=""""","=""0.1540""","=""  33         :    27  5s2.5p2.(3P).6d  2P   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4D""","=""7/2""","=""""","=""22.76274""","=""""","=""""","=""0.1869""","=""  32         :    25  5s2.5p2.(3P).6d  4F   ""","=""L11993"""
"=""5s2.5p2.(3P).6d""","=""4D""","=""5/2""","=""""","=""22.94054""","=""""","=""""","=""0.1778""","=""  50         :    19  5s2.5p2.(3P).6d  4P   ""","=""L11993"""
