Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  91         :     9  1S             ""","=""L11994"""
"=""5s2.5p2""","=""3P""","=""1""","=""""","=""0.84656""","=""""","=""""","=""0.84656""","="" 100                                 ""","=""L11994"""
"=""5s2.5p2""","=""3P""","=""2""","=""""","=""1.36159""","=""""","=""""","=""0.5150""","=""  72         :    28  1D             ""","=""L11994"""
"=""5s2.5p2""","=""1D""","=""2""","=""""","=""2.79361""","=""""","=""""","=""1.4320""","=""  72         :    28  3P             ""","=""L11994"""
"=""5s2.5p2""","=""1S""","=""0""","=""""","=""4.60936""","=""""","=""""","=""1.8157""","=""  91         :     9  3P             ""","=""L11994"""
"=""5s.5p3""","=""5S*""","=""2""","=""""","=""9.68118""","=""""","=""""","=""5.0718""","=""  95         :     4  5s.5p3    3P*  ""","=""L11994"""
"=""5s.5p3""","=""3D*""","=""1""","=""""","=""12.28026""","=""""","=""""","=""2.5991""","=""  76         :    11  5s2.5p.5d 3D*  ""","=""L11994"""
"=""5s.5p3""","=""3D*""","=""2""","=""""","=""12.34164""","=""""","=""""","=""0.0614""","=""  74         :    12  5s.5p3    3P*  ""","=""L11994"""
"=""5s.5p3""","=""3D*""","=""3""","=""""","=""12.69437""","=""""","=""""","=""0.3527""","=""  88         :    12  5s2.5p.5d 3D*  ""","=""L11994"""
"=""5s.5p3""","=""3P*""","=""0""","=""""","=""14.21578""","=""""","=""""","=""1.5214""","=""  89         :    11  5s2.5p.5d 3P*  ""","=""L11994"""
"=""5s.5p3""","=""3P*""","=""2""","=""""","=""14.25979""","=""""","=""""","=""0.0440""","=""  42         :    18  5s.5p3    1D*  ""","=""L11994"""
"=""5s.5p3""","=""3P*""","=""1""","=""""","=""14.31745""","=""""","=""""","=""0.0577""","=""  78         :    10  5s2.5p.5d 3P*  ""","=""L11994"""
"=""5s2.5p.5d""","=""1D*""","=""2""","=""""","=""15.27324""","=""""","=""""","=""0.9558""","=""  36         :    28  5s.5p3    3P*  ""","=""L11994"""
"=""5s2.5p.5d""","=""3F*""","=""2""","=""""","=""16.23090""","=""""","=""""","=""0.9577""","=""  88         :     7  5s.5p3    1D*  ""","=""L11994"""
"=""5s2.5p.5d""","=""3F*""","=""3""","=""""","=""16.58127""","=""""","=""""","=""0.3504""","=""  94                                 ""","=""L11994"""
"=""5s.5p3""","=""3S*""","=""1""","=""""","=""16.82180""","=""""","=""""","=""0.2405""","=""  60         :    30  5s.5p3    1P*  ""","=""L11994"""
"=""5s2.5p.5d""","=""3D*""","=""1""","=""""","=""17.77834""","=""""","=""""","=""0.9565""","=""  30         :    21  5s2.5p.5d 1P*  ""","=""L11994"""
"=""5s2.5p.5d""","=""3D*""","=""3""","=""""","=""18.82973""","=""""","=""""","=""1.0514""","=""  79         :    10  5s.5p3    3D*  ""","=""L11994"""
"=""5s2.5p.5d""","=""3D*""","=""2""","=""""","=""18.86953""","=""""","=""""","=""0.0398""","=""  49         :    16  5s2.5p.5d 1D*  ""","=""L11994"""
