Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10.5s""","=""2S""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3466"""
"=""4d10.5p""","=""2P*""","=""1/2""","=""""","=""7.08955""","=""""","=""""","=""7.08955""","="""""
"=""4d10.5p""","=""2P*""","=""3/2""","=""""","=""7.62790""","=""""","=""""","=""0.5384""","="""""
"=""4d9.5s2""","=""2D""","=""5/2""","=""""","=""14.32869""","=""""","=""""","=""6.7008""","="""""
"=""4d9.5s2""","=""2D""","=""3/2""","=""""","=""15.17750""","=""""","=""""","=""0.8488""","="""""
"=""4d10.6s""","=""2S""","=""1/2""","=""""","=""15.73040""","=""""","=""""","=""0.5529""","="""""
"=""4d10.5d""","=""2D""","=""3/2""","=""""","=""15.92612""","=""""","=""""","=""0.1957""","="""""
"=""4d10.5d""","=""2D""","=""5/2""","=""""","=""15.96204""","=""""","=""""","=""0.0359""","="""""
"=""4d10.6p""","=""2P*""","=""1/2""","=""""","=""17.92608""","=""""","=""""","=""1.9640""","="""""
"=""4d10.6p""","=""2P*""","=""3/2""","=""""","=""18.09210""","=""""","=""""","=""0.1660""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""""","=""19.6922""","=""?""","=""""","=""1.6001""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""","=""""","=""20.7832""","=""?""","=""""","=""1.091""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""1/2""","=""""","=""21.29657""","=""?""","=""""","=""0.5134""","="""""
"=""4d10.4f""","=""2F*""","=""5/2""","=""""","=""20.08157""","=""""","=""""","=""-1.2150""","="""""
"=""4d10.4f""","=""2F*""","=""3/2""","=""""","=""20.08256""","=""""","=""""","=""0.0010""","="""""
"=""4d10.7s""","=""2S""","=""1/2""","=""""","=""21.00662""","=""""","=""""","=""0.9241""","="""""
"=""4d10.6d""","=""2D""","=""3/2""","=""""","=""21.14325""","=""""","=""""","=""0.1366""","="""""
"=""4d10.6d""","=""2D""","=""5/2""","=""""","=""21.16600""","=""""","=""""","=""0.0228""","="""""
"=""4d10.7p""","=""2P*""","=""1/2""","=""""","=""22.38555""","=""?""","=""""","=""1.2195""","="""""
"=""4d10.7p""","=""2P*""","=""3/2""","=""""","=""22.45985""","=""?""","=""""","=""0.0743""","="""""
"=""4d10.5g""","=""2G""","=""7/2,9/2""","=""""","=""23.12578""","=""""","=""""","=""0.6659""","="""""
"=""4d10.8s""","=""2S""","=""1/2""","=""""","=""23.47884""","=""""","=""""","=""0.3531""","="""""
"=""4d10.7d""","=""2D""","=""3/2""","=""""","=""23.56115""","=""""","=""""","=""0.0823""","="""""
"=""4d10.7d""","=""2D""","=""5/2""","=""""","=""23.57335""","=""""","=""""","=""0.0122""","="""""
"=""4d10.6g""","=""2G""","=""7/2,9/2""","=""""","=""24.62920""","=""""","=""""","=""1.0558""","="""""
"=""4d10.9s""","=""2S""","=""1/2""","=""""","=""24.93930""","=""?""","=""""","=""0.3101""","="""""
"=""4d10.7g""","=""2G""","=""7/2,9/2""","=""""","=""25.53595""","=""""","=""""","=""0.5967""","="""""
"=""In IV (4d10 1S<0>)""","=""Limit""","=""---""","=""""","=""28.04415""","=""""","=""0.00012""","=""""","=""L4327"""
