Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3466"""
"=""4d9.5s""","=""3D""","=""3""","=""""","=""15.9673""","=""""","=""""","=""15.9673""","="""""
"=""4d9.5s""","=""3D""","=""2""","=""""","=""16.2396""","=""""","=""""","=""0.272""","="""""
"=""4d9.5s""","=""3D""","=""1""","=""""","=""16.8486""","=""""","=""""","=""0.609""","="""""
"=""4d9.5s""","=""1D""","=""2""","=""""","=""17.2045""","=""""","=""""","=""0.356""","="""""
"=""4d9.5p""","=""3P*""","=""2""","=""""","=""24.0534""","=""""","=""""","=""6.849""","="""""
"=""4d9.5p""","=""3P*""","=""1""","=""""","=""24.8789""","=""""","=""""","=""0.826""","="""""
"=""4d9.5p""","=""3P*""","=""0""","=""""","=""25.4238""","=""""","=""""","=""0.545""","="""""
"=""4d9.5p""","=""3F*""","=""3""","=""""","=""24.3884""","=""""","=""""","=""-1.035""","="""""
"=""4d9.5p""","=""3F*""","=""4""","=""""","=""24.9404""","=""""","=""""","=""0.552""","="""""
"=""4d9.5p""","=""3F*""","=""2""","=""""","=""25.4610""","=""""","=""""","=""0.521""","="""""
"=""4d9.5p""","=""3D*""","=""2""","=""""","=""25.0608""","=""""","=""""","=""-0.400""","="""""
"=""4d9.5p""","=""3D*""","=""3""","=""""","=""25.5349""","=""""","=""""","=""0.474""","="""""
"=""4d9.5p""","=""3D*""","=""1""","=""""","=""26.2413""","=""""","=""""","=""0.706""","="""""
"=""4d9.5p""","=""1P*""","=""1""","=""""","=""25.8758""","=""""","=""""","=""-0.365""","="""""
"=""4d9.5p""","=""1F*""","=""3""","=""""","=""26.0225""","=""""","=""""","=""0.147""","="""""
"=""4d9.5p""","=""1D*""","=""2""","=""""","=""26.3820""","=""""","=""""","=""0.360""","="""""
"=""In V (4d9 2D<5/2>)""","=""Limit""","=""---""","=""""","=""55.45""","=""""","=""0.04""","=""""","=""L11384"""
