Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d7.(4F).6s""","=""5F""","=""5""","=""""","=""0.000000""","=""""","=""0.000014""","=""""","=""1.38""","=""  89         :    10  5d7.(2G).6s  3G   ""","=""L4457"""
"=""5d7.(4F).6s""","=""5F""","=""4""","=""""","=""0.593626""","=""""","=""0.000011""","=""0.59363""","=""1.32""","=""  79         :    11  5d7.(4F).6s  3F   ""","=""L4457"""
"=""5d7.(4F).6s""","=""5F""","=""3""","=""""","=""1.015045""","=""""","=""0.000011""","=""0.42142""","=""""","=""  77         :     7  5d8          3F   ""","=""L4457"""
"=""5d7.(4F).6s""","=""5F""","=""2""","=""""","=""1.401955""","=""""","=""0.000010""","=""0.38691""","=""1.08""","=""  42         :    20  5d8          3F   ""","=""L4457"""
"=""5d7.(4F).6s""","=""5F""","=""1""","=""""","=""1.482582""","=""""","=""0.000011""","=""0.08063""","=""0.63""","=""  57         :    17  5d8          3P   ""","=""L4457"""
"=""5d8""","=""3F""","=""4""","=""""","=""0.280556""","=""""","=""0.000016""","=""-1.20203""","=""""","=""  90         :     4  5d8          1G   ""","=""L4457"""
"=""5d8""","=""3F""","=""3""","=""""","=""1.230895""","=""""","=""0.000015""","=""0.95034""","=""""","=""  84         :     8  5d7.(4F).6s  5F   ""","=""L4457"""
"=""5d8""","=""3F""","=""2""","=""""","=""2.158968""","=""""","=""0.000010""","=""0.92807""","=""0.98""","=""  27         :    15  5d7.(2D2).6s 1D   ""","=""L4457"""
"=""5d8""","=""3P""","=""2""","=""""","=""0.383131""","=""""","=""0.000014""","=""-1.77584""","=""""","=""  33         :    25  5d7.(2P).6s  3P   ""","=""L4457"""
"=""5d8""","=""3P""","=""1""","=""""","=""1.123572""","=""""","=""0.000012""","=""0.74044""","=""1.04""","=""  25         :    28  5d7.(2P).6s  3P   ""","=""L4457"""
"=""5d8""","=""3P""","=""0""","=""""","=""1.390126""","=""""","=""0.000024""","=""0.26655""","=""""","=""  59         :    28  5d7.(2P).6s  3P   ""","=""L4457"""
"=""5d8""","=""1D""","=""2""","=""""","=""1.112752""","=""""","=""0.000011""","=""-0.27737""","=""""","=""  15         :    38  5d7.(4F).6s  5F   ""","=""L4457"""
"=""5d7.(4F).6s""","=""3F""","=""4""","=""""","=""1.452984""","=""""","=""0.000009""","=""0.34023""","=""1.21""","=""  48         :    18  5d7.(4F).6s  5F   ""","=""L4457"""
"=""5d7.(4F).6s""","=""3F""","=""3""","=""""","=""2.169632""","=""""","=""0.000000""","=""0.716648""","=""1.16""","=""  57         :    11  5d7.(2D2).6s 3D   ""","=""L4457"""
"=""5d7.(4F).6s""","=""3F""","=""2""","=""""","=""2.785650""","=""""","=""0.000007""","=""0.61602""","=""1.09""","=""  26         :    22  5d8          1D   ""","=""L4457"""
"=""5d7.(4P).6s""","=""5P""","=""3""","=""""","=""1.576417""","=""""","=""0.000010""","=""-1.20923""","=""1.57""","=""  81         :     6  5d7.(4F).6s  5F   ""","=""L4457"""
"=""5d7.(4P).6s""","=""5P""","=""2""","=""""","=""1.943607""","=""""","=""0.000009""","=""0.36719""","=""1.52""","=""  59         :    15  5d8          3P   ""","=""L4457"""
"=""5d7.(4P).6s""","=""5P""","=""1""","=""""","=""2.315590""","=""""","=""0.000011""","=""0.37198""","=""2.06""","=""  63         :    23  5d8          3P   ""","=""L4457"""
"=""5d8""","=""1G""","=""4""","=""""","=""2.133788""","=""""","=""0.000007""","=""-0.18180""","=""1.24""","=""  23         :    38  5d6.6s2      5D   ""","=""L4457"""
"=""5d7.(2G).6s""","=""3G""","=""5""","=""""","=""2.166995""","=""""","=""0.000011""","=""0.03321""","=""1.19""","=""  66         :    20  5d7.(2H).6s  3H   ""","=""L4457"""
"=""5d7.(2G).6s""","=""3G""","=""4""","=""""","=""2.516166""","=""""","=""0.000007""","=""0.34917""","=""1.04""","=""  53         :    18  5d7.(2H).6s  3H   ""","=""L4457"""
"=""5d7.(2G).6s""","=""3G""","=""3""","=""""","=""2.875835""","=""""","=""0.000009""","=""0.35967""","=""0.91""","=""  67         :    10  5d6.6s2      5D   ""","=""L4457"""
"=""5d7.(4P).6s""","=""3P""","=""2""","=""""","=""2.348869""","=""""","=""0.000007""","=""-0.52697""","=""1.24""","=""  19         :    25  5d8          3P   ""","=""L4457"""
"=""5d7.(4P).6s""","=""3P""","=""1""","=""""","=""2.534316""","=""""","=""0.000010""","=""0.18545""","=""1.40""","=""  37         :    29  5d7.(2P).6s  1P   ""","=""L4457"""
"=""5d6.6s2""","=""5D""","=""4""","=""""","=""2.390296""","=""""","=""0.000007""","=""-0.14402""","=""1.26""","=""  43         :    23  5d8          1G   ""","=""L4457"""
"=""5d6.6s2""","=""5D""","=""3""","=""""","=""2.941849""","=""""","=""0.000007""","=""0.551553""","=""1.40""","=""  79         :     6  5d7.(4F).6s  3F   ""","=""L4457"""
"=""5d6.6s2""","=""5D""","=""2""","=""""","=""3.169491""","=""""","=""0.000007""","=""0.227642""","=""1.44""","=""  65         :    14  5d7.(4P).6s  3P   ""","=""L4457"""
"=""5d6.6s2""","=""5D""","=""1""","=""""","=""3.545990""","=""""","=""0.000009""","=""0.37650""","=""1.24""","=""  50         :    19  5d7.(4P).6s  3P   ""","=""L4457"""
"=""5d7.(2H).6s""","=""3H""","=""6""","=""""","=""2.760746""","=""""","=""0.000015""","=""-0.78524""","=""1.17""","=""  96         :     3  5d6.6s2      3H   ""","=""L4457"""
"=""5d7.(2H).6s""","=""3H""","=""5""","=""""","=""3.100990""","=""""","=""0.000009""","=""0.34024""","=""1.06""","=""  64         :    22  5d7.(2H).6s  1H   ""","=""L4457"""
"=""5d7.(2D2).6s""","=""3D""","=""3""","=""""","=""3.272102""","=""""","=""0.000007""","=""0.17111""","=""""","=""  49         :    22  5d7.(4F).6s  3F   ""","=""L4457"""
"=""5d7.(2F).6s""","=""3F""","=""3""","=""""","=""3.907795""","=""""","=""0.000007""","=""0.635693""","=""1.05""","=""  62         :    13  5d7.(2F).6s  1F   ""","=""L4457"""
"=""5d7.(2G).6s""","=""1G""","=""4""","=""""","=""4.255074""","=""""","=""0.000010""","=""0.34728""","=""""","=""  15         :    27  5d6.6s2      3H   ""","=""L4457"""
"=""5d7.(2P).6s""","=""3P""","=""2""","=""""","=""4.483343""","=""""","=""0.000010""","=""0.22827""","=""""","=""  21         :    12  5d6.6s2      1D2  ""","=""L4457"""
"=""5d6.6s2""","=""3H""","=""5""","=""""","=""4.577116""","=""""","=""0.000015""","=""0.09377""","=""""","=""  40         :    32  5d6.6s2      3G   ""","=""L4457"""
"=""5d7.(4F<9/2>).6p""","=""(9/2,1/2)*""","=""4""","=""""","=""5.526682""","=""""","=""0.000006""","=""0.94957""","=""1.41""","=""                                        ""","=""L4457"""
"=""5d7.(4F<9/2>).6p""","=""(9/2,1/2)*""","=""5""","=""""","=""5.827747""","=""""","=""0.000010""","=""0.30106""","=""1.28""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<9/2>).6p""","=""(9/2,1/2)*""","=""4""","=""""","=""6.236654""","=""""","=""0.000007""","=""0.40891""","=""1.61""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<9/2>).6p""","=""(9/2,1/2)*""","=""5""","=""""","=""6.364481""","=""""","=""0.000010""","=""0.12783""","=""1.55""","=""                                        ""","=""L4457"""
"=""5d7.(4F<7/2>).6p""","=""(7/2,1/2)*""","=""3""","=""""","=""6.351279""","=""""","=""0.000007""","=""-0.01320""","=""1.40""","=""                                        ""","=""L4457"""
"=""5d7.(4F<7/2>).6p""","=""(7/2,1/2)*""","=""4""","=""""","=""6.636284""","=""""","=""0.000007""","=""0.285005""","=""1.23""","=""                                        ""","=""L4457"""
"=""5d7.(4P<5/2>).6p""","=""(5/2,1/2)*""","=""2""","=""""","=""6.369313""","=""""","=""0.000007""","=""-0.266971""","=""1.70""","=""                                        ""","=""L4457"""
"=""5d7.(4P<5/2>).6p""","=""(5/2,1/2)*""","=""3""","=""""","=""6.595482""","=""""","=""0.000009""","=""0.22617""","=""1.43""","=""                                        ""","=""L4457"""
"=""5d7.(4F<3/2>).6p""","=""(3/2,1/2)*""","=""1""","=""""","=""6.444480""","=""""","=""0.000009""","=""-0.15100""","=""1.04""","=""                                        ""","=""L4457"""
"=""5d7.(4F<3/2>).6p""","=""(3/2,1/2)*""","=""2""","=""""","=""6.655308""","=""""","=""0.000007""","=""0.21083""","=""1.38""","=""                                        ""","=""L4457"""
"=""5d7.(4F<5/2>).6p""","=""(5/2,1/2)*""","=""2""","=""""","=""6.510418""","=""""","=""0.000007""","=""-0.144890""","=""1.23""","=""                                        ""","=""L4457"""
"=""5d7.(4F<5/2>).6p""","=""(5/2,1/2)*""","=""3""","=""""","=""6.924827""","=""""","=""0.000009""","=""0.41441""","=""1.30""","=""                                        ""","=""L4457"""
"=""5d7.(4F<9/2>).6p""","=""(9/2,3/2)*""","=""5""","=""""","=""6.656883""","=""""","=""0.000012""","=""-0.26794""","=""1.33""","=""                                        ""","=""L4457"""
"=""5d7.(4F<9/2>).6p""","=""(9/2,3/2)*""","=""4""","=""""","=""6.972119""","=""""","=""0.000007""","=""0.31524""","=""1.29""","=""                                        ""","=""L4457"""
"=""5d7.(4F<9/2>).6p""","=""(9/2,3/2)*""","=""3""","=""""","=""7.477937""","=""""","=""0.000010""","=""0.50582""","=""""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<7/2>).6p""","=""(7/2,1/2)*""","=""3""","=""""","=""6.703296""","=""""","=""0.000007""","=""-0.77464""","=""1.46""","=""                                        ""","=""L4457"""
"=""5d7.(4P<3/2>).6p""","=""(3/2,1/2)*""","=""1""","=""""","=""6.973061""","=""""","=""0.000011""","=""0.26977""","=""1.31""","=""                                        ""","=""L4457"""
"=""5d7.(4P<3/2>).6p""","=""(3/2,1/2)*""","=""2""","=""""","=""7.331555""","=""""","=""0.000011""","=""0.35849""","=""1.44""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<5/2>).6p""","=""(5/2,1/2)*""","=""2""","=""""","=""6.987032""","=""""","=""0.000010""","=""-0.34452""","=""1.77""","=""                                        ""","=""L4457"""
"=""""","=""5664*""","=""2""","=""""","=""7.023018""","=""""","=""0.000007""","=""0.03599""","=""1.29""","=""                                        ""","=""L4457"""
"=""5d7.(4P<1/2>).6p""","=""(1/2,1/2)*""","=""0""","=""""","=""7.051699""","=""""","=""0.000017""","=""0.02868""","=""""","=""                                        ""","=""L4457"""
"=""5d7.(4P<1/2>).6p""","=""(1/2,1/2)*""","=""1""","=""""","=""7.485327""","=""""","=""0.000012""","=""0.43363""","=""""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<3/2>).6p""","=""(3/2,1/2)*""","=""1""","=""""","=""7.226610""","=""""","=""0.000016""","=""-0.25872""","=""2.06""","=""                                        ""","=""L4457"""
"=""""","=""6046*""","=""2""","=""""","=""7.496104""","=""""","=""0.000011""","=""0.26949""","=""""","=""                                        ""","=""L4457"""
"=""5d6.6s.(6D<1/2>).6p""","=""(1/2,1/2)*""","=""0""","=""""","=""7.502454""","=""""","=""0.000017""","=""0.00635""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6147*""","=""3""","=""""","=""7.621828""","=""""","=""0.000010""","=""0.11937""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6148*""","=""4""","=""""","=""7.623795""","=""""","=""0.000010""","=""0.00197""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6197*""","=""5""","=""""","=""7.683308""","=""""","=""0.000010""","=""0.05951""","=""1.07""","=""                                        ""","=""L4457"""
"=""""","=""6273*""","=""4""","=""""","=""7.778026""","=""""","=""0.000011""","=""0.09472""","=""1.17""","=""                                        ""","=""L4457"""
"=""""","=""6376*""","=""2""","=""""","=""7.905876""","=""""","=""0.000011""","=""0.12785""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6420*""","=""3""","=""""","=""7.960860""","=""""","=""0.000012""","=""0.05498""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6454*""","=""3""","=""""","=""8.001972""","=""""","=""0.000015""","=""0.04111""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6516*""","=""5""","=""""","=""8.079822""","=""""","=""0.000014""","=""0.07785""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6520*""","=""1""","=""""","=""8.084050""","=""""","=""0.000012""","=""0.00423""","=""1.24""","=""                                        ""","=""L4457"""
"=""""","=""6548*""","=""3""","=""""","=""8.118705""","=""""","=""0.000011""","=""0.03466""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6580*""","=""2""","=""""","=""8.158807""","=""""","=""0.000011""","=""0.04010""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6654*""","=""6""","=""""","=""8.250494""","=""""","=""0.000020""","=""0.09169""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6678*""","=""5""","=""""","=""8.280305""","=""""","=""0.000020""","=""0.02981""","=""""","=""                                        ""","=""L4457"""
"=""""","=""6690*""","=""3""","=""""","=""8.295674""","=""""","=""0.000011""","=""0.01537""","=""""","=""                                        ""","=""L4457"""
"=""""","=""7311*""","=""4""","=""""","=""9.064533""","=""""","=""0.000016""","=""0.76886""","=""""","=""                                        ""","=""L4457"""
"=""Ir III (5d7 4F<9/2>)""","=""Limit""","=""---""","=""[""","=""17.0""","=""]""","=""0.3""","=""""","=""""","=""                                        ""","=""L16139"""
