Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d6""","=""5D""","=""4""","=""""","=""0.000000""","=""""","=""0.000022""","=""""","=""  81                                :     9  5d6                 3F2  ""","=""L19451,L8672"""
"=""5d6""","=""5D""","=""2""","=""""","=""0.642022""","=""""","=""0.000024""","=""0.64202""","=""  61                                :    14  5d6                 3P2  ""","=""L19451"""
"=""5d6""","=""5D""","=""3""","=""""","=""0.722098""","=""""","=""0.000021""","=""0.08008""","=""  91                                :     4  5d6                 3F2  ""","=""L19451"""
"=""5d6""","=""5D""","=""1""","=""""","=""1.05716""","=""""","=""0.00003""","=""0.33506""","=""  81                                :     9  5d6                 3P1  ""","=""L19451"""
"=""5d6""","=""5D""","=""0""","=""""","=""1.07706""","=""""","=""0.00005""","=""0.01990""","=""  75                                :    14  5d6                 3P1  ""","=""L19451"""
"=""5d6""","=""3H""","=""4""","=""""","=""1.803514""","=""""","=""0.000022""","=""0.72645""","=""  24                                :    24  5d6                 3G   ""","=""L19451"""
"=""5d6""","=""3H""","=""6""","=""""","=""2.36771""","=""""","=""0.00003""","=""0.56420""","=""  84                                :    16  5d6                 1I   ""","=""L19451"""
"=""5d6""","=""3H""","=""5""","=""""","=""3.552401""","=""""","=""0.000024""","=""1.18469""","=""  53                                :    46  5d6                 3G   ""","=""L19451"""
"=""5d6""","=""3G""","=""5""","=""""","=""2.289172""","=""""","=""0.000022""","=""-1.26323""","=""  52                                :    47  5d6                 3H   ""","=""L19451"""
"=""5d6""","=""3G""","=""4""","=""""","=""3.464199""","=""""","=""0.000024""","=""1.17503""","=""  59                                :    17  5d6                 3F2  ""","=""L19451"""
"=""5d6""","=""3G""","=""3""","=""""","=""3.805488""","=""""","=""0.000024""","=""0.34129""","=""  53                                :    34  5d6                 3F2  ""","=""L19451"""
"=""5d6""","=""3P2""","=""2""","=""""","=""2.37166""","=""""","=""0.00003""","=""-1.43383""","=""  27                                :    36  5d6                 5D   ""","=""L19451"""
"=""5d6""","=""3P2""","=""1""","=""""","=""4.27330""","=""""","=""0.00005""","=""1.90164""","=""  62                                :    18  5d6                 3D   ""","=""L19451"""
"=""5d6""","=""3F2""","=""3""","=""""","=""2.627229""","=""""","=""0.000022""","=""-1.64607""","=""  35                                :    34  5d6                 3G   ""","=""L19451"""
"=""5d6""","=""3F2""","=""2""","=""""","=""2.74488""","=""""","=""0.00003""","=""0.11765""","=""  69                                :    11  5d6                 1D2  ""","=""L19451"""
"=""5d6""","=""3F2""","=""4""","=""""","=""3.219826""","=""""","=""0.000025""","=""0.47495""","=""  56  5d6 3H                        :    23  5d6                 3F2  ""","=""L19451"""
"=""5d6""","=""3D""","=""1""","=""""","=""3.25313""","=""""","=""0.00004""","=""0.03330""","=""  72                                :    16  5d6                 3P2  ""","=""L19451"""
"=""5d6""","=""3D""","=""2""","=""""","=""3.430707""","=""""","=""0.000025""","=""0.17758""","=""  62                                :    16  5d6                 3P1  ""","=""L19451"""
