Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00004""","=""""","=""""","="" 100                                    ""","=""L12392"""
"=""3p5.4s""","=""3P*""","=""2""","=""""","=""20.147767""","=""""","=""0.000012""","=""20.14777""","=""1.48""","=""  95                                    ""","=""L12188"""
"=""3p5.4s""","=""3P*""","=""1""","=""""","=""20.238213""","=""""","=""0.000012""","=""0.09045""","=""1.47""","=""  68         :    21  3p5.3d 3P*        ""","=""L12188"""
"=""3p5.4s""","=""3P*""","=""0""","=""""","=""20.475420""","=""""","=""0.000025""","=""0.23721""","=""""","=""  78         :    22  3p5.3d 3P*        ""","=""L12188"""
"=""3p5.3d""","=""3P*""","=""0""","=""""","=""20.262998""","=""""","=""0.000012""","=""-0.21242""","=""""","=""  77         :    22  3p5.4s 3P*        ""","=""L12188"""
"=""3p5.3d""","=""3P*""","=""1""","=""""","=""20.394409""","=""""","=""0.000012""","=""0.13141""","=""1.38""","=""  76         :    14  3p5.4s 3P*        ""","=""L12188"""
"=""3p5.3d""","=""3P*""","=""2""","=""""","=""20.448453""","=""""","=""0.000012""","=""0.05404""","=""1.47""","=""  94                                    ""","=""L12188"""
"=""3p5.4s""","=""1P*""","=""1""","=""""","=""20.638075""","=""""","=""0.000012""","=""0.18962""","=""1.07""","=""  81         :    18  3p5.4s 3P*        ""","=""L12188"""
"=""3p5.3d""","=""3F*""","=""4""","=""""","=""21.083414""","=""""","=""0.000012""","=""0.44534""","=""(1.25)""","="" 100                                    ""","=""L12188"""
"=""3p5.3d""","=""3F*""","=""3""","=""""","=""21.180357""","=""""","=""0.000012""","=""0.09694""","=""1.09""","=""  98                                    ""","=""L12188"""
"=""3p5.3d""","=""3F*""","=""2""","=""""","=""21.266092""","=""""","=""0.000012""","=""0.08573""","=""1.36""","=""  98                                    ""","=""L12188"""
"=""3p5.3d""","=""1D*""","=""2""","=""""","=""22.236467""","=""""","=""0.000012""","=""0.97038""","=""(1.07)""","=""  56         :    42  3p5.3d 3D*        ""","=""L12188"""
"=""3p5.3d""","=""3D*""","=""3""","=""""","=""22.242244""","=""""","=""0.000012""","=""0.00578""","=""(1.20)""","=""  60         :    40  3p5.3d 1F*        ""","=""L12188"""
"=""3p5.3d""","=""3D*""","=""2""","=""""","=""22.365844""","=""""","=""0.000012""","=""0.12360""","=""(1.10)""","=""  57         :    43  3p5.3d 1D*        ""","=""L12188"""
"=""3p5.3d""","=""3D*""","=""1""","=""""","=""22.372812""","=""""","=""0.000012""","=""0.00697""","=""(0.50)""","="" 100                                    ""","=""L12188"""
"=""3p5.3d""","=""1F*""","=""3""","=""""","=""22.393865""","=""""","=""0.000012""","=""0.02105""","=""(1.13)""","=""  59         :    39  3p5.3d 3D*        ""","=""L12188"""
"=""3p5.4p""","=""3S""","=""1""","=""""","=""22.714413""","=""""","=""0.000012""","=""0.32055""","=""1.96""","=""  97                                    ""","=""L12188"""
"=""3p5.4p""","=""3D""","=""3""","=""""","=""23.108646""","=""""","=""0.000012""","=""0.39423""","=""1.35""","="" 100                                    ""","=""L12188"""
"=""3p5.4p""","=""3D""","=""2""","=""""","=""23.145544""","=""""","=""0.000012""","=""0.03690""","=""1.11""","=""  75         :    23  3p5.4p 1D         ""","=""L12188"""
"=""3p5.4p""","=""3D""","=""1""","=""""","=""23.250385""","=""""","=""0.000012""","=""0.10484""","=""0.72""","=""  77         :    14  3p5.4p 1P         ""","=""L12188"""
"=""3p5.4p""","=""1D""","=""2""","=""""","=""23.327664""","=""""","=""0.000012""","=""0.07728""","=""1.19""","=""  52         :    40  3p5.4p 3P         ""","=""L12188"""
"=""3p5.4p""","=""1P""","=""1""","=""""","=""23.462708""","=""""","=""0.000012""","=""0.13504""","=""0.95""","=""  53         :    24  3p5.4p 3P         ""","=""L12188"""
"=""3p5.4p""","=""3P""","=""2""","=""""","=""23.514521""","=""""","=""0.000012""","=""0.05181""","=""1.31""","=""  57         :    26  3p5.4p 1D         ""","=""L12188"""
"=""3p5.4p""","=""3P""","=""0""","=""""","=""23.528233""","=""""","=""0.000012""","=""0.01371""","=""""","=""  97                                    ""","=""L12188"""
"=""3p5.4p""","=""3P""","=""1""","=""""","=""23.573202""","=""""","=""0.000012""","=""0.04497""","=""1.38""","=""  66         :    32  3p5.4p 1P         ""","=""L12188"""
"=""3p5.4p""","=""1S""","=""0""","=""""","=""24.148675""","=""""","=""0.000012""","=""0.57547""","=""""","=""  93         :     3  3p5.4p 3P         ""","=""L12188"""
"=""3p5.3d""","=""1P*""","=""1""","=""""","=""25.039551""","=""""","=""0.000025""","=""0.89088""","=""(1.00)""","=""  54         :    42  3p5.4d 1P*        ""","=""L12188"""
"=""3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""26.355470""","=""""","=""0.000012""","=""1.31592""","=""1.51""","="" 100                                    ""","=""L12188"""
"=""3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""26.407221""","=""""","=""0.000012""","=""0.05175""","=""1.19""","=""  97                                    ""","=""L12188"""
