Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p5""","=""2P*""","=""3/2""","=""""","=""0.0000""","=""""","=""0.0004""","=""""","=""L7185"""
"=""3s2.3p5""","=""2P*""","=""1/2""","=""""","=""0.268475""","=""""","=""0.000025""","=""0.2685""","=""L7248"""
"=""3s.3p6""","=""2S""","=""1/2""","=""""","=""16.1936""","=""""","=""0.0004""","=""15.9251""","=""L7185"""
"=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""""","=""22.7980""","=""""","=""0.0009""","=""6.6044""","=""L7185"""
"=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""""","=""22.9713""","=""""","=""0.0009""","=""0.173""","=""L7185"""
"=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""""","=""23.6707""","=""""","=""0.0009""","=""0.699""","=""L7185"""
"=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""""","=""23.8151""","=""""","=""0.0009""","=""0.144""","=""L7185"""
"=""3s2.3p4.(3P).3d""","=""2F""","=""5/2""","=""""","=""24.9413""","=""""","=""0.0010""","=""1.126""","=""L7185"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""""","=""25.717038""","=""""","=""0.000025""","=""0.7757""","=""L7185"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""""","=""25.873990""","=""""","=""0.000025""","=""0.15695""","=""L7185"""
"=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""""","=""25.969891""","=""""","=""0.000025""","=""0.09590""","=""L7185"""
"=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""""","=""26.374588""","=""""","=""0.000025""","=""0.40470""","=""L7185"""
"=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""""","=""26.561420""","=""""","=""0.000025""","=""0.18683""","=""L7185"""
"=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""""","=""27.9028""","=""""","=""0.0012""","=""1.3414""","=""L7185"""
"=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""""","=""27.9069""","=""""","=""0.0012""","=""0.004""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""""","=""29.44773""","=""""","=""0.00004""","=""1.541""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""""","=""29.49735""","=""""","=""0.00004""","=""0.04962""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""","=""""","=""29.56466""","=""""","=""0.00004""","=""0.06731""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""""","=""29.85910""","=""""","=""0.00004""","=""0.29444""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""""","=""29.93518""","=""""","=""0.00004""","=""0.07608""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""""","=""30.02467""","=""""","=""0.00004""","=""0.08949""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""""","=""30.06948""","=""""","=""0.00004""","=""0.04481""","=""L7185"""
"=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""""","=""29.8854""","=""""","=""0.0015""","=""-0.184""","=""L7185"""
"=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""""","=""30.0722""","=""""","=""0.0015""","=""0.187""","=""L7185"""
"=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""""","=""29.9629""","=""""","=""0.0015""","=""-0.109""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""""","=""30.14311""","=""""","=""0.00005""","=""0.180""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""""","=""30.18373""","=""""","=""0.00005""","=""0.04062""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""""","=""30.24562""","=""""","=""0.00005""","=""0.06189""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""""","=""30.42353""","=""""","=""0.00005""","=""0.17791""","=""L7185"""
"=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""""","=""30.3170""","=""""","=""0.0015""","=""-0.107""","=""L7185"""
"=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""""","=""30.5014""","=""""","=""0.0015""","=""0.184""","=""L7185"""
"=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""""","=""30.57768""","=""""","=""0.00006""","=""0.076""","=""L7185"""
"=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""","=""""","=""31.1024""","=""""","=""0.0016""","=""0.525""","=""L7185"""
"=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""","=""""","=""32.5865""","=""""","=""0.0017""","=""1.484""","=""L7185"""
"=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""","=""""","=""32.7033""","=""""","=""0.0017""","=""0.117""","=""L7185"""
"=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""","=""""","=""35.8810""","=""""","=""0.0021""","=""3.178""","=""L7185"""
"=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""","=""""","=""35.8958""","=""""","=""0.0021""","=""0.015""","=""L7185"""
"=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""","=""""","=""37.4933""","=""""","=""0.0022""","=""1.597""","=""L7185"""
