Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0.00025""","=""""","=""L7185"""
"=""3s2.3p4""","=""3P""","=""1""","=""""","=""0.20726""","=""""","=""0.00004""","=""0.2073""","=""L7248"""
"=""3s2.3p4""","=""3P""","=""0""","=""""","=""0.28779""","=""""","=""0.00025""","=""0.0805""","=""L3633"""
"=""3s2.3p4""","=""1D""","=""2""","=""""","=""2.03136""","=""""","=""0.00004""","=""1.7436""","=""L3452"""
"=""3s2.3p4""","=""1S""","=""0""","=""""","=""4.77913""","=""""","=""0.00006""","=""2.74777""","=""L3453"""
"=""3s.3p5""","=""3P*""","=""2""","=""""","=""16.63642""","=""""","=""0.00025""","=""11.8573""","=""L3633"""
"=""3s.3p5""","=""3P*""","=""1""","=""""","=""16.81949""","=""""","=""0.00025""","=""0.1831""","=""L3633"""
"=""3s.3p5""","=""3P*""","=""0""","=""""","=""16.91802""","=""""","=""0.00025""","=""0.0985""","=""L3633"""
"=""3s.3p5""","=""1P*""","=""1""","=""""","=""21.21859""","=""""","=""0.00025""","=""4.3006""","=""L3633"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""3""","=""""","=""23.5510""","=""""","=""0.0009""","=""2.3324""","=""L7185"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","=""""","=""23.7062""","=""""","=""0.0009""","=""0.155""","=""L7185"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","=""""","=""23.7306""","=""""","=""0.0009""","=""0.024""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""1D*""","=""2""","=""""","=""26.8286""","=""""","=""0.0011""","=""3.098""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""","=""""","=""27.9516""","=""""","=""0.0012""","=""1.123""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""3P*""","=""1""","=""""","=""28.0306""","=""""","=""0.0012""","=""0.079""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""3P*""","=""0""","=""""","=""28.2250""","=""""","=""0.0012""","=""0.194""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""1F*""","=""3""","=""""","=""30.0631""","=""""","=""0.0015""","=""1.838""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""3S*""","=""1""","=""""","=""30.9796""","=""""","=""0.0015""","=""0.917""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3P*""","=""2""","=""""","=""31.7439""","=""""","=""0.0016""","=""0.764""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3P*""","=""1""","=""""","=""31.8791""","=""""","=""0.0016""","=""0.135""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3P*""","=""0""","=""""","=""31.9642""","=""""","=""0.0016""","=""0.085""","=""L7185"""
"=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","=""""","=""32.3487""","=""""","=""0.0017""","=""0.384""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3D*""","=""3""","=""""","=""32.4371""","=""""","=""0.0017""","=""0.088""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3D*""","=""2""","=""""","=""32.5866""","=""""","=""0.0017""","=""0.149""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""3D*""","=""1""","=""""","=""32.6894""","=""""","=""0.0017""","=""0.103""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""1D*""","=""2""","=""""","=""33.8970""","=""""","=""0.0019""","=""1.208""","=""L7185"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""1""","=""""","=""34.4418""","=""""","=""0.0019""","=""0.545""","=""L7185"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""2""","=""""","=""34.4490""","=""""","=""0.0019""","=""0.007""","=""L7185"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""3""","=""""","=""34.4659""","=""""","=""0.0019""","=""0.017""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""1F*""","=""3""","=""""","=""34.6693""","=""""","=""0.0020""","=""0.203""","=""L7185"""
"=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","=""""","=""35.0095""","=""""","=""0.0020""","=""0.340""","=""L7185"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""","=""""","=""36.3747""","=""""","=""0.0021""","=""1.365""","=""L7185"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""""","=""36.3858""","=""""","=""0.0021""","=""0.011""","=""L7185"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""""","=""36.4166""","=""""","=""0.0021""","=""0.031""","=""L7185"""
"=""3s2.3p3.(2P*).4s""","=""1P*""","=""1""","=""""","=""36.9637""","=""""","=""0.0022""","=""0.547""","=""L7185"""
"=""3s2.3p3.(2P*).3d""","=""1P*""","=""1""","=""""","=""37.0586""","=""""","=""0.0022""","=""0.095""","=""L7185"""
"=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","=""""","=""45.612""","=""""","=""0.004""","=""8.553""","=""L7185"""
"=""K V (3p3 4S*<3/2>)""","=""Limit""","=""---""","=""[""","=""60.917""","=""]""","=""0.019""","=""""","=""L11770"""
