Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p6""","=""1S""","=""0""","=""""","=""0.00000000""","=""""","=""0.00000016""","=""""","=""L12196"""
"=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""9.91523229""","=""""","=""""","=""9.9152323""","="""""
"=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""10.03240062""","=""""","=""""","=""0.1171683""","="""""
"=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""""","=""10.56241430""","=""""","=""""","=""0.5300137""","="""""
"=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""""","=""10.64363486""","=""""","=""""","=""0.0812206""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""""","=""11.30345525""","=""""","=""""","=""0.6598204""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""""","=""11.66602815""","=""""","=""""","=""0.3625729""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""""","=""11.44304735""","=""""","=""""","=""-0.2229808""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""""","=""11.44465635""","=""""","=""""","=""0.0016090""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""""","=""11.52611591""","=""""","=""""","=""0.0814596""","="""""
"=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""""","=""11.54582278""","=""""","=""""","=""0.0197069""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""""","=""11.9981361""","=""""","=""""","=""0.4523133""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""""","=""12.0370298""","=""""","=""""","=""0.038894""","="""""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""""","=""12.10035133""","=""""","=""""","=""0.0633215""","="""""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""""","=""12.14365295""","=""""","=""""","=""0.0433016""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""12.1117410""","=""""","=""""","=""-0.0319119""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""12.3545557""","=""""","=""""","=""0.242815""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""""","=""12.1253182""","=""""","=""""","=""-0.229237""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""""","=""12.1785051""","=""""","=""""","=""0.053187""","="""""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""12.14042693""","=""""","=""""","=""-0.0380782""","="""""
"=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""12.25646659""","=""""","=""""","=""0.1160397""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""12.2579989""","=""""","=""""","=""0.0015323""","="""""
"=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""12.2842759""","=""""","=""""","=""0.026277""","="""""
"=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""12.3521591""","=""""","=""""","=""0.067883""","="""""
"=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""12.38528353""","=""""","=""""","=""0.0331244""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""12.75638623""","=""""","=""""","=""0.3711027""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""12.86480297""","=""""","=""""","=""0.1084167""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""12.78470926""","=""""","=""""","=""-0.0800937""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""12.78539212""","=""""","=""""","=""0.0006829""","="""""
"=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""12.8033943""","=""""","=""""","=""0.0180022""","="""""
"=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""13.0043697""","=""""","=""""","=""0.200975""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""12.80923809""","=""""","=""""","=""-0.1951316""","="""""
"=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""12.81533065""","=""""","=""""","=""0.0060926""","="""""
"=""4s2.4p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""12.8252590""","=""""","=""""","=""0.0099284""","="""""
"=""4s2.4p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""12.8573398""","=""""","=""""","=""0.032081""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""12.86978209""","=""""","=""""","=""0.0124423""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""12.9034659""","=""""","=""""","=""0.0336838""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""12.972537""","=""""","=""""","=""0.069071""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""13.00798558""","=""""","=""""","=""0.035449""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""13.0192391""","=""""","=""""","=""0.0112535""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""13.0987364""","=""""","=""""","=""0.079497""","="""""
"=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""13.029667""","=""""","=""""","=""-0.069069""","="""""
"=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""13.036483""","=""""","=""""","=""0.00682""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""13.0386121""","=""""","=""""","=""0.002129""","="""""
"=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""13.0441886""","=""""","=""""","=""0.005577""","="""""
"=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""13.09861485""","=""""","=""""","=""0.0544263""","="""""
"=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""13.11389563""","=""""","=""""","=""0.0152808""","="""""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""13.1379169""","=""""","=""""","=""0.0240213""","="""""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""13.1380553""","=""""","=""""","=""0.000138""","="""""
"=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""13.140938""","=""""","=""""","=""0.002883""","="""""
